"Table 2. U.S. scientists and engineers, by labor force status and level of highest degree: 2013",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Labor force status and degree background             ,All degree levels,,,,Bachelor's,,,,Master's,,,,Doctorate,,,,Professional,,,
,Number,SE,Percent,SE %,Number,SE,Percent,SE %,Number,SE,Percent,SE %,Number,SE,Percent,SE %,Number,SE,Percent,SE %
Scientists and engineers,"28,950,000","358,000",100,0,"16,650,000","249,500",57.5,0.35,"8,551,000","121,000",29.5,0.3,"1,360,000","18,000",4.7,0.1,"2,390,000","51,500",8.3,0.2
     Employed,"23,557,000","336,000",100,0,"13,432,000","237,000",57,0.4,"6,882,000","109,500",29.2,0.35,"1,154,000","16,000",4.9,0.1,"2,089,000","46,500",8.9,0.2
          Employed in S&E occupation,"5,749,000","112,000",100,0,"3,288,000","84,000",57.2,0.65,"1,689,000","43,500",29.4,0.55,"708,000","8,500",12.3,0.25,"64,000","6,000",1.1,0.15
               Educated in S&E (holds at least one S&E degree),"4,718,000","88,500",100,0,"2,493,000","61,000",52.8,0.65,"1,498,000","40,500",31.8,0.6,"676,000","7,500",14.3,0.3,"52,000","5,500",1.1,0.15
               No S&E degree but holds at least one S&E-related degree,"245,000","12,500",100,0,"166,000","11,000",67.8,2.15,"56,000","5,000",22.9,1.8,"12,000","2,000",4.9,0.75,"10,000","2,500",4.1,0.9
               Non-S&E degree only,"786,000","36,000",100,0,"629,000","33,500",80,1.3,"135,000","10,000",17.2,1.25,"20,000","3,500",2.5,0.45,"2,000","1,000",0.3,0.15
          Employed in S&E-related occupation,"7,439,000","126,500",100,0,"4,065,000","88,500",54.6,0.7,"1,945,000","49,500",26.1,0.55,"168,000","10,500",2.3,0.15,"1,262,000","39,500",17,0.45
               Educated in S&E (holds at least one S&E degree),"3,146,000","59,000",100,0,"1,375,000","38,000",43.7,0.9,"891,000","27,500",28.3,0.75,"109,000","5,000",3.5,0.2,"771,000","29,500",24.5,0.8
