"Table 3-0. Broad occupation category of employed U.S. scientists and engineers, by all degree levels and level of highest degree: 2013",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Level of highest degree             ,,,,S&E occupations,,,,,,,,,,S&E-related occupations,,,,,,,,,,,
,All occupations,,,Biological/ agricultural/,,Computer/ mathematical,,Physical/ related scientists,,Social/ related scientists,,Engineering,,Health occupations,,"S&E managers, including health",,S&E pre-college teachers,,S&E technicians and technologists,,Other S&E-related occupations,,Non-S&E occupations,
,,,,other life scientists,,scientists,,,,,,,,,,,,,,,,,,,
,Number,SE,Percent,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE
All degree levelsa,"23,557,000","336,000",100,2.7,0.15,11.2,0.25,1.4,0.05,2.5,0.15,6.6,0.15,19.5,0.35,3.8,0.15,4.1,0.25,3.3,0.15,0.9,0.1,44,0.4
     Bachelor's,"13,432,000","237,000",100,2,0.15,13.3,0.4,1,0.1,0.9,0.15,7.4,0.2,18.2,0.45,3.7,0.2,3.1,0.3,4.3,0.2,0.9,0.1,45.3,0.6
     Master's,"6,882,000","109,500",100,2.3,0.25,10.8,0.35,1.2,0.1,3.6,0.25,6.6,0.25,12.9,0.45,4,0.25,7.6,0.45,2.6,0.2,1.1,0.15,47.2,0.7
     Doctorate,"1,154,000","16,000",100,17.5,0.4,9.3,0.35,9.3,0.3,15.1,0.4,10.2,0.3,8,0.6,3.4,0.25,1.9,0.5,1.1,0.15,0.1,0.05,24.2,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,,,,,,,,
a Total includes professional degrees not broken out separately.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
