"Table 3-1. Broad occupation category of employed U.S. scientists and engineers at all degree levels, by field of highest degree: 2013",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Field of highest degree             ,,,,S&E occupations,,,,,,,,,,S&E-related occupations,,,,,,,,,,,
,All occupations,,,Biological/ agricultural/,,Computer/ mathematical,,Physical/ related scientists,,Social/ related scientists,,Engineering,,Health occupations,,"S&E managers, including health",,S&E pre-college teachers,,S&E technicians and technologists,,Other S&E-related occupations,,Non-S&E occupations,
,,,,other life scientists,,scientists,,,,,,,,,,,,,,,,,,,
,Number,SE,Percent,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE
All fields,"23,557,000","336,000",100,2.7,0.15,11.2,0.25,1.4,0.05,2.5,0.15,6.6,0.15,19.5,0.35,3.8,0.15,4.1,0.25,3.3,0.15,0.9,0.1,44,0.4
     S&E field,"12,446,000","183,500",100,4.2,0.2,14.4,0.3,2.4,0.1,3.3,0.15,10.6,0.25,4.5,0.2,3.6,0.2,1.8,0.15,4,0.2,0.2,0.1,51,0.5
          Science,"9,587,000","155,500",100,5.2,0.25,14.4,0.35,2.8,0.1,4.2,0.2,1.7,0.1,5.6,0.25,2.4,0.15,2.1,0.15,3.2,0.2,0.3,0.1,58,0.55
               Biological/ agricultural/ environmental life sciences,"1,896,000","43,500",100,23,0.9,3.4,0.35,2.4,0.2,0.6,0.15,1.6,0.2,14.2,0.8,2.3,0.3,3,0.35,5,0.45,S,S,44.4,1.25
                    Agricultural/ food sciences,"301,000","21,000",100,17.3,2.4,2.3,0.8,1.3,0.35,*,*,1,0.35,3.7,0.95,0.7,0.2,2,0.65,3.3,0.85,D,D,68.1,2.7
                    Biological sciences,"1,427,000","35,000",100,25.2,0.95,3.2,0.4,2.1,0.2,0.4,0.1,1.3,0.2,17.8,1.05,2.5,0.4,3.4,0.45,5.3,0.55,D,D,38.8,1.4
                    Environmental life sciences,"168,000","10,000",100,15.5,2.15,6.5,1.85,7.1,1,3.6,1.3,4.8,1.1,3,1.15,2.4,0.8,1.2,0.45,4.8,1.45,S,S,50,3.2
               Computer/ mathematical sciences,"2,197,000","46,500",100,0.2,0.05,51,1.05,0.2,0.1,0.3,0.1,2.5,0.25,0.9,0.2,4.5,0.45,3.2,0.35,5.9,0.5,0.8,0.25,30.5,1
