"Table 3-3. Broad occupation category of employed U.S. scientists and engineers with a master's as the highest degree, by field of highest degree: 2013",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,,,,S&E occupations,,,,,,,,,,S&E-related occupations,,,,,,,,,,,
,All occupations,,,Biological/ agricultural/,,Computer/ mathematical,,Physical/ related scientists,,Social/ related scientists,,Engineering,,Health occupations,,"S&E managers, including health",,S&E pre-college teachers,,S&E technicians and technologists,,Other S&E-related occupations,,Non-S&E occupations,
,,,,other life scientists,,scientists,,,,,,,,,,,,,,,,,,,
,Number,SE,Percent,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE
Master's,"6,882,000","109,500",100,2.3,0.25,10.8,0.35,1.2,0.1,3.6,0.25,6.6,0.25,12.9,0.45,4,0.25,7.6,0.45,2.6,0.2,1.1,0.15,47.2,0.7
     S&E field,"2,596,000","47,500",100,4.4,0.45,19.6,0.6,2.7,0.2,5.8,0.45,13.3,0.45,3.2,0.3,4.5,0.35,2.8,0.3,4.3,0.3,0.4,0.15,38.9,0.9
          Science,"1,902,000","41,000",100,5.8,0.55,20.6,0.7,3.3,0.25,7.9,0.6,2.3,0.25,4.2,0.4,3.7,0.4,3.6,0.4,3.4,0.35,0.4,0.15,44.9,1.1
               Biological/ agricultural/ environmental life sciences,"273,000","14,500",100,34.8,2.75,3.7,0.7,2.6,0.4,0.7,0.3,2.2,0.55,13.2,1.6,2.9,0.7,5.1,0.95,7,1.35,D,D,27.5,2.15
                    Agricultural/ food sciences,"40,000","8,000",100,52.5,9.3,S,S,*,*,D,D,D,D,S,S,S,S,D,D,5,2.05,D,D,32.5,7.7
                    Biological sciences,"194,000","10,500",100,34,2.15,3.6,0.8,1.5,0.4,0.5,0.15,1,0.5,17,2.1,3.1,0.95,6.7,1.15,7.2,1.7,D,D,24.7,2.4
                    Environmental life sciences,"40,000","4,500",100,20,4.15,S,S,7.5,1.45,D,D,7.5,2.6,S,S,S,S,S,S,7.5,3.2,D,D,37.5,5.7
               Computer/ mathematical sciences,"626,000","19,500",100,0.3,0.15,55.6,1.75,S,S,0.5,0.2,3.4,0.5,0.6,0.3,5.9,0.85,3.4,0.6,5.8,0.85,1,0.4,23.5,1.55
