"Table 3-4. Broad occupation category of employed U.S. scientists and engineers with a doctorate as the highest degree, by field of highest degree: 2013",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,,,,S&E occupations,,,,,,,,,,S&E-related occupations,,,,,,,,,,,
,All occupations,,,Biological/ agricultural/,,Computer/ mathematical,,Physical/ related scientists,,Social/ related scientists,,Engineering,,Health occupations,,"S&E managers, including health",,S&E pre-college teachers,,S&E technicians and technologists,,Other S&E-related occupations,,Non-S&E occupations,
,,,,other life scientists,,scientists,,,,,,,,,,,,,,,,,,,
,Number,SE,Percent,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE
Doctorate,"1,154,000","16,000",100,17.5,0.4,9.3,0.35,9.3,0.3,15.1,0.4,10.2,0.3,8,0.6,3.4,0.25,1.9,0.5,1.1,0.15,0.1,0.05,24.2,0.7
     S&E field,"873,000","8,000",100,21.3,0.45,10.5,0.3,11.9,0.35,16.4,0.3,13.2,0.3,4,0.25,3.6,0.25,0.7,0.15,1.4,0.2,0.1,0.05,17,0.4
          Science,"706,000","7,000",100,25.6,0.5,10.5,0.35,13.7,0.4,20.3,0.4,2.4,0.2,4.8,0.3,3.3,0.25,0.7,0.15,1.1,0.2,0.1,0.05,17.4,0.45
               Biological/ agricultural/ environmental life sciences,"254,000","5,000",100,63,0.9,2.4,0.3,2.4,0.2,0.8,0.15,0.8,0.15,10.6,0.75,4.3,0.3,0.8,0.15,1.6,0.45,D,D,13,0.55
                    Agricultural/ food sciences,"20,000","1,000",100,65,2.55,*,*,5,1.25,*,*,*,*,5,1.4,5,0.85,D,D,D,D,D,D,20,1.9
                    Biological sciences,"226,000","5,000",100,63.7,1,2.7,0.35,1.8,0.2,0.4,0.1,0.9,0.15,11.9,0.85,4,0.35,0.9,0.15,1.8,0.5,D,D,12.4,0.6
                    Environmental life sciences,"8,000",500,100,50,3.25,*,*,12.5,2.05,12.5,2.6,*,*,D,D,12.5,1.7,D,D,D,D,D,D,12.5,2.2
               Computer/ mathematical sciences,"70,000","2,500",100,1.4,0.7,77.1,1.65,*,*,*,*,2.9,0.45,*,*,2.9,0.45,*,*,1.4,0.3,*,*,11.4,1.4
