"Table 4-1. Employed U.S. scientists and engineers at all degree levels who reported one or more disabilities, by broad field of highest degree and selected occupation: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Field of highest degree and broad occupational category             ,,,Type of disability,,,,,,,,,
,Total with disability,,Hearing,,Seeing,,Walking,,Lifting,,Cognitive,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
All fields and occupations,"1,989,000","58,500","680,000","28,500","921,000","33,500","231,000","14,000","316,000","19,000","358,000","19,000"
     S&E occupations,"413,000","18,500","135,000","9,000","194,000","11,500","46,000","4,500","63,000","5,500","80,000","6,000"
     S&E-related occupations,"554,000","32,000","178,000","16,500","254,000","18,000","56,000","7,500","93,000","12,000","96,000","12,500"
     Non-S&E occupations,"1,021,000","42,000","366,000","23,500","473,000","23,500","130,000","11,000","160,000","13,500","182,000","13,500"
     S&E field,"1,089,000","34,000","363,000","18,000","515,000","21,000","133,000","10,500","170,000","13,000","208,000","13,500"
          S&E occupations,"306,000","14,000","100,000","7,500","147,000","9,000","31,000","3,500","40,000","4,000","59,000","5,000"
          S&E-related occupations,"141,000","11,500","42,000","6,000","64,000","6,500","11,000","2,500","22,000","3,500","33,000","6,500"
          Non-S&E occupations,"642,000","29,500","220,000","17,000","304,000","18,500","91,000","10,000","109,000","12,000","115,000","11,500"
          Biological/ agricultural/ environmental life sciences,"149,000","11,000","43,000","5,500","69,000","8,000","9,000","2,000","15,000","2,500","34,000","5,500"
               S&E occupations,"39,000","3,500","9,000","1,500","18,000","2,500","5,000","1,500","5,000","1,000","9,000","2,000"
               S&E-related occupations,"34,000","5,500","6,000","2,000","16,000","3,500","1,000","1,000","5,000","2,000","10,000","4,000"
               Non-S&E occupations,"77,000","9,500","27,000","5,000","36,000","7,000","3,000","1,000","6,000","1,500","15,000","3,500"
          Computer/ mathematical sciences,"175,000","13,500","49,000","7,000","91,000","8,000","14,000","3,000","26,000","6,500","36,000","7,500"
               S&E occupations,"92,000","8,500","28,000","5,000","51,000","6,000","8,000","2,500","10,000","2,500","14,000","3,000"
               S&E-related occupations,"22,000","4,000","9,000","3,000","8,000","2,000","2,000","1,500","4,000","2,000","4,000","2,500"
               Non-S&E occupations,"60,000","9,500","12,000","4,000","31,000","5,500","3,000","1,500","12,000","6,500","17,000","7,000"
          Physical sciences,"69,000","6,500","23,000","4,000","37,000","5,000","9,000","2,500","7,000","1,500","11,000","2,500"
               S&E occupations,"26,000","3,000","10,000","2,000","11,000","1,500","3,000","1,000","4,000","1,000","5,000","1,000"
               S&E-related occupations,"13,000","3,500","3,000","2,000","8,000","3,000",*,*,"1,000",500,"1,000",500
               Non-S&E occupations,"30,000","5,000","9,000","3,500","18,000","4,500","5,000","2,500","2,000","1,000","5,000","2,000"
          Social sciences,"482,000","26,500","159,000","15,500","213,000","15,500","84,000","9,500","92,000","9,500","88,000","10,000"
               S&E occupations,"43,000","4,500","12,000","2,000","16,000","3,000","7,000","1,500","8,000","1,500","12,000","2,500"
               S&E-related occupations,"33,000","6,500","7,000","3,000","14,000","3,000","3,000","1,500","5,000","2,000","11,000","4,500"
               Non-S&E occupations,"405,000","24,500","140,000","15,000","183,000","15,000","74,000","9,500","79,000","9,500","65,000","8,500"
          Engineering,"215,000","10,500","89,000","7,500","105,000","7,500","17,000","2,500","29,000","3,500","39,000","4,500"
               S&E occupations,"106,000","6,500","41,000","4,500","51,000","4,500","7,000","1,500","14,000","2,000","20,000","3,000"
               S&E-related occupations,"39,000","5,000","17,000","3,500","18,000","3,000","4,000","1,500","6,000","2,000","7,000","2,000"
               Non-S&E occupations,"70,000","7,000","31,000","5,500","36,000","5,000","5,000","1,500","9,000","2,500","13,000","3,500"
     S&E-related field,"458,000","25,000","152,000","13,000","220,000","17,000","55,000","7,500","82,000","9,500","70,000","9,000"
          S&E occupations,"27,000","3,500","12,000","3,000","10,000","2,000","5,000","1,500","8,000","2,000","4,000","1,500"
          S&E-related occupations,"271,000","20,500","85,000","10,500","126,000","13,000","33,000","6,500","53,000","9,000","37,000","7,500"
          Non-S&E occupations,"160,000","14,500","55,000","8,000","85,000","10,500","17,000","4,500","22,000","4,000","29,000","6,000"
     Non-S&E field,"442,000","26,000","165,000","14,000","185,000","16,000","43,000","6,000","63,000","7,500","81,000","10,500"
          S&E occupations,"81,000","8,000","23,000","3,500","37,000","5,500","10,000","2,500","15,000","3,500","17,000","3,500"
          S&E-related occupations,"142,000","17,500","51,000","10,000","64,000","11,500","12,000","3,500","19,000","5,500","26,000","8,000"
          Non-S&E occupations,"219,000","16,500","91,000","10,500","84,000","9,000","21,000","4,500","29,000","4,500","38,000","7,000"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding and because person may report more than one disability. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Scientists and Engineers Statistical Data System surveys ask degree of difficulty—none, slight, moderate, severe, unable to do—individual has in seeing (with glasses or contact lenses), hearing (with hearing aid), walking without assistance, lifting 10 pounds, or concentrating, remembering, or making decisions. Respondents who answered ""moderate,"" ""severe,"" or ""unable to do"" for any activity were classified as having a disability.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
