"Table 4-2. Employed U.S. scientists and engineers with a bachelor's as the highest degree who reported one or more disabilities, by broad field of highest degree and selected occupation: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and broad occupational category             ,,,Type of disability,,,,,,,,,
,Total with disability,,Hearing,,Seeing,,Walking,,Lifting,,Cognitive,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Bachelor's,"1,250,000","44,500","418,000","23,500","580,000","27,500","139,000","12,500","196,000","15,500","230,000","15,500"
     S&E occupations,"245,000","15,000","81,000","7,500","115,000","9,500","20,000","3,500","31,000","4,500","49,000","5,500"
     S&E-related occupations,"353,000","26,000","109,000","13,000","155,000","15,000","36,000","6,500","68,000","11,500","67,000","10,500"
     Non-S&E occupations,"652,000","31,500","228,000","18,500","309,000","20,000","82,000","9,500","96,000","10,000","114,000","10,000"
     S&E field,"821,000","30,500","277,000","17,000","390,000","19,500","93,000","9,500","116,000","10,000","153,000","12,000"
          S&E occupations,"187,000","11,500","63,000","7,000","90,000","7,500","16,000","3,000","21,000","3,000","36,000","4,500"
          S&E-related occupations,"102,000","10,500","27,000","5,000","49,000","5,500","7,000","2,500","13,000","3,000","26,000","6,000"
          Non-S&E occupations,"532,000","26,500","187,000","16,000","251,000","17,000","70,000","9,000","82,000","9,000","90,000","10,000"
          Biological/ agricultural/ environmental life sciences,"112,000","10,000","29,000","4,500","55,000","8,000","5,000","1,500","10,000","2,500","27,000","5,000"
               S&E occupations,"18,000","3,000","3,000","1,000","10,000","2,500","2,000","1,000","2,000","1,000","5,000","1,500"
               S&E-related occupations,"25,000","5,000","3,000","1,500","12,000","3,500",S,S,"4,000","2,000","9,000","4,000"
               Non-S&E occupations,"69,000","8,500","23,000","4,500","33,000","7,000","3,000","1,000","5,000","1,500","13,000","3,500"
          Computer/ mathematical sciences,"110,000","9,500","34,000","6,000","58,000","7,000","10,000","3,000","13,000","3,000","17,000","4,000"
               S&E occupations,"63,000","7,500","23,000","5,000","32,000","5,500","6,000","2,500","7,000","2,500","9,000","2,500"
               S&E-related occupations,"14,000","3,000","4,000","1,500","6,000","2,000",S,S,"3,000","2,000",S,S
               Non-S&E occupations,"34,000","5,000","8,000","3,000","20,000","4,000","2,000","1,000","3,000","1,500","8,000","2,500"
          Physical sciences,"47,000","6,500","15,000","4,000","26,000","5,000","6,000","2,500","4,000","1,000","7,000","2,000"
               S&E occupations,"13,000","2,500","4,000","1,500","6,000","1,500","1,000","1,000","2,000","1,000","1,000",500
               S&E-related occupations,"10,000","3,000",S,S,"7,000","3,000",D,D,D,D,S,S
               Non-S&E occupations,"24,000","5,000","8,000","3,500","13,000","4,000","5,000","2,500","2,000","1,000","5,000","2,000"
          Social sciences,"390,000","25,500","133,000","15,000","173,000","15,000","60,000","8,500","68,000","8,500","70,000","9,000"
               S&E occupations,"18,000","4,000","4,000","1,500","7,000","2,500","1,000","1,000","2,000","1,000","7,000","2,500"
               S&E-related occupations,"24,000","6,000","5,000","3,000","10,000","2,500",S,S,S,S,"10,000","4,500"
               Non-S&E occupations,"348,000","23,500","123,000","14,500","156,000","15,000","57,000","8,500","65,000","8,500","53,000","7,500"
          Engineering,"160,000","9,500","67,000","7,000","78,000","7,000","12,000","2,500","21,000","3,000","31,000","4,500"
               S&E occupations,"75,000","5,500","30,000","3,500","35,000","4,000","5,000","1,500","10,000","2,000","14,000","2,500"
               S&E-related occupations,"28,000","4,500","12,000","3,500","14,000","2,500","3,000","1,500","4,000","1,500","5,000","2,000"
               Non-S&E occupations,"57,000","6,500","25,000","5,000","29,000","4,500","4,000","1,000","8,000","2,500","12,000","3,500"
     S&E-related field,"284,000","20,500","89,000","11,500","133,000","13,500","33,000","7,000","57,000","9,500","47,000","8,000"
          S&E occupations,"13,000","3,000","6,000","2,500","5,000","1,500",S,S,S,S,"1,000",500
          S&E-related occupations,"163,000","16,000","47,000","8,500","72,000","10,000","22,000","5,500","41,000","9,000","24,000","7,000"
          Non-S&E occupations,"109,000","12,500","35,000","7,500","56,000","9,000","10,000","4,000","14,000","3,500","22,000","5,500"
     Non-S&E field,"145,000","17,000","52,000","9,000","57,000","11,500","13,000","4,500","23,000","5,500","30,000","7,000"
          S&E occupations,"46,000","6,500","11,000","2,500","21,000","5,000","3,000","1,500","9,000","2,500","11,000","3,000"
          S&E-related occupations,"89,000","15,500","35,000","8,000","34,000","10,500","7,000","3,500","15,000","5,000","17,000","6,000"
          Non-S&E occupations,"11,000","4,000","6,000","3,000",S,S,D,D,D,D,D,D
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding and because person may report more than one disability. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Scientists and Engineers Statistical Data System surveys ask degree of difficulty—none, slight, moderate, severe, unable to do—individual has in seeing (with glasses or contact lenses), hearing (with hearing aid), walking without assistance, lifting 10 pounds, or concentrating, remembering, or making decisions. Respondents who answered ""moderate,"" ""severe,"" or ""unable to do"" for any activity were classified as having a disability.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
