"Table 4-3. Employed U.S. scientists and engineers with a master's as the highest degree who reported one or more disabilities, by broad field of highest degree and selected occupation: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and broad occupational category             ,,,Type of disability,,,,,,,,,
,Total with disability,,Hearing,,Seeing,,Walking,,Lifting,,Cognitive,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Master's,"520,000","24,500","176,000","13,000","236,000","13,500","69,000","6,500","94,000","10,000","95,000","10,000"
     S&E occupations,"112,000","7,500","34,000","4,000","53,000","4,500","17,000","3,000","22,000","3,500","24,000","3,000"
     S&E-related occupations,"133,000","12,000","39,000","6,500","62,000","8,000","14,000","2,500","21,000","3,500","24,000","5,500"
     Non-S&E occupations,"276,000","19,000","103,000","10,500","121,000","10,000","38,000","5,500","51,000","9,000","47,000","8,000"
     S&E field,"204,000","13,500","61,000","6,500","98,000","7,500","31,000","4,500","42,000","8,000","44,000","7,500"
          S&E occupations,"74,000","5,500","20,000","2,500","38,000","3,500","9,000","2,000","11,000","2,000","16,000","2,500"
          S&E-related occupations,"31,000","4,500","12,000","3,000","13,000","3,000","3,000","1,500","7,000","2,500","6,000","2,500"
          Non-S&E occupations,"98,000","11,000","28,000","5,000","47,000","6,000","19,000","4,000","24,000","7,500","22,000","7,000"
          Biological/ agricultural/ environmental life sciences,"19,000","3,500","7,000","2,500","7,000","2,000",S,S,"3,000","1,000","4,000","1,500"
               S&E occupations,"8,000","2,000","2,000","1,000","2,000","1,000",S,S,"1,000","1,000","2,000","1,500"
               S&E-related occupations,"6,000","2,000","2,000","1,500","3,000","1,500",S,S,S,S,S,S
               Non-S&E occupations,"6,000","2,500",S,S,S,S,D,D,S,S,S,S
          Computer/ mathematical sciences,"59,000","9,500","14,000","4,000","31,000","4,500","4,000","1,500","13,000","6,500","17,000","7,000"
               S&E occupations,"25,000","3,000","4,000","1,000","17,000","3,000","2,000","1,000","2,000","1,000","5,000","1,500"
               S&E-related occupations,"9,000","3,000","5,000","2,500","2,000","1,000",*,*,S,S,D,D
               Non-S&E occupations,"26,000","8,000",S,S,"11,000","3,500",S,S,S,S,S,S
          Physical sciences,"11,000","2,500","3,000","1,000","6,000","2,000",S,S,"2,000","1,000","2,000","1,000"
               S&E occupations,"5,000","1,500","2,000","1,000","2,000","1,000",D,D,"1,000",500,"2,000","1,000"
               S&E-related occupations,"1,000","1,000",*,*,S,S,D,D,D,D,D,D
               Non-S&E occupations,"4,000","2,000",S,S,S,S,D,D,D,D,D,D
          Social sciences,"71,000","6,500","19,000","3,500","33,000","4,500","20,000","4,000","18,000","3,500","14,000","3,500"
               S&E occupations,"12,000","2,000","3,000","1,000","4,000","1,500","3,000","1,500","3,000","1,500","2,000","1,000"
               S&E-related occupations,"7,000","2,000",S,S,"4,000","2,000",D,D,D,D,D,D
               Non-S&E occupations,"52,000","6,000","15,000","3,000","25,000","4,000","16,000","4,000","13,000","3,000","11,000","3,500"
          Engineering,"43,000","4,500","17,000","2,500","22,000","3,000","4,000","1,000","7,000","2,000","6,000","1,500"
               S&E occupations,"24,000","3,000","9,000","2,000","12,000","2,000","2,000","1,000","3,000","1,000","4,000","1,000"
               S&E-related occupations,"9,000","2,500","3,000","1,000","3,000","1,500",S,S,S,S,S,S
               Non-S&E occupations,"11,000","2,500","5,000","1,500","6,000","2,000",S,S,"1,000",500,S,S
     S&E-related field,"107,000","9,000","37,000","5,000","50,000","6,000","16,000","2,500","20,000","3,500","17,000","3,000"
          S&E occupations,"11,000","2,000","5,000","1,500","3,000","1,500","3,000","1,500","5,000","1,500","3,000","1,500"
          S&E-related occupations,"55,000","6,000","15,000","3,000","25,000","4,500","6,000","1,500","9,000","2,500","9,000","2,500"
          Non-S&E occupations,"41,000","5,500","17,000","4,000","22,000","4,000","6,000","2,000","6,000","2,000","5,000","2,000"
     Non-S&E field,"210,000","15,500","78,000","9,500","88,000","9,000","23,000","4,000","31,000","4,500","33,000","6,500"
          S&E occupations,"27,000","4,000","9,000","2,000","12,000","2,500","5,000","2,000","6,000","2,000","5,000","2,000"
          S&E-related occupations,"46,000","9,500","12,000","5,500","24,000","6,000","4,000","2,000","4,000","2,000","9,000","4,500"
          Non-S&E occupations,"137,000","12,500","58,000","8,000","53,000","7,000","13,000","3,500","21,000","4,000","20,000","5,000"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding and because person may report more than one disability. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Scientists and Engineers Statistical Data System surveys ask degree of difficulty—none, slight, moderate, severe, unable to do—individual has in seeing (with glasses or contact lenses), hearing (with hearing aid), walking without assistance, lifting 10 pounds, or concentrating, remembering, or making decisions. Respondents who answered ""moderate,"" ""severe,"" or ""unable to do"" for any activity were classified as having a disability.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
