"Table 4-4. Employed U.S. scientists and engineers with a doctorate as the highest degree who reported one or more disabilities, by broad field of highest degree and selected occupation: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and broad occupational category             ,,,Type of disability,,,,,,,,,
,Total with disability,,Hearing,,Seeing,,Walking,,Lifting,,Cognitive,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Doctorate,"88,000","5,500","35,000","5,000","42,000","5,000","12,000","1,500","13,000","1,500","12,000","1,500"
     S&E occupations,"51,000","2,500","19,000","1,500","23,000","2,000","8,000","1,500","8,000","1,000","8,000","1,000"
     S&E-related occupations,"19,000","4,500","10,000","4,500","11,000","4,500","2,000",500,"1,000",500,"1,000",500
     Non-S&E occupations,"18,000","2,000","6,000","1,000","8,000","1,500","3,000","1,000","3,000","1,000","3,000","1,000"
     S&E field,"62,000","2,500","24,000","2,000","27,000","1,500","9,000","1,000","10,000","1,000","10,000","1,000"
          S&E occupations,"44,000","2,000","16,000","1,000","19,000","1,500","6,000","1,000","7,000","1,000","7,000","1,000"
          S&E-related occupations,"6,000","1,500","3,000","1,500","2,000",500,"1,000",500,"1,000",500,"1,000",500
          Non-S&E occupations,"12,000","1,500","5,000","1,000","5,000","1,000","2,000",500,"2,000",500,"2,000","1,000"
          Biological/ agricultural/ environmental life sciences,"18,000","1,500","6,000","1,000","8,000","1,000","2,000",500,"3,000",500,"3,000",500
               S&E occupations,"12,000","1,000","5,000","1,000","6,000","1,000","1,000",500,"2,000",500,"2,000",500
               S&E-related occupations,"3,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*
               Non-S&E occupations,"3,000","1,000","1,000",500,"1,000",500,*,*,*,*,*,*
          Computer/ mathematical sciences,"5,000","1,000","1,000",500,"2,000","1,000",*,*,"1,000",500,"1,000",500
               S&E occupations,"4,000","1,000","1,000",500,"2,000","1,000",*,*,"1,000",500,"1,000",500
               S&E-related occupations,*,*,D,D,D,D,D,D,D,D,D,D
               Non-S&E occupations,*,*,*,*,*,*,D,D,D,D,D,D
          Physical sciences,"11,000","1,000","5,000",500,"5,000","1,000","2,000",500,"2,000",500,"1,000",500
               S&E occupations,"8,000","1,000","4,000",500,"4,000",500,"1,000",500,"1,000",500,"1,000",500
               S&E-related occupations,"1,000",500,*,*,S,S,D,D,D,D,D,D
               Non-S&E occupations,"2,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*
          Social sciences,"18,000","1,500","7,000",500,"6,000",500,"3,000","1,000","4,000",500,"4,000","1,000"
               S&E occupations,"12,000","1,000","4,000",500,"4,000",500,"2,000","1,000","3,000",500,"2,000",500
               S&E-related occupations,"1,000",500,*,*,*,*,D,D,*,*,*,*
               Non-S&E occupations,"5,000","1,000","2,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000",500
          Engineering,"11,000","1,500","5,000","1,500","5,000","1,000","1,000",500,"1,000",500,"2,000","1,000"
               S&E occupations,"7,000",500,"2,000",500,"4,000",500,"1,000",500,"1,000",500,"1,000",500
               S&E-related occupations,S,S,S,S,*,*,D,D,D,D,*,*
               Non-S&E occupations,"2,000","1,000","1,000","1,000","1,000",500,S,S,S,S,S,S
     S&E-related field,"7,000","2,000","4,000","1,500","3,000","1,000","1,000",500,"1,000","1,000",*,*
          S&E occupations,"2,000","1,000",S,S,S,S,*,*,D,D,D,D
          S&E-related occupations,"5,000","1,500","3,000","1,500","2,000","1,000",*,*,*,*,*,*
          Non-S&E occupations,"1,000",500,*,*,*,*,*,*,*,*,D,D
     Non-S&E field,"18,000","5,000",S,S,"12,000","4,500","3,000","1,000","1,000","1,000",S,S
          S&E occupations,"6,000","2,000","2,000","1,000","3,000","1,500",D,D,D,D,D,D
          S&E-related occupations,S,S,D,D,S,S,D,D,D,D,D,D
          Non-S&E occupations,"5,000","1,500","1,000",500,"2,000","1,500",*,*,S,S,D,D
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding and because person may report more than one disability. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Scientists and Engineers Statistical Data System surveys ask degree of difficulty—none, slight, moderate, severe, unable to do—individual has in seeing (with glasses or contact lenses), hearing (with hearing aid), walking without assistance, lifting 10 pounds, or concentrating, remembering, or making decisions. Respondents who answered ""moderate,"" ""severe,"" or ""unable to do"" for any activity were classified as having a disability. The doctorate estimates are from the Scientists and Engineers Statistical Data System (SESTAT), which represents the total U.S. college educated population. This is in contrast to the doctorate estimates from the Survey of Doctorate Recipients, which represent the population of U.S. doctorate degree recipients.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
