"Table 5. U.S. scientists and engineers, by detailed field and level of highest degree: 2013",,,,,,,,
,,,,,,,,
Field of highest degree              ,All degree levelsa,,Bachelor's,,Master's,,Doctorate,
,Number,SE,Number,SE,Number,SE,Number,SE
All degree fields,"28,950,000","358,000","16,650,000","249,500","8,551,000","121,000","1,360,000","18,000"
     S&E field,"15,811,000","199,500","11,425,000","166,500","3,322,000","56,000","1,012,000","8,500"
          Science,"12,401,000","178,500","9,019,000","149,500","2,506,000","51,500","824,000","7,500"
               Biological/ agricultural/ environmental life sciences,"2,429,000","49,000","1,786,000","44,000","354,000","15,500","289,000","5,000"
                    Agricultural/ food sciences,"354,000","22,500","281,000","20,500","49,000","8,000","24,000","1,500"
                         Animal sciences,"114,000","12,000","102,000","11,500","7,000","2,000","5,000",500
                         Food sciences/ technology,"58,000","8,500","42,000","8,000","13,000","2,500","4,000",500
                         Plant sciences,"113,000","12,000","85,000","10,500","17,000","4,500","11,000","1,000"
                         Other agricultural sciences,"69,000","9,500","52,000","9,000","13,000","3,000","4,000","1,000"
                    Biological sciences,"1,864,000","39,500","1,347,000","35,500","261,000","12,500","256,000","5,000"
                         Biochemistry/ biophysics,"152,000","8,500","80,000","7,500","22,000","3,500","49,000","2,500"
"                         Biology, general","890,000","28,500","814,000","27,000","61,000","6,000","14,000","2,000"
                         Botany,"32,000","4,500","19,000","4,500","6,000","1,500","7,000","1,000"
                         Cell/ molecular biology,"110,000","7,500","57,000","7,000","18,000","2,500","36,000","2,000"
                         Ecology,"91,000","7,500","53,000","6,500","26,000","4,500","12,000","1,500"
"                         Genetics, animal/ plant","24,000","3,000","8,000","2,500","5,000","1,500","11,000","1,000"
                         Microbiological sciences/ immunology,"130,000","9,000","82,000","8,000","23,000","3,500","25,000","2,000"
                         Nutritional science,"106,000","11,000","68,000","9,500","34,000","4,500","4,000","1,000"
"                         Pharmacology, human/ animal","25,000","3,500","7,000","2,500","5,000","2,000","13,000","2,000"
                         Physiology/ pathology/ human/ animal,"65,000","7,000","27,000","6,000","18,000","3,500","20,000","1,500"
"                         Zoology, General","101,000","9,000","78,000","9,000","10,000","2,000","13,000","1,000"
                         Other biological sciences,"140,000","8,000","55,000","6,000","33,000","4,500","52,000","2,500"
                    Environmental life sciences,"210,000","11,000","157,000","10,500","43,000","4,500","10,000",500
                         Environmental science studies,"142,000","10,000","102,000","9,000","36,000","4,500","4,000",500
                         Forestry sciences,"68,000","7,500","56,000","7,000","7,000","1,500","5,000",500
               Computer/ mathematical sciences,"2,639,000","48,500","1,791,000","40,500","768,000","22,500","79,000","2,500"
                    Computer/ information sciences,"1,877,000","42,000","1,275,000","35,000","570,000","19,500","33,000","2,000"
                         Computer/ information sciences,"375,000","20,000","235,000","16,000","115,000","10,500","25,000","1,500"
                         Computer science,"973,000","28,000","678,000","24,500","288,000","13,500","6,000","1,500"
                         Computer systems analysis,"36,000","5,000","25,000","4,000","11,000","2,500",D,D
                         Information services/ systems,"385,000","18,500","268,000","16,000","116,000","8,500",D,D
                         Other computer/ information sciences,"109,000","9,500","69,000","7,500","40,000","6,000",*,*
                    Mathematics/ statistics,"762,000","25,000","517,000","20,500","199,000","12,500","46,000","1,500"
                         Applied mathematics,"81,000","9,000","49,000","8,000","23,000","3,500","9,000","1,000"
"                         Mathematics, general","538,000","20,500","427,000","18,500","104,000","8,500","7,000","1,500"
                         Operations research,"49,000","7,500","5,000","1,500","40,000","7,500","4,000",500
                         Statistics,"65,000","6,500","30,000","6,000","26,000","3,500","9,000","1,000"
                         Other mathematics,"28,000","2,500","6,000","2,000","5,000","1,500","18,000","1,000"
               Physical/ related sciences,"956,000","24,500","562,000","23,000","191,000","9,500","202,000","4,500"
"                    Chemistry, except biochemistry","450,000","15,000","274,000","14,500","74,000","6,500","102,000","3,500"
                    Earth/ atmospheric/ ocean sciences,"244,000","14,000","148,000","11,500","72,000","6,500","24,000","1,500"
                         Atmospheric sciences/ meteorology,"31,000","6,000","21,000","6,000","6,000","1,500","4,000",500
                         Earth sciences,"40,000","6,000","31,000","5,500","7,000","2,000","2,000","1,000"
                         Geology,"120,000","9,500","82,000","8,500","31,000","4,000","7,000","1,000"
                         Other geological science,"36,000","4,500","12,000","3,500","17,000","3,000","7,000",500
                         Oceanography,"16,000","3,500","2,000","1,000","11,000","3,500","3,000",500
                    Physics/ astronomy,"225,000","10,500","109,000","9,500","42,000","4,000","74,000","3,000"
                         Astronomy/ astrophysics,"19,000","3,000","6,000","2,500","3,000","1,000","10,000","1,500"
                         Physics,"206,000","10,500","103,000","9,000","39,000","4,000","64,000","3,000"
                    Other physical sciences,"38,000","6,000","31,000","6,000","4,000","1,500","3,000",500
               Social/ related sciences,"6,378,000","121,000","4,879,000","103,500","1,193,000","37,500","254,000","3,500"
                    Economics,"993,000","34,000","831,000","32,500","130,000","9,000","33,000","1,500"
                         Agricultural economics,"64,000","7,000","51,000","7,000","10,000","2,500","3,000",500
                         Economics,"929,000","33,500","780,000","31,500","119,000","9,000","29,000","1,500"
                    Political/ related sciences,"1,050,000","35,000","840,000","31,500","182,000","12,000","28,000","1,500"
                         Public policy studies,"69,000","7,000","24,000","4,500","41,000","5,000","4,000",500
                         International relations,"181,000","13,500","106,000","11,000","71,000","7,500","3,000",500
                         Political science/ government,"801,000","31,500","710,000","29,000","70,000","8,000","21,000","1,500"
                    Psychology,"2,489,000","62,000","1,698,000","51,000","609,000","26,500","131,000","2,000"
                         Educational psychology,"164,000","15,500","74,000","9,500","83,000","10,500","7,000","1,500"
                         Clinical psychology,"263,000","15,500","92,000","11,000","85,000","8,500","49,000","1,500"
                         Counseling psychology,"408,000","17,500","120,000","11,500","272,000","15,000","15,000","1,000"
                         Experimental psychology,"56,000","7,500","35,000","7,000","11,000","3,000","9,000","1,000"
"                         Psychology, general","1,180,000","42,000","1,121,000","39,000","45,000","7,000","7,000","1,000"
                         Industrial/ organizational psychology,"86,000","8,500","49,000","7,500","29,000","4,500","5,000","1,000"
                         Social psychology,"131,000","14,000","108,000","13,000","15,000","4,000","8,000","1,000"
                         Other psychology,"203,000","13,000","98,000","10,000","70,000","8,000","31,000","1,500"
                    Sociology/ anthropology,"1,101,000","35,000","968,000","33,500","96,000","9,000","37,000","1,500"
                         Anthropology/ archeology,"184,000","13,500","137,000","12,500","30,000","5,000","17,000","1,500"
                         Criminology,"105,000","10,500","91,000","10,000","13,000","3,500","1,000",500
                         Sociology,"812,000","30,000","740,000","29,500","53,000","6,500","19,000","1,000"
                    Other social sciences,"744,000","32,000","542,000","27,000","176,000","13,000","26,000","1,500"
                         Area/ ethnic studies,"140,000","11,500","115,000","11,000","22,000","4,000","3,000","1,000"
                         Linguistics,"97,000","11,000","55,000","9,000","35,000","6,000","7,000","1,000"
                         Philosophy of science,"17,000","6,000","11,000","5,500","6,000","3,000",D,D
                         Geography,"160,000","11,000","120,000","10,500","34,000","5,000","6,000",500
                         History of science,"14,000","4,000","9,000","3,000","4,000","1,500","1,000",500
                         Other social sciences,"315,000","20,000","232,000","18,000","75,000","9,500","8,000","1,000"
          Engineering,"3,410,000","48,500","2,406,000","43,000","816,000","18,500","188,000","3,500"
               Aerospace/ related engineering,"156,000","12,000","113,000","11,500","36,000","4,500","7,000","1,000"
               Chemical engineering,"227,000","11,000","173,000","10,000","31,000","4,000","24,000","1,500"
               Civil/ architectural engineering,"516,000","18,500","383,000","17,000","119,000","7,000","14,000","1,000"
                    Architectural engineering,"34,000","6,000","31,000","6,000","2,000","1,000",D,D
                    Civil engineering,"482,000","17,000","352,000","16,000","116,000","7,000","14,000","1,000"
               Electrical/ computer engineering,"1,135,000","26,000","777,000","22,500","300,000","11,000","58,000","2,500"
                    Computer/ systems engineering,"279,000","13,500","169,000","12,000","101,000","7,000","9,000","1,500"
                    Other Electrical/ related engineering,"855,000","21,000","608,000","18,000","199,000","9,000","49,000","2,000"
               Industrial engineering,"237,000","12,000","174,000","11,000","57,000","5,500","6,000","1,000"
               Mechanical engineering,"662,000","19,500","503,000","18,500","132,000","7,000","27,000","2,000"
               Other engineering,"478,000","15,500","284,000","14,000","141,000","7,500","53,000","2,000"
                    Agricultural engineering,"30,000","4,500","25,000","4,500","3,000","1,000","2,000",500
                    Bioengineering/ biomedical engineering,"58,000","6,000","33,000","5,000","13,000","2,500","12,000","1,500"
"                    Engineering sciences, mechanics/ physics","44,000","4,500","25,000","3,500","13,000","2,500","6,000","1,000"
                    Environmental engineering,"48,000","4,500","17,000","3,500","28,000","3,000","2,000",500
"                    Engineering, general","38,000","5,500","26,000","5,000","12,000","3,000","1,000",500
                    Geophysical/ geological engineering,"12,000","3,000","7,000","2,500","4,000","1,000",D,D
"                    Materials engineering, including ceramic/ textile sciences","64,000","5,500","33,000","5,000","16,000","2,000","16,000","1,000"
                    Metallurgical engineering,"22,000","4,000","15,000","4,000","5,000","2,000","3,000",500
                    Mining/ minerals engineering,"12,000","3,000","11,000","3,000",S,S,"1,000",500
                    Naval architecture/ marine engineering,"20,000","3,000","17,000","3,000","2,000","1,000",D,D
                    Nuclear engineering,"20,000","4,000","10,000","3,500","7,000","2,000","3,000",500
                    Petroleum engineering,"26,000","4,000","20,000","3,500","6,000","2,000","1,000",500
                    Other engineering,"83,000","6,500","44,000","6,000","32,000","3,500","6,000","1,000"
     S&E-related field,"6,994,000","117,000","3,637,000","78,000","1,750,000","40,000","103,000","7,500"
          Health,"5,446,000","90,500","2,650,000","61,000","1,212,000","31,500","81,000","6,500"
               Audiology/ speech pathology,"223,000","13,000","65,000","8,000","150,000","9,000","6,000","1,500"
               Health services administration,"292,000","20,000","136,000","12,500","155,000","13,000","1,000",500
               Health/ medical assistants,"81,000","10,000","50,000","8,000","30,000","6,000",D,D
               Health/ medical technologies,"197,000","15,000","183,000","15,000","10,000","2,500",S,S
               Medical preparatory programs,"27,000","5,000","23,000","4,500",S,S,D,D
               Medicine,"1,510,000","45,500","96,000","12,500","61,000","7,000","16,000","3,500"
               Nursing,"1,757,000","49,000","1,415,000","45,500","329,000","15,000","13,000","1,500"
               Pharmacy,"320,000","18,000","162,000","14,500","10,000","2,000","5,000","1,000"
               Physical therapy/ other rehabilitation/ therapeutic services,"475,000","21,500","278,000","18,000","170,000","10,000","8,000","3,500"
               Public health,"216,000","12,000","75,000","9,500","127,000","9,000","14,000","1,000"
               Other health/ medical sciences,"348,000","20,500","168,000","16,000","167,000","12,500","9,000","1,500"
          Science/ mathematics teacher education,"552,000","27,000","258,000","19,000","280,000","16,500","14,000","3,000"
               Computer teacher education,"33,000","6,000",S,S,"26,000","4,500",D,D
               Mathematics teacher education,"196,000","13,500","82,000","9,500","108,000","10,500","7,000","2,000"
               Science teacher education,"197,000","16,500","92,000","11,000","101,000","10,500","4,000","1,500"
               Social science teacher education,"125,000","13,500","77,000","11,000","45,000","6,500","3,000","1,500"
          Technology/ technical fields,"511,000","25,000","430,000","24,000","76,000","7,000","5,000","1,500"
               Computer programming,"85,000","8,000","66,000","8,000","19,000","3,000",D,D
               Data processing,"4,000","1,500","2,000","1,000","2,000","1,000",D,D
               Electrical/ electronics technologies,"101,000","10,500","92,000","10,500","9,000","2,000",S,S
               Industrial production technologies,"126,000","11,000","110,000","10,500","15,000","3,500",D,D
               Mechanical engineering-related technologies,"62,000","8,500","56,000","8,000","6,000","2,000",D,D
               Other engineering-related technologies,"132,000","13,500","105,000","13,000","25,000","4,000","3,000","1,000"
          Other S&E-related fields,"485,000","21,500","299,000","17,000","181,000","12,500","4,000","1,500"
               Architecture/ environmental design,"445,000","20,000","264,000","15,000","176,000","12,000","4,000","1,500"
               Actuarial science,"40,000","8,000","35,000","7,500","5,000","2,000",D,D
     Non-S&E field,"6,146,000","115,500","1,587,000","67,500","3,479,000","67,000","244,000","13,000"
          Art/ humanities fields,"609,000","31,000","402,000","26,500","176,000","12,500","31,000","5,000"
"          Education, except science/ math teacher education","1,430,000","46,500","192,000","25,000","1,134,000","39,500","104,000","9,000"
          Management/ administration,"2,000,000","55,000","588,000","34,500","1,388,000","35,500","24,000","4,000"
          Sales/ marketing,"125,000","11,000","35,000","7,500","83,000","8,000","7,000","2,500"
          Social service/ related,"443,000","18,500","51,000","7,500","347,000","15,500","45,000","5,000"
          Other non-S&E field,"1,539,000","44,500","319,000","24,500","351,000","18,500","34,000","4,000"
,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,
,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,
,,,,,,,,
a Total includes professional degrees not broken out separately.,,,,,,,,
,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,
,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,
,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,
,,,,,,,,
