"Table 6-0. U.S. scientists and engineers, by all degree levels, level of highest degree, ethnicity, and race: 2013",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Level of highest degree             ,  ,,,,Not Hispanic or Latinob,,,,,,,,,
,All scientists and engineers,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
All degree levelsd,"28,950,000","358,000","2,117,000","55,000","81,000","9,000","3,288,000","45,500","1,826,000","41,000","21,102,000","285,500","536,000","24,000"
     Bachelor's,"16,650,000","249,500","1,359,000","45,000","53,000","8,000","1,696,000","40,500","1,082,000","31,500","12,128,000","195,500","332,000","19,000"
     Master's,"8,551,000","121,000","525,000","21,000","20,000","3,500","999,000","21,000","584,000","23,000","6,287,000","104,500","136,000","8,000"
     Doctorate,"1,360,000","18,000","58,000","4,000","4,000","1,000","268,000","6,500","58,000","4,000","949,000","13,500","22,000","4,500"
,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
d Total includes professional degrees not broken out separately.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
