"Table 6-1. U.S. scientists and engineers at all degree levels, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field of highest degree and sex             ,  ,,,,Not Hispanic or Latinob,,,,,,,,,
,All scientists and engineers,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
All fields,"28,950,000","358,000","2,117,000","55,000","81,000","9,000","3,288,000","45,500","1,826,000","41,000","21,102,000","285,500","536,000","24,000"
     Male,"15,135,000","145,500","1,017,000","28,000","36,000","4,500","1,787,000","28,000","786,000","21,000","11,249,000","124,000","260,000","13,500"
     Female,"13,815,000","233,000","1,100,000","39,500","45,000","7,500","1,502,000","31,500","1,039,000","32,500","9,853,000","181,500","276,000","18,000"
     S&E field,"15,811,000","199,500","1,212,000","39,500","41,000","5,500","2,061,000","34,000","954,000","28,000","11,230,000","156,500","312,000","16,500"
          Male,"9,298,000","101,000","623,000","22,000","26,000","4,000","1,241,000","21,500","463,000","17,000","6,783,000","85,000","162,000","9,500"
          Female,"6,513,000","121,000","589,000","28,500","15,000","3,000","820,000","23,000","491,000","21,500","4,447,000","93,500","151,000","13,000"
          Science,"12,401,000","178,500","940,000","34,000","34,000","5,000","1,388,000","30,500","836,000","27,000","8,938,000","143,500","265,000","16,000"
               Male,"6,424,000","87,000","406,000","17,500","20,000","4,000","707,000","18,500","367,000","17,500","4,803,000","77,500","122,000","8,000"
               Female,"5,977,000","115,500","534,000","27,000","15,000","2,500","681,000","22,000","469,000","21,000","4,135,000","90,000","143,000","13,000"
               Biological / agricultural/ environmental life sciences,"2,429,000","49,000","175,000","11,500","6,000","1,500","306,000","13,500","115,000","9,000","1,780,000","42,500","47,000","7,000"
                    Male,"1,220,000","33,000","72,000","7,000","3,000","1,500","127,000","8,000","47,000","6,500","957,000","31,000","14,000","2,500"
                    Female,"1,209,000","32,500","103,000","9,500","2,000","1,000","179,000","11,000","69,000","6,500","823,000","28,000","33,000","7,000"
                    Agricultural/ food sciences,"354,000","22,500","25,000","6,000",S,S,"28,000","4,000","9,000","2,500","289,000","20,500","4,000","2,000"
                         Male,"236,000","19,000","11,000","2,500",*,*,"12,000","2,500","3,000","1,000","208,000","19,000","1,000",500
                         Female,"119,000","10,000","14,000","5,500",D,D,"15,000","3,500","6,000","2,500","81,000","8,000","3,000","1,500"
                    Biological sciences,"1,864,000","39,500","142,000","10,000","4,000","1,500","267,000","13,500","98,000","8,000","1,313,000","34,000","39,000","7,000"
                         Male,"845,000","23,000","56,000","6,000","2,000","1,000","108,000","8,000","36,000","5,000","632,000","21,000","11,000","2,000"
                         Female,"1,020,000","31,500","86,000","8,000","2,000","1,000","159,000","10,500","62,000","6,500","682,000","26,500","28,000","6,500"
                    Environmental life sciences,"210,000","11,000","8,000","2,500","1,000",500,"11,000","2,000","8,000","4,000","178,000","10,500","4,000","1,500"
                         Male,"140,000","9,000","5,000","2,500","1,000",500,"6,000","2,000","8,000","4,000","118,000","8,000",S,S
                         Female,"70,000","7,000","3,000","1,000",D,D,"5,000","1,000","1,000",500,"60,000","7,000","2,000","1,000"
               Computer/ mathematical sciences,"2,639,000","48,500","163,000","10,500","2,000","1,000","535,000","15,500","188,000","12,000","1,713,000","43,500","37,000","4,500"
                    Male,"1,775,000","41,000","112,000","9,000","1,000","1,000","336,000","13,000","115,000","10,000","1,184,000","35,500","27,000","4,000"
                    Female,"864,000","27,000","52,000","6,500",*,*,"200,000","9,500","74,000","8,000","529,000","22,500","10,000","3,000"
                    Computer/ information sciences,"1,877,000","42,000","131,000","10,000","1,000","1,000","431,000","14,500","154,000","11,500","1,129,000","35,000","30,000","4,500"
                         Male,"1,338,000","36,000","92,000","8,000",S,S,"283,000","12,500","92,000","9,000","847,000","29,000","22,000","3,500"
                         Female,"539,000","22,000","39,000","6,000",D,D,"148,000","8,000","62,000","7,000","282,000","18,000","8,000","3,000"
                    Mathematics/ statistics,"762,000","25,000","32,000","4,000",*,*,"104,000","7,500","35,000","5,000","583,000","24,500","7,000","1,500"
                         Male,"437,000","20,000","19,000","3,000",*,*,"53,000","5,000","23,000","4,500","337,000","18,500","5,000","1,500"
                         Female,"325,000","15,500","13,000","2,500",D,D,"51,000","5,500","12,000","2,500","247,000","14,000","2,000","1,000"
               Physical/ related sciences,"956,000","24,500","45,000","4,500","5,000","2,500","150,000","8,500","25,000","3,500","718,000","22,000","13,000","2,000"
                    Male,"659,000","18,500","28,000","3,500","5,000","2,500","98,000","6,500","15,000","2,500","506,000","16,500","7,000","1,500"
                    Female,"297,000","16,000","17,000","3,000",S,S,"52,000","5,500","9,000","2,500","212,000","14,500","6,000","1,500"
"                    Chemistry, except biochemistry","450,000","15,000","24,000","3,500",S,S,"88,000","6,000","18,000","3,000","315,000","14,000","4,000","1,000"
                         Male,"276,000","12,500","12,000","2,500",S,S,"54,000","5,500","9,000","2,000","197,000","11,000","2,000",500
                         Female,"174,000","11,000","11,000","2,500",*,*,"34,000","4,000","8,000","2,500","118,000","9,500","2,000","1,000"
                    Earth/ atmospheric/ ocean sciences,"244,000","14,000","9,000","2,500","1,000",500,"13,000","2,000","1,000",500,"216,000","13,000","4,000","1,500"
                         Male,"162,000","10,000","5,000","1,500","1,000",500,"10,000","1,500","1,000",500,"143,000","9,500","1,000","1,000"
                         Female,"82,000","10,000","3,000","1,500",*,*,"3,000","1,000",*,*,"73,000","10,000","3,000","1,500"
                    Physics/ astronomy,"225,000","10,500","10,000","2,000",*,*,"40,000","4,000","5,000","2,000","165,000","9,000","4,000","1,500"
                         Male,"196,000","10,000","9,000","1,500",D,D,"31,000","3,500","5,000","2,000","149,000","8,500","3,000","1,000"
                         Female,"28,000","3,000","1,000",500,D,D,"9,000","1,500",*,*,"16,000","2,500","1,000","1,000"
                    Other physical sciences,"38,000","6,000","2,000","1,000",D,D,"9,000","4,000",S,S,"22,000","4,500",S,S
                         Male,"24,000","4,500",S,S,D,D,"3,000","1,500",*,*,"17,000","4,500",D,D
                         Female,"13,000","4,000","1,000","1,000",D,D,S,S,*,*,"5,000","2,000",*,*
               Social/ related sciences,"6,378,000","121,000","557,000","27,000","22,000","3,500","397,000","16,500","507,000","22,500","4,727,000","98,500","168,000","12,500"
                    Male,"2,771,000","56,000","195,000","13,000","10,000","2,500","147,000","10,000","190,000","13,000","2,156,000","51,500","73,000","7,000"
                    Female,"3,606,000","85,000","362,000","22,000","11,000","2,500","250,000","13,500","317,000","18,500","2,571,000","66,500","95,000","10,000"
                    Economics,"993,000","34,000","54,000","6,000",S,S,"141,000","11,500","42,000","5,000","736,000","30,500","18,000","4,000"
                         Male,"685,000","27,500","34,000","5,000",S,S,"75,000","9,000","25,000","3,500","537,000","25,000","14,000","4,000"
                         Female,"308,000","19,000","20,000","3,000",S,S,"66,000","7,000","17,000","4,000","199,000","16,000","4,000","1,500"
                    Political/ related sciences,"1,050,000","35,000","93,000","7,000","3,000","1,500","63,000","6,000","67,000","7,000","805,000","31,500","18,000","3,000"
                         Male,"604,000","25,000","43,000","5,500","2,000","1,500","23,000","3,500","33,000","5,000","494,000","24,000","9,000","2,000"
                         Female,"446,000","19,500","51,000","5,000",S,S,"40,000","5,000","34,000","5,000","311,000","18,000","9,000","2,000"
                    Psychology,"2,489,000","62,000","235,000","17,500","6,000","2,500","102,000","8,000","216,000","16,500","1,863,000","52,500","67,000","8,000"
                         Male,"738,000","28,000","49,000","5,500","3,000","1,500","23,000","2,500","65,000","8,500","581,000","27,000","18,000","3,000"
                         Female,"1,751,000","47,500","186,000","16,000","4,000","1,500","79,000","7,500","151,000","13,000","1,282,000","39,000","49,000","7,500"
                    Sociology/ anthropology,"1,101,000","35,000","108,000","12,500","7,000","2,000","54,000","6,000","129,000","11,500","759,000","28,500","44,000","5,500"
                         Male,"432,000","19,000","40,000","6,000",S,S,"13,000","2,500","46,000","7,500","306,000","17,000","24,000","3,000"
                         Female,"669,000","27,500","68,000","11,000","5,000","2,000","41,000","5,500","83,000","9,500","453,000","20,500","20,000","5,000"
                    Other social sciences,"744,000","32,000","67,000","8,500","3,000","1,000","36,000","5,500","52,000","6,500","564,000","28,500","21,000","4,000"
                         Male,"312,000","18,000","30,000","6,000",S,S,"12,000","3,000","20,000","4,000","238,000","15,000","9,000","2,000"
                         Female,"432,000","26,500","37,000","6,500","1,000",500,"23,000","4,500","32,000","6,000","326,000","24,000","12,000","3,500"
          Engineering,"3,410,000","48,500","272,000","14,000","7,000","2,000","673,000","16,000","118,000","7,500","2,292,000","39,500","47,000","4,500"
               Male,"2,873,000","42,000","217,000","11,500","6,000","2,000","534,000","13,000","96,000","6,500","1,980,000","35,000","40,000","4,500"
               Female,"537,000","17,000","55,000","6,500","1,000",500,"139,000","7,500","22,000","3,500","312,000","12,500","8,000","1,500"
               Aerospace/ related engineering,"156,000","12,000","17,000","4,500",D,D,"16,000","4,000","2,000","1,000","118,000","10,500","2,000","1,000"
                    Male,"139,000","12,000","16,000","4,500",D,D,"15,000","3,500","2,000","1,000","103,000","10,500","2,000","1,000"
                    Female,"17,000","3,000","1,000",500,D,D,"1,000","1,000",*,*,"15,000","3,000",*,*
               Chemical engineering,"227,000","11,000","20,000","4,500",D,D,"43,000","4,000","8,000","1,500","153,000","8,500","2,000","1,000"
                    Male,"166,000","9,000","15,000","4,000",D,D,"26,000","2,500","4,000","1,000","119,000","7,500","1,000",500
                    Female,"61,000","6,000","5,000","2,000",D,D,"17,000","3,000","4,000","1,500","34,000","4,500",S,S
               Civil/ architectural engineering,"516,000","18,500","39,000","4,000","1,000",500,"78,000","6,000","17,000","3,000","375,000","16,500","6,000","2,000"
                    Male,"436,000","16,500","31,000","3,500","1,000",500,"62,000","5,500","15,000","3,000","322,000","15,000","5,000","1,500"
                    Female,"80,000","7,000","8,000","2,000",D,D,"15,000","2,500","3,000","1,000","53,000","6,000",S,S
               Electrical/ computer engineering,"1,135,000","26,000","71,000","5,500","3,000","1,500","331,000","11,000","52,000","5,500","660,000","22,500","18,000","3,500"
                    Male,"974,000","25,000","60,000","5,000","3,000","1,500","259,000","9,500","44,000","5,500","592,000","22,000","16,000","3,500"
                    Female,"161,000","9,000","11,000","2,500",D,D,"72,000","5,500","8,000","2,500","68,000","6,500","2,000","1,000"
               Industrial engineering,"237,000","12,000","48,000","5,500",D,D,"29,000","3,500","8,000","2,000","149,000","10,000","2,000","1,000"
                    Male,"188,000","11,000","34,000","5,000",D,D,"23,000","3,000","7,000","2,000","122,000","9,000","2,000","1,000"
                    Female,"50,000","5,500","14,000","2,500",D,D,"6,000","1,500","1,000","1,000","27,000","4,500",S,S
               Mechanical engineering,"662,000","19,500","40,000","4,000","2,000","1,500","102,000","7,000","18,000","3,000","491,000","17,500","8,000","2,000"
                    Male,"601,000","19,000","36,000","4,000",S,S,"93,000","6,500","16,000","2,500","447,000","17,000","8,000","2,000"
                    Female,"61,000","5,000","4,000","1,500",*,*,"9,000","1,500","2,000","1,000","44,000","4,500","1,000",500
               Other engineering,"478,000","15,500","37,000","6,000",*,*,"75,000","5,500","12,000","2,500","346,000","13,500","8,000","2,000"
                    Male,"371,000","13,000","26,000","4,000",*,*,"56,000","4,500","8,000","2,000","275,000","12,000","6,000","2,000"
                    Female,"107,000","9,000","11,000","4,500",D,D,"19,000","3,000","4,000","2,000","72,000","7,000","2,000","1,000"
     S&E-related field,"6,994,000","117,000","497,000","23,000","22,000","6,500","829,000","27,000","415,000","22,500","5,095,000","96,000","136,000","12,000"
          Male,"2,630,000","54,500","187,000","11,000","3,000","1,000","318,000","18,000","144,000","13,500","1,922,000","46,500","56,000","7,000"
          Female,"4,364,000","87,000","310,000","20,500","20,000","6,500","511,000","20,000","270,000","18,500","3,173,000","69,500","80,000","9,000"
          Health,"5,446,000","90,500","398,000","21,500","18,000","6,500","694,000","25,500","339,000","21,500","3,885,000","75,000","112,000","11,000"
               Male,"1,667,000","43,000","129,000","9,000","2,000","1,000","246,000","16,000","93,000","12,000","1,159,000","35,000","38,000","5,500"
               Female,"3,779,000","71,500","269,000","19,500","16,000","6,500","448,000","20,000","246,000","18,000","2,726,000","57,000","74,000","9,000"
          Science/ mathematics teacher education,"552,000","27,000","23,000","4,500",S,S,"28,000","6,000","20,000","3,000","466,000","25,000","11,000","4,500"
               Male,"216,000","13,500","11,000","3,000",D,D,"5,000","1,500","6,000","2,000","186,000","13,000",S,S
               Female,"336,000","23,000","12,000","3,000",D,D,"23,000","6,000","14,000","3,000","280,000","20,500","3,000","1,500"
          Technology/ technical fields,"511,000","25,000","34,000","5,000",D,D,"63,000","6,000","28,000","4,500","378,000","22,000","7,000","2,500"
               Male,"439,000","23,500","28,000","4,500",D,D,"43,000","5,500","24,000","4,000","337,000","21,500","7,000","2,500"
               Female,"72,000","8,000","6,000","2,000",D,D,"21,000","3,500","5,000","2,000","40,000","6,000",D,D
          Other S&E-related fields,"485,000","21,500","42,000","6,500",D,D,"43,000","5,000","27,000","6,000","367,000","19,500","6,000","2,000"
               Male,"308,000","16,000","19,000","3,500",D,D,"24,000","4,000","22,000","5,500","240,000","14,500","3,000","1,500"
               Female,"177,000","14,000","23,000","6,000",D,D,"19,000","3,000","5,000","2,500","127,000","12,000","3,000","1,500"
     Non-S&E field,"6,146,000","115,500","408,000","25,000","18,000","4,000","399,000","18,000","457,000","23,000","4,777,000","100,000","88,000","9,000"
          Male,"3,208,000","54,500","207,000","15,000","7,000","2,000","228,000","13,500","179,000","11,000","2,544,000","50,500","43,000","6,000"
          Female,"2,938,000","81,500","201,000","18,000","10,000","3,000","171,000","10,500","278,000","19,000","2,232,000","68,500","45,000","6,000"
          Art/ humanities fields,"609,000","31,000","65,000","9,000",S,S,"23,000","4,500","23,000","4,500","484,000","28,500","13,000","4,000"
               Male,"325,000","20,000","43,000","8,000",D,D,"6,000","2,000","6,000","2,000","260,000","18,000","10,000","4,000"
               Female,"284,000","20,500","23,000","5,500",D,D,"16,000","3,500","18,000","4,500","224,000","19,000","3,000","1,500"
"          Education, except science/ math teacher education","1,430,000","46,500","82,000","10,500","2,000","1,000","50,000","9,000","127,000","12,500","1,149,000","43,500","20,000","5,000"
               Male,"493,000","25,000","26,000","6,000","1,000",500,"18,000","8,000","29,000","5,500","416,000","24,500","3,000","1,000"
               Female,"936,000","39,500","56,000","8,500","1,000",500,"32,000","4,000","97,000","11,000","733,000","35,500","17,000","4,500"
          Management/ administration,"2,000,000","55,000","118,000","12,500","7,000","2,500","208,000","14,000","174,000","15,000","1,469,000","44,000","25,000","4,000"
               Male,"1,343,000","36,000","65,000","5,500","5,000","2,000","144,000","10,500","91,000","9,500","1,018,000","30,000","18,000","3,500"
               Female,"658,000","32,500","53,000","10,000",S,S,"64,000","7,500","83,000","10,000","450,000","26,000","6,000","2,000"
          Sales/ marketing,"125,000","11,000","6,000","1,500",D,D,"20,000","3,500","6,000","2,000","92,000","10,000",*,*
               Male,"69,000","7,000","4,000","1,500",D,D,"13,000","2,500","3,000","1,500","49,000","6,000",D,D
               Female,"56,000","8,500","2,000","1,000",D,D,"7,000","2,500","2,000","1,000","43,000","7,500",*,*
          Social service/ related,"443,000","18,500","31,000","4,500",S,S,"25,000","5,000","34,000","5,500","346,000","17,000","5,000","2,000"
               Male,"170,000","13,500","13,000","3,500",D,D,"13,000","4,000","7,000","2,500","136,000","12,000","1,000",500
               Female,"272,000","13,500","17,000","3,000",S,S,"13,000","3,500","27,000","4,500","210,000","12,500","4,000","1,500"
          Other non-S&E field,"1,539,000","44,500","107,000","13,000","7,000","2,500","72,000","7,000","93,000","8,500","1,236,000","37,500","24,000","3,500"
               Male,"807,000","27,500","56,000","7,500",S,S,"34,000","4,500","42,000","4,500","664,000","24,000","10,000","2,000"
               Female,"732,000","33,500","51,000","10,000","6,000","2,500","38,000","5,500","51,000","7,000","572,000","27,500","14,000","3,000"
,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
