"Table 6-2. U.S. scientists and engineers with a bachelor's as the highest degree, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Level and field of highest degree and sex             ,  ,,,,Not Hispanic or Latinob,,,,,,,,,
,All scientists and engineers,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Bachelor's,"16,650,000","249,500","1,359,000","45,000","53,000","8,000","1,696,000","40,500","1,082,000","31,500","12,128,000","195,500","332,000","19,000"
     Male,"8,710,000","118,000","641,000","23,000","24,000","4,000","873,000","25,000","477,000","18,000","6,532,000","102,000","164,000","11,000"
     Female,"7,940,000","156,000","719,000","33,500","29,000","7,000","823,000","27,000","604,000","24,500","5,597,000","120,500","168,000","14,000"
     S&E field,"11,425,000","166,500","952,000","34,500","34,000","5,000","1,198,000","30,500","734,000","24,000","8,265,000","133,500","242,000","15,000"
          Male,"6,709,000","91,000","490,000","19,500","22,000","4,000","685,000","19,500","359,000","16,500","5,029,000","78,500","124,000","8,500"
          Female,"4,716,000","98,000","463,000","25,000","12,000","2,500","513,000","20,500","375,000","17,500","3,237,000","77,000","117,000","12,000"
          Science,"9,019,000","149,500","741,000","30,000","28,000","4,500","819,000","27,000","644,000","23,000","6,577,000","122,000","210,000","14,500"
               Male,"4,656,000","79,500","317,000","15,000","16,000","3,500","388,000","17,000","286,000","16,500","3,551,000","70,500","97,000","7,500"
               Female,"4,362,000","93,000","424,000","24,000","12,000","2,500","431,000","19,000","358,000","17,500","3,026,000","73,500","112,000","12,000"
               Biological / agricultural/ environmental life sciences,"1,786,000","44,000","144,000","11,000","5,000","1,500","175,000","12,000","96,000","9,000","1,329,000","39,500","37,000","6,500"
                    Male,"895,000","31,500","58,000","7,000","3,000","1,500","72,000","7,500","38,000","6,500","714,000","29,500","10,000","2,000"
                    Female,"891,000","29,000","85,000","9,000","2,000","1,000","103,000","9,000","59,000","6,500","615,000","26,500","27,000","6,500"
                    Agricultural/ food sciences,"281,000","20,500","20,000","6,000",*,*,"14,000","3,500","7,000","2,500","237,000","19,000",S,S
                         Male,"192,000","18,000","9,000","2,500",*,*,"7,000","2,000","2,000","1,000","173,000","17,500",*,*
                         Female,"89,000","9,500","11,000","5,500",D,D,"7,000","2,500","4,000","2,000","64,000","7,500",S,S
                    Biological sciences,"1,347,000","35,500","117,000","9,500","4,000","1,500","155,000","11,500","82,000","8,000","957,000","32,000","32,000","6,500"
                         Male,"594,000","22,000","45,000","6,000",S,S,"61,000","7,000","28,000","5,000","450,000","20,000","8,000","2,000"
                         Female,"754,000","28,000","72,000","7,500","2,000","1,000","94,000","8,500","54,000","6,000","507,000","25,000","24,000","6,000"
                    Environmental life sciences,"157,000","10,500","6,000","2,000","1,000",500,"6,000","2,000","7,000","3,500","134,000","9,500","3,000","1,500"
                         Male,"109,000","9,000","5,000","2,000","1,000",500,"4,000","2,000",S,S,"91,000","7,500",S,S
                         Female,"48,000","6,500","1,000","1,000",D,D,"2,000","1,000",*,*,"44,000","6,000","1,000",500
               Computer/ mathematical sciences,"1,791,000","40,500","122,000","9,000","1,000","1,000","264,000","13,000","141,000","10,500","1,233,000","36,000","30,000","4,500"
                    Male,"1,199,000","36,000","82,000","7,500",S,S,"155,000","10,500","87,000","9,000","853,000","31,000","22,000","3,500"
                    Female,"593,000","22,500","40,000","6,000",D,D,"109,000","8,000","55,000","6,500","380,000","19,000","9,000","3,000"
                    Computer/ information sciences,"1,275,000","35,000","99,000","8,500","1,000","1,000","205,000","12,000","115,000","10,000","828,000","31,000","25,000","4,000"
                         Male,"915,000","31,500","69,000","6,500",S,S,"127,000","9,500","70,000","8,500","629,000","26,000","19,000","3,500"
                         Female,"359,000","17,500","30,000","5,500",D,D,"77,000","7,000","45,000","6,000","200,000","15,500","7,000","2,500"
                    Mathematics/ statistics,"517,000","20,500","22,000","3,500",*,*,"59,000","6,500","26,000","4,500","405,000","20,000","5,000","1,500"
                         Male,"284,000","17,500","12,000","3,000",D,D,"27,000","4,000","17,000","4,000","224,000","16,500","3,000","1,000"
                         Female,"233,000","13,500","10,000","2,500",D,D,"32,000","5,000","9,000","2,500","180,000","12,500","2,000","1,000"
               Physical/ related sciences,"562,000","23,000","32,000","4,000","5,000","2,500","75,000","8,000","16,000","2,500","426,000","20,500","9,000","2,000"
                    Male,"367,000","17,000","19,000","3,000",S,S,"44,000","5,500","11,000","2,500","284,000","15,500","5,000","1,500"
                    Female,"195,000","15,000","13,000","2,500",*,*,"30,000","5,000","5,000","1,000","142,000","14,000","4,000","1,500"
"                    Chemistry, except biochemistry","274,000","14,500","18,000","3,500",S,S,"44,000","6,000","10,000","2,000","199,000","13,500","3,000","1,000"
                         Male,"159,000","11,500","9,000","2,500",D,D,"23,000","4,500","6,000","1,500","119,000","10,500","2,000",500
                         Female,"115,000","10,500","9,000","2,500",D,D,"20,000","4,000","5,000","1,000","80,000","9,000","1,000","1,000"
                    Earth/ atmospheric/ ocean sciences,"148,000","11,500","6,000","2,000",*,*,"5,000","1,500",S,S,"132,000","11,500","3,000","1,500"
                         Male,"91,000","8,500","4,000","1,500",D,D,"5,000","1,500",*,*,"81,000","8,000",S,S
                         Female,"56,000","9,000","3,000","1,500",D,D,*,*,*,*,"51,000","9,500","2,000","1,500"
                    Physics/ astronomy,"109,000","9,500","6,000","1,500",D,D,"17,000","3,500","4,000","2,000","78,000","8,000","3,000","1,500"
                         Male,"97,000","9,000","6,000","1,500",D,D,"14,000","3,000","4,000","2,000","71,000","7,500","2,000","1,000"
                         Female,"12,000","2,500","1,000",500,D,D,"4,000","1,500",*,*,"7,000","2,000","1,000",500
                    Other physical sciences,"31,000","6,000","1,000","1,000",D,D,"8,000","4,000",S,S,"18,000","4,500",D,D
                         Male,"20,000","4,500",D,D,D,D,S,S,D,D,"14,000","4,000",D,D
                         Female,"11,000","4,000","1,000","1,000",D,D,D,D,D,D,"4,000","2,000",D,D
               Social/ related sciences,"4,879,000","103,500","444,000","24,000","17,000","3,000","306,000","16,000","391,000","20,000","3,589,000","85,000","133,000","11,500"
                    Male,"2,195,000","53,000","159,000","11,500","8,000","2,500","117,000","10,000","151,000","12,500","1,699,000","48,000","61,000","6,500"
                    Female,"2,684,000","70,000","285,000","19,500","9,000","2,500","188,000","12,500","240,000","15,000","1,889,000","57,000","72,000","9,000"
                    Economics,"831,000","32,500","43,000","5,000",S,S,"110,000","11,000","31,000","4,500","630,000","28,500","16,000","4,000"
                         Male,"583,000","27,000","29,000","4,500",D,D,"63,000","9,000","16,000","3,000","462,000","23,500","12,000","3,500"
                         Female,"249,000","17,500","14,000","2,500",D,D,"47,000","6,500","15,000","4,000","168,000","15,000","4,000","1,500"
                    Political/ related sciences,"840,000","31,500","80,000","7,000","2,000","1,500","48,000","5,500","56,000","6,500","640,000","28,500","15,000","3,000"
                         Male,"492,000","23,000","37,000","5,500",S,S,"17,000","2,500","27,000","4,500","402,000","21,500","7,000","2,000"
                         Female,"348,000","18,500","43,000","4,500",S,S,"31,000","4,500","28,000","4,500","238,000","16,500","8,000","2,000"
                    Psychology,"1,698,000","51,000","169,000","14,000","5,000","2,000","74,000","7,000","144,000","13,500","1,260,000","44,500","45,000","7,000"
                         Male,"526,000","26,500","34,000","5,000",S,S,"19,000","2,500","49,000","7,500","408,000","24,500","12,000","3,000"
                         Female,"1,172,000","39,000","135,000","13,000",S,S,"56,000","6,000","95,000","10,000","851,000","33,500","33,000","6,500"
                    Sociology/ anthropology,"968,000","33,500","100,000","12,000","6,000","2,000","49,000","6,000","120,000","11,500","653,000","27,000","39,000","5,500"
                         Male,"371,000","18,500","37,000","6,000",S,S,"11,000","2,500","43,000","7,500","255,000","16,000","22,000","3,000"
                         Female,"598,000","26,500","63,000","10,500","5,000","2,000","37,000","5,500","77,000","9,500","398,000","19,500","18,000","4,500"
                    Other social sciences,"542,000","27,000","52,000","7,500","2,000","1,000","25,000","5,000","39,000","6,000","406,000","24,000","17,000","3,500"
                         Male,"224,000","17,000","21,000","5,000",S,S,"7,000","2,500","15,000","3,500","171,000","14,500","8,000","1,500"
                         Female,"318,000","21,500","32,000","6,500","1,000",500,"18,000","4,500","24,000","5,000","235,000","19,000","9,000","3,000"
          Engineering,"2,406,000","43,000","211,000","12,000","6,000","2,000","379,000","13,500","90,000","6,500","1,689,000","37,000","32,000","4,000"
               Male,"2,053,000","37,000","172,000","10,500","6,000","2,000","297,000","11,000","73,000","6,000","1,478,000","32,000","27,000","4,000"
               Female,"353,000","15,500","39,000","5,500",*,*,"82,000","6,500","17,000","3,000","211,000","12,000","5,000","1,000"
