"Table 7-2. Employed U.S. scientists and engineers with a bachelor's as the highest degree,by field of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and employment sector             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Bachelor's,"13,432,000","237,000","1,695,000","53,000","8,169,000","155,000","3,420,000","78,000","1,872,000","57,000","5,387,000","108,500"
     Business/ industry,"10,157,000","186,500","1,441,000","48,000","6,532,000","133,000","2,591,000","62,500","750,000","33,000","4,175,000","88,500"
     4-year college/ university,"646,000","27,000","70,000","8,000","246,000","17,500","265,000","15,000","140,000","12,500","275,000","19,500"
     Other educational institution,"1,054,000","45,500","41,000","6,000","378,000","23,000","164,000","17,000","867,000","43,500","240,000","18,500"
     Government,"1,575,000","50,500","143,000","13,500","1,013,000","39,500","399,000","23,500","115,000","12,500","697,000","31,500"
     S&E field,"8,932,000","155,500","1,248,000","37,500","5,909,000","118,000","2,450,000","52,500","922,000","35,500","2,930,000","66,500"
          Business/ industry,"6,795,000","126,000","1,060,000","34,000","4,767,000","102,500","1,847,000","44,500","308,000","19,000","2,232,000","54,500"
          4-year college/ university,"424,000","21,000","53,000","7,000","171,000","14,500","212,000","11,500","75,000","8,500","130,000","12,000"
          Other educational institution,"574,000","28,500","26,000","4,500","206,000","14,000","98,000","13,000","458,000","26,000","117,000","12,000"
          Government,"1,139,000","37,500","110,000","11,500","766,000","31,000","293,000","18,500","82,000","10,000","452,000","23,500"
          Science,"6,933,000","134,000","896,000","31,500","4,639,000","101,000","1,590,000","42,000","836,000","33,500","2,396,000","62,000"
               Business/ industry,"5,129,000","111,000","743,000","28,000","3,694,000","89,000","1,112,000","34,500","270,000","18,500","1,787,000","51,500"
               4-year college/ university,"379,000","20,000","41,000","6,000","161,000","14,000","180,000","11,000","68,000","8,000","123,000","12,000"
               Other educational institution,"536,000","28,000","21,000","4,500","193,000","13,500","94,000","13,000","430,000","25,500","106,000","11,500"
               Government,"889,000","31,000","90,000","11,000","591,000","25,000","204,000","15,000","68,000","9,000","379,000","21,500"
               Biological/ agricultural/ environmental life sciences,"1,369,000","39,000","51,000","6,000","892,000","30,500","368,000","17,500","165,000","12,000","568,000","26,000"
                    Business/ industry,"977,000","33,500","32,000","5,000","700,000","27,000","206,000","13,000","48,000","6,000","458,000","25,500"
                    4-year college/ university,"126,000","10,000","6,000","2,000","39,000","6,000","82,000","8,000","21,000","4,000","41,000","6,000"
                    Other educational institution,"92,000","10,500",D,D,"38,000","5,500","23,000","7,000","78,000","9,500","8,000","3,000"
                    Government,"174,000","14,000","9,000","3,000","115,000","10,500","57,000","7,000","17,000","4,500","61,000","8,000"
                    Agricultural/ food sciences,"241,000","19,000","9,000","2,500","197,000","17,000","44,000","6,500","17,000","4,000","98,000","13,500"
                         Business/ industry,"193,000","16,500",S,S,"169,000","15,500","28,000","5,000","7,000","2,000","85,000","12,500"
                         4-year college/ university,"7,000","2,000",D,D,"1,000","1,000","5,000","2,000",*,*,"3,000","1,500"
                         Other educational institution,"14,000","4,000",D,D,"5,000","2,500",S,S,"9,000","3,000",D,D
                         Government,"27,000","6,500",S,S,"21,000","6,000","7,000","3,000",S,S,"10,000","3,500"
                    Biological sciences,"1,008,000","32,000","32,000","5,000","604,000","23,500","292,000","16,000","139,000","11,500","436,000","23,000"
                         Business/ industry,"716,000","29,000","25,000","4,500","478,000","23,000","161,000","12,500","38,000","5,000","354,000","21,500"
                         4-year college/ university,"111,000","9,500","4,000","1,500","32,000","5,500","75,000","7,500","18,000","3,500","36,000","6,000"
                         Other educational institution,"74,000","9,500",D,D,"32,000","5,000","20,000","6,500","68,000","9,500","6,000","2,500"
                         Government,"106,000","10,000","3,000","1,500","62,000","6,500","36,000","5,500","14,000","4,000","40,000","6,500"
                    Environmental life sciences,"120,000","9,500","10,000","3,500","91,000","8,500","33,000","5,000","9,000","2,500","34,000","4,500"
                         Business/ industry,"68,000","7,500","4,000","2,000","53,000","7,000","16,000","3,500",S,S,"20,000","3,500"
                         4-year college/ university,"8,000","3,000",D,D,S,S,"2,000","1,000",S,S,S,S
                         Other educational institution,"4,000","2,000",D,D,S,S,D,D,"1,000","1,000",D,D
                         Government,"41,000","5,500",S,S,"32,000","4,500","14,000","3,500","3,000","1,500","11,000","2,500"
               Computer/ mathematical sciences,"1,501,000","37,500","648,000","24,500","841,000","27,000","467,000","19,000","129,000","12,000","341,000","19,000"
                    Business/ industry,"1,202,000","37,000","560,000","23,500","692,000","25,500","383,000","17,500","36,000","6,500","279,000","17,000"
                    4-year college/ university,"60,000","6,500","23,000","3,500","24,000","5,000","22,000","4,000","11,000","3,000","18,000","4,000"
                    Other educational institution,"104,000","10,500","13,000","3,000","46,000","7,000","23,000","5,500","79,000","9,500","8,000","2,000"
                    Government,"135,000","11,000","51,000","7,000","79,000","8,000","38,000","6,000","3,000","1,500","36,000","6,000"
                    Computer/ information sciences,"1,111,000","34,000","573,000","23,000","598,000","23,500","379,000","17,500","37,000","6,000","233,000","16,500"
                         Business/ industry,"938,000","32,500","496,000","22,000","508,000","22,000","326,000","16,500","23,000","5,000","189,000","14,000"
                         4-year college/ university,"41,000","5,500","20,000","3,500","18,000","4,000","14,000","3,000","1,000",500,"15,000","3,500"
                         Other educational institution,"30,000","5,000","12,000","3,000","14,000","4,000","9,000","3,000","11,000","3,000","3,000","1,000"
                         Government,"102,000","9,500","45,000","6,500","58,000","7,000","30,000","5,500","2,000","1,000","25,000","5,000"
                    Mathematics/ statistics,"390,000","17,500","75,000","7,500","243,000","14,500","88,000","8,500","92,000","10,000","108,000","10,000"
                         Business/ industry,"264,000","15,500","64,000","7,500","184,000","13,000","58,000","7,000","13,000","4,000","89,000","9,500"
                         4-year college/ university,"19,000","4,000","3,000","1,500","6,000","2,500","8,000","2,000","9,000","3,000","3,000","1,500"
                         Other educational institution,"74,000","9,500",S,S,"32,000","5,500","14,000","5,000","68,000","9,000","5,000","1,500"
                         Government,"33,000","6,000","7,000","2,000","22,000","5,000","8,000","2,500","1,000",500,"11,000","3,500"
               Physical sciences,"419,000","20,000","45,000","7,000","237,000","15,000","155,000","11,000","53,000","7,000","148,000","11,500"
                    Business/ industry,"300,000","16,500","37,000","6,500","187,000","13,500","102,000","8,500","14,000","3,500","112,000","10,000"
                    4-year college/ university,"31,000","4,000","3,000","1,000","6,000","2,500","26,000","3,500","7,000","2,500","5,000","1,500"
                    Other educational institution,"36,000","6,000",S,S,"14,000","4,000","5,000","2,500","31,000","6,000","10,000","3,500"
                    Government,"52,000","6,500","4,000","1,000","30,000","5,500","22,000","5,000","1,000",500,"22,000","4,000"
"                    Chemistry, except biochemistry","190,000","11,500","16,000","4,000","109,000","9,000","68,000","6,000","18,000","3,500","76,000","7,500"
                         Business/ industry,"146,000","10,500","12,000","4,000","94,000","9,000","46,000","5,000","5,000","2,000","60,000","7,500"
                         4-year college/ university,"16,000","2,500",S,S,"1,000",500,"14,000","2,000","2,000","1,000","3,000","1,500"
                         Other educational institution,"12,000","3,000",D,D,"5,000","2,000",S,S,"11,000","3,000","1,000","1,000"
                         Government,"17,000","3,000",D,D,"9,000","2,000","6,000","1,500",D,D,"11,000","2,000"
                    Earth/ atmospheric/ ocean sciences,"124,000","10,500","10,000","4,500","76,000","9,500","45,000","6,500","20,000","5,500","43,000","6,000"
                         Business/ industry,"78,000","9,000","9,000","4,500","51,000","8,000","26,000","4,000","5,000","2,500","28,000","4,500"
                         4-year college/ university,"5,000","2,500",D,D,S,S,"4,000","2,500",S,S,S,S
                         Other educational institution,"16,000","5,000",D,D,"6,000","3,000",D,D,"15,000","5,000","7,000","3,500"
                         Government,"25,000","5,500","1,000",500,"16,000","5,000","14,000","4,500","1,000",500,"8,000","2,500"
                    Physics/ astronomy,"78,000","8,000","18,000","3,500","41,000","5,500","32,000","4,500","12,000","3,000","14,000","3,500"
                         Business/ industry,"57,000","6,500","15,000","3,500","33,000","5,000","22,000","4,000","4,000","2,000","11,000","3,000"
                         4-year college/ university,"10,000","2,500","2,000","1,000","1,000",500,"7,000","1,500","4,000","2,000","1,000",500
                         Other educational institution,"6,000","2,000",D,D,"3,000","1,500",S,S,"3,000","1,500",D,D
                         Government,"6,000","2,500",S,S,"4,000","2,000","2,000","1,000",D,D,"1,000",500
                    Other physical sciences,"26,000","5,500",D,D,"11,000","3,000","11,000","4,000",S,S,"16,000","5,000"
                         Business/ industry,"19,000","5,000",D,D,"9,000","3,000","7,000","4,000",D,D,"13,000","4,000"
                         4-year college/ university,D,D,D,D,D,D,D,D,D,D,D,D
                         Other educational institution,S,S,D,D,S,S,D,D,S,S,D,D
                         Government,S,S,D,D,D,D,"1,000","1,000",D,D,D,D
               Social sciences,"3,644,000","91,000","153,000","14,000","2,670,000","73,000","599,000","26,500","489,000","25,000","1,340,000","46,000"
                    Business/ industry,"2,650,000","75,500","115,000","10,500","2,114,000","66,000","421,000","23,000","172,000","15,500","939,000","35,500"
                    4-year college/ university,"163,000","13,500","9,000","4,000","93,000","10,500","50,000","6,000","29,000","4,500","60,000","9,000"
                    Other educational institution,"304,000","18,500","3,000","1,500","95,000","9,500","43,000","8,000","241,000","17,000","81,000","10,000"
                    Government,"528,000","24,500","26,000","7,000","367,000","20,500","86,000","10,000","46,000","7,000","260,000","17,500"
                    Economics,"670,000","29,500","34,000","5,000","556,000","27,000","112,000","11,000","22,000","4,000","216,000","17,000"
                         Business/ industry,"596,000","28,000","31,000","5,000","511,000","26,000","104,000","11,000","9,000","2,500","189,000","16,000"
                         4-year college/ university,"15,000","4,000",S,S,"10,000","4,000","3,000","1,000","4,000","2,000","2,000","1,000"
                         Other educational institution,"10,000","2,500",D,D,"6,000","2,000",S,S,"5,000","2,000",S,S
                         Government,"48,000","7,000","2,000","1,000","28,000","4,500","4,000","1,500",S,S,"22,000","6,000"
                    Political/ related sciences,"662,000","26,000","32,000","6,500","509,000","22,500","120,000","11,000","47,000","5,500","250,000","17,500"
                         Business/ industry,"504,000","24,000","28,000","6,000","409,000","20,500","87,000","10,000","16,000","3,000","182,000","15,000"
                         4-year college/ university,"28,000","4,500",D,D,"18,000","4,000","8,000","2,000","5,000","1,500","13,000","3,500"
                         Other educational institution,"29,000","5,000",D,D,"14,000","3,500","1,000",500,"21,000","4,000","8,000","3,500"
                         Government,"101,000","9,500",S,S,"68,000","8,500","23,000","5,000","6,000","3,000","48,000","7,500"
                    Psychology,"1,271,000","45,500","29,000","5,500","867,000","37,500","194,000","14,500","244,000","17,500","497,000","24,500"
                         Business/ industry,"880,000","37,000","21,000","5,000","669,000","33,000","120,000","10,500","102,000","13,500","329,000","19,500"
                         4-year college/ university,"68,000","8,000",S,S,"29,000","5,000","24,000","5,000","11,000","3,000","31,000","6,500"
                         Other educational institution,"136,000","12,000",D,D,"37,000","5,500","20,000","4,500","103,000","9,000","37,000","6,000"
                         Government,"187,000","15,500","6,000","2,500","132,000","13,500","29,000","6,500","27,000","6,000","99,000","11,000"
                    Sociology/ anthropology,"667,000","28,000","42,000","8,500","464,000","22,500","94,000","10,000","112,000","11,500","259,000","17,000"
                         Business/ industry,"427,000","22,000","22,000","4,500","331,000","18,500","63,000","8,500","29,000","5,500","162,000","13,500"
                         4-year college/ university,"29,000","5,000",S,S,"21,000","4,500","7,000","2,000","5,000","2,000","7,000","2,500"
                         Other educational institution,"80,000","9,500",D,D,"19,000","4,500","10,000","3,500","69,000","10,000","25,000","6,000"
                         Government,"131,000","12,500","14,000","6,000","94,000","10,500","13,000","4,000","9,000","3,000","64,000","8,500"
                    Other social sciences,"374,000","21,000","15,000","3,500","273,000","17,500","80,000","10,000","65,000","9,500","118,000","12,000"
                         Business/ industry,"242,000","15,000","13,000","3,000","194,000","14,000","46,000","7,500","16,000","4,000","76,000","9,000"
                         4-year college/ university,"22,000","5,500",S,S,"14,000","5,000","7,000","3,000","5,000","2,000","6,000","3,500"
                         Other educational institution,"50,000","9,000",D,D,"19,000","4,500","10,000","5,000","43,000","8,500","8,000","3,000"
                         Government,"60,000","8,000",S,S,"46,000","7,500","17,000","4,500",S,S,"27,000","6,000"
          Engineering,"1,999,000","40,500","352,000","16,000","1,270,000","34,000","860,000","24,500","86,000","9,000","534,000","20,000"
               Business/ industry,"1,666,000","35,000","317,000","16,000","1,073,000","29,500","736,000","21,000","38,000","5,500","445,000","17,500"
               4-year college/ university,"45,000","5,000","12,000","3,000","10,000","3,000","32,000","4,000","7,000","2,000","6,000","2,000"
               Other educational institution,"38,000","6,500","4,000","1,500","13,000","4,500","4,000","1,500","28,000","6,000","10,000","3,500"
               Government,"250,000","15,000","19,000","3,500","175,000","12,500","88,000","8,000","13,000","4,500","72,000","8,000"
