"Table 7-4. Employed U.S. scientists and engineers with a doctorate as the highest degree, by field of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and employment sector             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Doctorate,"1,154,000","16,000","91,000","3,500","455,000","9,500","703,000","12,000","359,000","9,500","267,000","8,500"
     Business/ industry,"501,000","10,500","64,000","3,000","240,000","7,500","290,000","7,500","24,000","3,000","158,000","7,500"
     4-year college/ university,"493,000","9,500","20,000","2,000","150,000","5,500","335,000","8,000","280,000","7,000","69,000","3,500"
     Other educational institution,"68,000","7,000","1,000",500,"22,000","2,500","18,000","4,000","52,000","6,500","12,000","2,000"
     Government,"93,000","3,500","6,000",500,"43,000","2,500","60,000","3,000","3,000","1,000","28,000","2,500"
     S&E field,"873,000","8,000","82,000","3,000","335,000","5,000","571,000","7,000","230,000","4,000","189,000","4,000"
          Business/ industry,"399,000","5,500","59,000","2,500","184,000","4,000","251,000","4,500","13,000","1,000","111,000","2,500"
          4-year college/ university,"363,000","5,500","18,000","2,000","105,000","2,500","260,000","5,000","192,000","3,500","46,000","2,000"
          Other educational institution,"30,000","1,500","1,000",500,"9,000","1,000","6,000",500,"23,000","1,500","7,000","1,000"
          Government,"81,000","3,000","6,000",500,"38,000","2,000","54,000","2,500","2,000",500,"25,000","2,000"
          Science,"706,000","7,000","57,000","2,500","274,000","4,500","445,000","6,500","206,000","4,000","167,000","3,500"
               Business/ industry,"290,000","4,500","38,000","2,000","139,000","4,000","170,000","4,000","11,000","1,000","94,000","2,000"
               4-year college/ university,"320,000","5,000","14,000","1,500","94,000","2,500","227,000","4,500","171,000","3,500","43,000","2,000"
               Other educational institution,"28,000","1,500","1,000",500,"8,000",500,"5,000",500,"22,000","1,500","7,000","1,000"
               Government,"68,000","3,000","4,000",500,"32,000","2,000","43,000","2,500","2,000",500,"23,000","2,000"
               Biological/ agricultural/ environmental life sciences,"254,000","5,000","11,000","1,500","107,000","3,500","181,000","4,500","55,000","2,000","52,000","2,500"
                    Business/ industry,"95,000","3,500","6,000","1,000","49,000","2,500","64,000","3,000","3,000",500,"25,000","1,500"
