"Table 8-2. Employed U.S. scientists and engineers with a bachelor's as the highest degree, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,  ,,Sex,,,,,,Not Hispanic or Latinob,,,,,,,,,
,Employed scientists and engineers,,Male,,Female,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Bachelor's,"13,432,000","237,000","7,275,000","117,000","6,156,000","142,500","1,123,000","41,000","46,000","8,000","1,355,000","35,500","857,000","31,500","9,784,000","187,500","267,000","16,000"
     S&E field,"8,932,000","155,500","5,455,000","87,000","3,477,000","86,500","772,000","31,500","30,000","5,000","936,000","25,500","545,000","23,000","6,461,000","125,000","188,000","12,500"
          Science,"6,933,000","134,000","3,731,000","72,000","3,202,000","81,000","585,000","27,000","24,000","4,500","621,000","22,500","468,000","21,000","5,076,000","109,500","159,000","12,000"
               Biological/ agricultural/ environmental life sciences,"1,369,000","39,000","712,000","28,500","657,000","24,000","113,000","10,000","5,000","1,500","121,000","10,500","71,000","8,000","1,030,000","35,000","29,000","6,000"
                    Agricultural/ food sciences,"241,000","19,000","167,000","16,500","74,000","9,000","20,000","6,000",*,*,"10,000","3,000","5,000","2,000","204,000","17,500",S,S
                    Biological sciences,"1,008,000","32,000","460,000","20,500","548,000","22,500","88,000","7,500","3,000","1,500","106,000","10,000","59,000","7,000","727,000","29,000","24,000","5,500"
                    Environmental life sciences,"120,000","9,500","85,000","8,000","35,000","5,000","6,000","2,000","1,000",500,"5,000","2,000","7,000","3,500","99,000","8,500",S,S
               Computer/ mathematical sciences,"1,501,000","37,500","1,051,000","33,500","450,000","19,000","97,000","7,500","1,000","1,000","215,000","11,500","121,000","10,500","1,041,000","32,500","26,000","4,500"
                    Computer/ information sciences,"1,111,000","34,000","825,000","30,000","286,000","16,000","79,000","6,500","1,000","1,000","173,000","11,000","103,000","10,000","732,000","29,500","22,000","4,000"
                    Mathematics/ statistics,"390,000","17,500","227,000","16,000","163,000","11,000","17,000","3,000",*,*,"41,000","4,500","18,000","3,500","310,000","17,000","4,000","1,000"
               Physical/ related sciences,"419,000","20,000","281,000","14,000","138,000","13,000","27,000","3,500",S,S,"56,000","7,000","10,000","1,500","313,000","17,500","8,000","2,000"
"                    Chemistry, except biochemistry","190,000","11,500","115,000","8,500","75,000","8,000","15,000","3,000",S,S,"33,000","5,000","8,000","1,500","132,000","9,500","2,000","1,000"
                    Earth/ atmospheric/ ocean sciences,"124,000","10,500","78,000","8,000","46,000","8,500","6,000","2,000",*,*,"2,000","1,000",*,*,"114,000","10,500","2,000","1,500"
                    Physics/ astronomy,"78,000","8,000","72,000","7,500","7,000","1,500","6,000","1,500",D,D,"13,000","3,000","2,000","1,000","55,000","6,500","3,000","1,500"
                    Other physical sciences,"26,000","5,500","16,000","4,000","10,000","4,000","1,000","1,000",D,D,"8,000","4,000",S,S,"13,000","4,000",D,D
               Social/ related sciences,"3,644,000","91,000","1,687,000","45,500","1,958,000","61,500","347,000","21,500","14,000","3,000","229,000","14,000","265,000","16,000","2,692,000","76,000","97,000","8,500"
                    Economics,"670,000","29,500","482,000","24,000","188,000","15,500","33,000","4,000",D,D,"87,000","10,500","24,000","4,000","510,000","25,500","14,000","4,000"
                    Political/ related sciences,"662,000","26,000","386,000","19,500","276,000","15,500","68,000","6,000","2,000","1,500","37,000","4,000","43,000","5,500","499,000","24,000","13,000","2,500"
                    Psychology,"1,271,000","45,500","411,000","24,000","860,000","33,000","126,000","12,500","4,000","2,000","55,000","6,000","102,000","9,500","955,000","40,000","30,000","5,500"
                    Sociology/ anthropology,"667,000","28,000","261,000","15,500","405,000","22,000","84,000","11,500","5,000","2,000","31,000","5,000","69,000","8,500","449,000","23,500","29,000","3,500"
                    Other social sciences,"374,000","21,000","146,000","13,000","229,000","17,000","35,000","6,000",S,S,"19,000","4,000","28,000","5,500","280,000","18,500","10,000","3,000"
          Engineering,"1,999,000","40,500","1,724,000","36,000","275,000","14,500","188,000","11,500","5,000","2,000","315,000","12,000","78,000","6,500","1,385,000","34,500","29,000","4,000"
               Aerospace/ related engineering,"93,000","11,000","83,000","11,000","10,000","2,500","16,000","4,500",D,D,"5,000","2,000","1,000",500,"70,000","9,500",S,S
               Chemical engineering,"136,000","9,000","100,000","8,000","36,000","4,000","15,000","4,000",D,D,"19,000","2,500","6,000","1,500","94,000","7,000","1,000",500
               Civil/ architectural engineering,"318,000","15,000","276,000","13,500","42,000","5,000","27,000","3,500","1,000",500,"39,000","4,500","10,000","2,000","238,000","13,500","4,000","1,500"
               Electrical/ computer engineering,"662,000","21,500","588,000","21,000","74,000","7,000","53,000","5,000",D,D,"164,000","9,000","36,000","5,000","395,000","18,000","12,000","3,000"
