"Table 8-3. Employed U.S. scientists and engineers with a master's as the highest degree, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,  ,,Sex,,,,,,Not Hispanic or Latinob,,,,,,,,,
,Employed scientists and engineers,,Male,,Female,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Master's,"6,882,000","109,500","3,381,000","54,000","3,501,000","73,500","445,000","19,000","16,000","3,500","845,000","18,500","488,000","22,000","4,977,000","91,000","111,000","7,000"
     S&E field,"2,596,000","47,500","1,544,000","29,500","1,052,000","30,500","173,000","11,500","3,000","1,000","535,000","15,000","151,000","10,500","1,690,000","35,000","44,000","5,000"
          Science,"1,902,000","41,000","975,000","24,500","927,000","29,000","127,000","10,500","3,000","1,000","339,000","12,500","130,000","10,000","1,272,000","30,500","31,000","4,500"
               Biological/ agricultural/ environmental life sciences,"273,000","14,500","121,000","9,500","153,000","10,000","16,000","3,000",*,*,"47,000","5,500","11,000","2,500","194,000","12,000","5,000","2,000"
                    Agricultural/ food sciences,"40,000","8,000","22,000","5,500","18,000","4,000",S,S,D,D,"6,000","2,500",S,S,"28,000","6,500",S,S
                    Biological sciences,"194,000","10,500","77,000","6,000","117,000","8,500","12,000","2,500",*,*,"37,000","4,500","8,000","2,000","133,000","8,000","4,000","2,000"
                    Environmental life sciences,"40,000","4,500","22,000","3,500","17,000","3,500","2,000",500,D,D,"4,000","1,500","1,000",500,"33,000","4,500",D,D
               Computer/ mathematical sciences,"626,000","19,500","442,000","15,500","184,000","10,500","31,000","4,500",*,*,"223,000","10,000","40,000","5,000","327,000","14,500","5,000","1,500"
                    Computer/ information sciences,"481,000","17,000","348,000","14,000","134,000","9,500","23,000","4,500",D,D,"196,000","10,000","34,000","4,500","225,000","12,500","4,000","1,000"
                    Mathematics/ statistics,"145,000","11,000","94,000","9,500","50,000","5,000","8,000","2,000",D,D,"27,000","3,500","6,000","2,000","102,000","10,000","2,000","1,000"
               Physical/ related sciences,"145,000","7,500","96,000","6,500","49,000","4,000","5,000","1,500",*,*,"24,000","3,000","4,000","1,000","111,000","6,500","2,000","1,000"
"                    Chemistry, except biochemistry","54,000","5,500","29,000","4,000","25,000","4,000","2,000",500,D,D,"12,000","2,500","3,000","1,000","37,000","5,000",D,D
                    Earth/ atmospheric/ ocean sciences,"55,000","5,000","39,000","4,000","16,000","2,500",S,S,D,D,"4,000","1,000","1,000",500,"48,000","4,500",*,*
                    Physics/ astronomy,"33,000","3,500","27,000","3,000","7,000","2,000","1,000",500,D,D,"7,000","1,500",*,*,"24,000","3,000",S,S
