"Table 9-1. Employed U.S. scientists and engineers at all degree levels, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
Occupation and citizenship status             ,,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
All occupations,"23,557,000","336,000","16,503,000","254,500","1,868,000","42,500","2,595,000","72,000","2,592,000","57,000"
     U.S. citizen,"22,036,000","316,500","15,322,000","238,500","1,617,000","38,000","2,543,000","71,000","2,554,000","56,500"
          Native-born,"19,316,000","288,000","13,300,000","220,500","1,411,000","36,000","2,353,000","64,000","2,251,000","52,000"
          Naturalized,"2,720,000","54,000","2,023,000","43,000","206,000","11,500","190,000","21,500","303,000","16,500"
     Non-U.S. citizen,"1,521,000","38,000","1,180,000","34,500","251,000","11,500","52,000","8,000","38,000","4,500"
          Permanent resident,"925,000","29,500","754,000","27,000","99,000","5,500","44,000","7,500","28,000","4,000"
          Temporary resident,"596,000","19,500","426,000","17,000","152,000","10,000","8,000","2,000","10,000","1,500"
     S&E occupations,"5,749,000","112,000","4,009,000","87,000","831,000","23,000","210,000","14,000","700,000","23,000"
          U.S. citizen,"5,055,000","103,000","3,521,000","80,000","646,000","18,500","204,000","13,500","682,000","23,000"
               Native-born,"4,290,000","92,000","2,973,000","72,500","553,000","17,500","179,000","11,500","586,000","20,500"
               Naturalized,"764,000","20,000","549,000","16,500","94,000","5,000","26,000","5,500","97,000","7,500"
          Non-U.S. citizen,"695,000","20,000","488,000","17,000","184,000","10,000","5,000","1,500","17,000","2,000"
               Permanent resident,"334,000","13,500","254,000","12,500","67,000","4,000","4,000","1,500","9,000","1,500"
               Temporary resident,"361,000","13,000","234,000","10,500","118,000","9,000","1,000",500,"8,000","1,500"
          Science occupations,"4,186,000","85,500","2,747,000","65,000","738,000","21,500","203,000","14,000","497,000","19,500"
               U.S. citizen,"3,635,000","78,500","2,366,000","59,000","588,000","18,000","198,000","14,000","483,000","19,500"
                    Native-born,"3,072,000","70,000","1,974,000","54,000","507,000","16,500","173,000","11,500","418,000","17,500"
                    Naturalized,"563,000","17,000","392,000","14,000","81,000","5,000","25,000","5,500","66,000","7,000"
               Non-U.S. citizen,"550,000","17,500","381,000","15,500","151,000","9,500","5,000","1,500","14,000","2,000"
                    Permanent resident,"263,000","12,000","192,000","11,500","60,000","4,000","4,000","1,500","7,000","1,500"
                    Temporary resident,"287,000","12,500","189,000","10,500","91,000","8,500","1,000",500,"7,000","1,500"
               Biological/ agricultural/ other life scientists,"638,000","27,500","260,000","15,000","241,000","12,000","20,000","3,000","118,000","9,000"
                    U.S. citizen,"536,000","24,000","228,000","14,000","178,000","8,500","19,000","3,000","111,000","9,000"
                         Native-born,"459,000","22,000","194,000","13,000","148,000","8,000","17,000","2,500","100,000","9,000"
                         Naturalized,"77,000","5,500","33,000","3,500","31,000","3,000","2,000","1,000","11,000","2,000"
                    Non-U.S. citizen,"102,000","9,000","32,000","3,500","63,000","8,000","1,000",500,"6,000","1,500"
                         Permanent resident,"53,000","4,000","23,000","3,000","26,000","2,500","1,000",500,"2,000",500
                         Temporary resident,"49,000","8,000","9,000","1,500","36,000","7,500",D,D,"4,000","1,000"
                    Agricultural/ food scientists,"69,000","10,000","44,000","8,000","14,000","2,500",D,D,"11,000","3,000"
                         U.S. citizen,"62,000","9,500","40,000","7,500","11,000","2,500",D,D,"11,000","3,000"
                              Native-born,"55,000","9,000","37,000","7,000","9,000","2,000",D,D,"9,000","3,000"
                              Naturalized,"6,000","1,500","3,000","1,000","2,000","1,000",D,D,"2,000","1,000"
                         Non-U.S. citizen,"7,000","2,500","5,000","2,000","3,000","1,000",D,D,D,D
                              Permanent resident,"5,000","2,000","4,000","2,000","1,000",500,D,D,D,D
                              Temporary resident,"2,000","1,000",S,S,"2,000","1,000",D,D,D,D
                    Biological and medical scientists,"448,000","22,000","204,000","11,500","156,000","11,500","2,000","1,000","86,000","7,000"
                         U.S. citizen,"364,000","18,500","177,000","11,000","105,000","7,500","2,000","1,000","80,000","7,000"
                              Native-born,"304,000","16,500","147,000","10,000","85,000","6,500","1,000",500,"71,000","6,500"
                              Naturalized,"60,000","5,000","30,000","3,000","20,000","3,000",S,S,"9,000","1,500"
                         Non-U.S. citizen,"84,000","8,500","27,000","2,500","50,000","8,000",D,D,"6,000","1,500"
                              Permanent resident,"39,000","3,500","19,000","2,500","19,000","2,500",D,D,"2,000",500
                              Temporary resident,"44,000","7,500","9,000","1,500","32,000","7,000",D,D,"4,000","1,000"
                    Environmental life scientists,"33,000","7,000","12,000","3,500","2,000","1,000",D,D,"20,000","4,500"
                         U.S. citizen,"32,000","7,000","11,000","3,500","2,000","1,000",D,D,"20,000","4,500"
                              Native-born,"32,000","7,000","11,000","3,000","2,000","1,000",D,D,"20,000","4,500"
                              Naturalized,*,*,D,D,D,D,D,D,*,*
                         Non-U.S. citizen,S,S,D,D,*,*,D,D,D,D
                              Permanent resident,S,S,D,D,D,D,D,D,D,D
                              Temporary resident,*,*,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"88,000","5,000",D,D,"70,000","4,000","18,000","3,000",D,D
                         U.S. citizen,"78,000","4,500",D,D,"60,000","3,500","17,000","3,000",D,D
                              Native-born,"67,000","4,500",D,D,"52,000","3,500","16,000","2,500",D,D
                              Naturalized,"10,000","1,500",D,D,"9,000","1,500","2,000",500,D,D
                         Non-U.S. citizen,"10,000","1,500",D,D,"10,000","1,500","1,000",500,D,D
                              Permanent resident,"8,000","1,500",D,D,"7,000","1,500","1,000",500,D,D
                              Temporary resident,"2,000","1,000",D,D,"2,000","1,000",D,D,D,D
               Computer/ mathematical scientists,"2,647,000","67,000","2,135,000","58,500","191,000","10,000","95,000","9,000","227,000","15,000"
                    U.S. citizen,"2,284,000","61,500","1,809,000","52,500","159,000","9,500","92,000","9,000","225,000","15,000"
                         Native-born,"1,879,000","56,000","1,480,000","48,000","134,000","8,500","82,000","8,500","184,000","13,500"
                         Naturalized,"406,000","14,500","329,000","13,500","25,000","3,500","11,000","3,000","41,000","6,000"
                    Non-U.S. citizen,"363,000","15,500","326,000","14,500","33,000","3,500","2,000","1,000","2,000","1,000"
                         Permanent resident,"169,000","11,000","154,000","10,500","12,000","2,000","2,000","1,000","1,000",500
                         Temporary resident,"194,000","10,000","172,000","10,000","20,000","3,000",*,*,"1,000",500
                    Computer and information scientists,"2,412,000","64,500","2,058,000","57,500","106,000","9,000","48,000","5,500","201,000","14,000"
                         U.S. citizen,"2,080,000","59,500","1,742,000","52,000","92,000","8,000","47,000","5,500","199,000","14,000"
                              Native-born,"1,706,000","54,000","1,425,000","47,000","78,000","7,500","43,000","5,000","160,000","12,000"
                              Naturalized,"374,000","15,000","318,000","13,500","14,000","3,000","4,000","1,500","39,000","6,000"
                         Non-U.S. citizen,"332,000","15,500","316,000","15,000","13,000","2,500",S,S,"2,000","1,000"
                              Permanent resident,"155,000","11,000","149,000","11,000","5,000","2,000",D,D,"1,000",500
                              Temporary resident,"176,000","10,500","166,000","10,000","9,000","2,000",D,D,"1,000",500
                    Mathematical scientists,"127,000","13,000","77,000","8,000","17,000","2,500","7,000","3,500","26,000","5,500"
                         U.S. citizen,"111,000","12,500","66,000","8,000","12,000","2,000","7,000","3,500","26,000","5,500"
                              Native-born,"92,000","11,500","55,000","7,000","10,000","2,000",S,S,"23,000","5,500"
                              Naturalized,"19,000","4,000","11,000","2,500","2,000","1,000",D,D,"2,000","1,000"
                         Non-U.S. citizen,"16,000","2,000","10,000","1,500","5,000","1,500",D,D,*,*
                              Permanent resident,"6,000","1,000","5,000","1,000","1,000",500,D,D,*,*
                              Temporary resident,"10,000","2,000","6,000","1,500","4,000","1,500",D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"109,000","8,500",D,D,"69,000","5,000","40,000","6,000",D,D
                         U.S. citizen,"93,000","8,000",D,D,"55,000","4,500","39,000","6,000",D,D
                              Native-born,"81,000","8,000",D,D,"46,000","4,500","35,000","6,000",D,D
                              Naturalized,"12,000","1,500",D,D,"9,000","1,000","3,000","1,500",D,D
                         Non-U.S. citizen,"16,000","2,500",D,D,"14,000","2,500","1,000",500,D,D
                              Permanent resident,"8,000","1,500",D,D,"7,000","1,000","1,000",500,D,D
                              Temporary resident,"8,000","2,000",D,D,"7,000","2,000",D,D,D,D
               Physical/ related scientists,"319,000","11,000","151,000","7,500","95,000","5,000","13,000","2,500","60,000","4,500"
                    U.S. citizen,"273,000","10,500","140,000","7,500","64,000","3,000","13,000","2,500","56,000","4,000"
                         Native-born,"238,000","10,000","122,000","7,500","54,000","2,500","11,000","2,000","50,000","4,000"
                         Naturalized,"35,000","3,000","18,000","2,000","10,000","1,500","1,000",500,"6,000","1,000"
                    Non-U.S. citizen,"46,000","4,000","11,000","1,500","30,000","3,500","1,000",500,"4,000","1,500"
                         Permanent resident,"21,000","2,000","8,000","1,000","11,000","1,500","1,000",500,"2,000","1,000"
                         Temporary resident,"25,000","3,000","3,000","1,000","20,000","3,000",D,D,"2,000","1,000"
"                    Chemists, except biochemists","105,000","7,000","76,000","6,000","17,000","2,000",D,D,"13,000","1,500"
                         U.S. citizen,"94,000","7,000","70,000","6,000","11,000","2,000",D,D,"13,000","1,500"
                              Native-born,"78,000","6,000","58,000","5,500","10,000","1,500",D,D,"11,000","1,500"
                              Naturalized,"15,000","2,000","12,000","2,000","1,000",500,D,D,"2,000",500
                         Non-U.S. citizen,"12,000","1,500","6,000","1,000","6,000","1,500",D,D,*,*
                              Permanent resident,"5,000","1,000","4,000","1,000","1,000",500,D,D,D,D
                              Temporary resident,"7,000","1,500","2,000",500,"5,000","1,500",D,D,*,*
                    Earth/ atmospheric/ ocean scientists,"70,000","4,500","40,000","3,500","10,000","1,500",D,D,"20,000","2,000"
                         U.S. citizen,"64,000","4,500","39,000","3,500","6,000","1,000",D,D,"19,000","2,000"
                              Native-born,"60,000","4,500","37,000","3,500","6,000","1,000",D,D,"18,000","2,000"
                              Naturalized,"4,000","1,000","2,000","1,000","1,000",500,D,D,"1,000",500
                         Non-U.S. citizen,"6,000","1,000","2,000",500,"3,000","1,000",D,D,*,*
                              Permanent resident,"3,000",500,"1,000",500,"1,000",500,D,D,D,D
                              Temporary resident,"3,000","1,000",*,*,"2,000","1,000",D,D,*,*
                    Physicists and astronomers,"36,000","2,500","13,000","1,500","14,000","1,500",D,D,"8,000","1,500"
                         U.S. citizen,"25,000","2,000","11,000","1,000","8,000","1,000",D,D,"5,000","1,000"
                              Native-born,"20,000","1,500","8,000","1,000","6,000","1,000",D,D,"4,000",500
                              Naturalized,"5,000","1,000","3,000","1,000","2,000","1,000",D,D,"1,000",500
                         Non-U.S. citizen,"11,000","2,000","2,000",500,"5,000","1,000",D,D,"3,000","1,500"
                              Permanent resident,"4,000","1,000","1,000",500,"1,000",500,D,D,"2,000","1,000"
                              Temporary resident,"7,000","1,500","1,000",500,"4,000","1,000",D,D,"2,000","1,000"
                    Postsecondary teachers - physical/ related sciences,"63,000","4,000",D,D,"51,000","3,500","12,000","2,500",D,D
                         U.S. citizen,"47,000","3,000",D,D,"36,000","2,000","11,000","2,000",D,D
                              Native-born,"40,000","3,000",D,D,"30,000","2,000","10,000","2,000",D,D
                              Naturalized,"7,000","1,500",D,D,"6,000","1,000","1,000",500,D,D
                         Non-U.S. citizen,"16,000","2,500",D,D,"15,000","2,500","1,000",500,D,D
                              Permanent resident,"8,000","1,500",D,D,"8,000","1,500",*,*,D,D
                              Temporary resident,"7,000","2,500",D,D,"7,000","2,500",D,D,D,D
                    Other physical/ related scientists,"45,000","4,500","22,000","2,500","4,000","1,000",D,D,"19,000","2,500"
                         U.S. citizen,"42,000","4,500","20,000","2,500","3,000","1,000",D,D,"19,000","2,500"
                              Native-born,"40,000","4,000","19,000","2,500","3,000","1,000",D,D,"18,000","2,500"
                              Naturalized,"3,000","1,000","1,000","1,000",*,*,D,D,"1,000",500
                         Non-U.S. citizen,"3,000","1,000","1,000",500,"1,000",500,D,D,D,D
                              Permanent resident,"1,000",500,"1,000",500,*,*,D,D,D,D
                              Temporary resident,"1,000",500,*,*,"1,000",500,D,D,D,D
"               Social science, psychology","581,000","25,500","201,000","13,000","211,000","10,000","76,000","7,500","93,000","10,000"
                    U.S. citizen,"542,000","25,000","190,000","13,000","186,000","10,000","75,000","7,500","92,000","10,000"
                         Native-born,"497,000","23,500","178,000","12,500","171,000","9,500","64,000","5,000","83,000","9,500"
                         Naturalized,"45,000","7,000","11,000","2,000","15,000","2,500","11,000","4,500","9,000","2,500"
                    Non-U.S. citizen,"39,000","4,000","12,000","3,000","25,000","3,000","1,000",500,S,S
                         Permanent resident,"20,000","3,000","7,000","3,000","10,000","1,500",S,S,S,S
                         Temporary resident,"19,000","2,500","5,000","1,500","14,000","2,500",D,D,D,D
                    Economists,"37,000","5,500","14,000","1,500","10,000","2,500",D,D,"13,000","4,500"
                         U.S. citizen,"30,000","5,500","10,000","1,500","7,000","2,000",D,D,"13,000","4,500"
                              Native-born,"27,000","5,500","9,000","1,500","6,000","2,000",D,D,"12,000","4,500"
                              Naturalized,"3,000","1,000","2,000",500,*,*,D,D,"1,000",500
                         Non-U.S. citizen,"7,000","1,500","4,000","1,000","3,000","1,000",D,D,*,*
                              Permanent resident,"1,000",500,"1,000",500,*,*,D,D,*,*
                              Temporary resident,"6,000","1,500","3,000","1,000","3,000","1,000",D,D,D,D
                    Political scientists,"18,000","3,500","10,000","3,000","3,000","1,000",D,D,"6,000","2,000"
                         U.S. citizen,"17,000","3,500","8,000","3,000","2,000","1,000",D,D,"6,000","2,000"
                              Native-born,"16,000","3,500","8,000","3,000","2,000","1,000",D,D,"6,000","2,000"
                              Naturalized,*,*,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"172,000","8,500",D,D,"145,000","7,500","27,000","3,500",D,D
                         U.S. citizen,"155,000","8,500",D,D,"129,000","7,500","26,000","3,500",D,D
                              Native-born,"141,000","8,000",D,D,"119,000","7,500","22,000","3,000",D,D
                              Naturalized,"14,000","2,000",D,D,"11,000","1,500","3,000","1,500",D,D
                         Non-U.S. citizen,"16,000","2,000",D,D,"15,000","2,000",S,S,D,D
                              Permanent resident,"9,000","1,500",D,D,"8,000","1,500",S,S,D,D
                              Temporary resident,"7,000","1,500",D,D,"7,000","1,500",D,D,D,D
                    Psychologists,"208,000","13,500","108,000","7,000","27,000","4,500","48,000","6,500","25,000","3,000"
                         U.S. citizen,"203,000","13,000","106,000","7,000","25,000","4,000","48,000","6,500","25,000","3,000"
                              Native-born,"184,000","10,500","99,000","6,500","23,000","4,000","40,000","4,000","22,000","2,500"
                              Naturalized,"20,000","6,500","7,000","2,000",S,S,S,S,"3,000","1,500"
                         Non-U.S. citizen,"5,000","1,500","2,000","1,000",S,S,D,D,*,*
                              Permanent resident,"2,000","1,000","2,000","1,000",*,*,D,D,*,*
                              Temporary resident,S,S,*,*,S,S,D,D,D,D
                    Sociologists and anthropologists,"21,000","3,000","7,000","1,500","7,000","1,500",D,D,"7,000","2,000"
                         U.S. citizen,"21,000","3,000","7,000","1,500","7,000","1,500",D,D,"7,000","2,000"
                              Native-born,"20,000","3,000","6,000","1,500","7,000","1,500",D,D,"7,000","2,000"
                              Naturalized,*,*,*,*,*,*,D,D,D,D
                         Non-U.S. citizen,*,*,*,*,*,*,D,D,D,D
                              Permanent resident,*,*,*,*,D,D,D,D,D,D
                              Temporary resident,*,*,D,D,*,*,D,D,D,D
