"Table 9-2. Employed U.S. scientists and engineers with a bachelor's as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Bachelor's,"13,432,000","237,000","10,157,000","186,500","646,000","27,000","1,054,000","45,500","1,575,000","50,500"
     U.S. citizen,"12,759,000","226,500","9,578,000","176,000","593,000","25,500","1,025,000","44,000","1,563,000","50,500"
          Native-born,"11,344,000","209,000","8,480,000","165,000","524,000","24,500","941,000","40,000","1,398,000","46,500"
          Naturalized,"1,416,000","45,500","1,098,000","36,500","69,000","9,000","84,000","16,500","165,000","13,500"
     Non-U.S. citizen,"672,000","27,500","579,000","26,000","53,000","6,500","28,000","6,000","12,000","2,500"
          Permanent resident,"437,000","22,500","388,000","21,500","14,000","3,000","25,000","6,000","11,000","2,500"
          Temporary resident,"235,000","15,000","191,000","14,000","39,000","6,000","4,000","1,500","1,000",500
     S&E occupations,"3,288,000","84,000","2,558,000","66,500","247,000","17,000","72,000","8,000","411,000","20,000"
          U.S. citizen,"3,048,000","79,000","2,359,000","62,500","209,000","14,500","70,000","8,000","410,000","20,000"
               Native-born,"2,709,000","73,000","2,100,000","59,000","185,000","13,500","64,000","7,500","360,000","18,500"
               Naturalized,"339,000","14,500","259,000","12,000","24,000","3,500","6,000","3,000","50,000","6,000"
          Non-U.S. citizen,"240,000","13,500","199,000","13,000","38,000","6,000",S,S,"2,000","1,000"
               Permanent resident,"119,000","10,000","109,000","10,000","8,000","2,000",D,D,"1,000",500
               Temporary resident,"121,000","9,000","90,000","8,000","30,000","5,500",D,D,S,S
          Science occupations,"2,300,000","67,000","1,724,000","51,500","222,000","16,000","67,000","8,000","288,000","18,000"
               U.S. citizen,"2,103,000","63,500","1,563,000","48,000","187,000","13,500","66,000","8,000","287,000","18,000"
                    Native-born,"1,864,000","59,000","1,382,000","45,500","167,000","12,500","60,000","7,500","254,000","16,500"
                    Naturalized,"240,000","12,500","181,000","10,500","20,000","3,500","6,000","3,000","33,000","6,000"
               Non-U.S. citizen,"197,000","12,000","161,000","12,000","34,000","6,000",S,S,"1,000",500
                    Permanent resident,"95,000","9,500","86,000","9,000","8,000","2,000",D,D,*,*
                    Temporary resident,"102,000","8,500","76,000","8,000","26,000","5,500",D,D,S,S
               Biological/ agricultural/ other life scientists,"264,000","20,500","123,000","11,500","82,000","9,500","2,000","1,000","57,000","6,500"
                    U.S. citizen,"249,000","19,000","121,000","11,500","70,000","7,500","2,000","1,000","56,000","6,500"
                         Native-born,"231,000","17,500","113,000","11,000","62,000","7,000","2,000","1,000","54,000","6,500"
                         Naturalized,"18,000","3,000","8,000","1,500","8,000","2,000",D,D,"2,000","1,000"
                    Non-U.S. citizen,"15,000","5,000","3,000","1,000","12,000","4,500",D,D,D,D
                         Permanent resident,"5,000","1,500","2,000","1,000","3,000","1,500",D,D,D,D
                         Temporary resident,"10,000","4,500",*,*,"9,000","4,500",D,D,D,D
                    Agricultural/ food scientists,"39,000","8,500","28,000","7,000","5,000","2,000",D,D,"6,000","2,500"
                         U.S. citizen,"39,000","8,500","27,000","7,000","5,000","2,000",D,D,"6,000","2,500"
                              Native-born,"36,000","8,000","26,000","6,500","4,000","1,500",D,D,"6,000","2,500"
                              Naturalized,"3,000","1,500","1,000","1,000",D,D,D,D,D,D
                         Non-U.S. citizen,S,S,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Biological and medical scientists,"195,000","19,500","91,000","9,500","65,000","9,500",D,D,"39,000","6,000"
                         U.S. citizen,"183,000","17,000","89,000","9,500","55,000","7,000",D,D,"39,000","6,000"
                              Native-born,"168,000","15,500","83,000","9,000","47,000","6,500",D,D,"38,000","6,000"
                              Naturalized,"15,000","2,500","6,000","1,500","7,000","2,000",D,D,"1,000","1,000"
                         Non-U.S. citizen,"13,000","5,000","2,000","1,000","10,000","4,500",D,D,D,D
                              Permanent resident,"5,000","1,500","2,000","1,000","3,000","1,500",D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
                    Environmental life scientists,"17,000","4,000","5,000","1,500",S,S,D,D,"11,000","3,000"
                         U.S. citizen,"16,000","4,000","4,000","1,500",S,S,D,D,"11,000","3,000"
                              Native-born,"16,000","4,000","4,000","1,500",S,S,D,D,"11,000","3,000"
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"13,000","3,000",D,D,"11,000","3,000","2,000","1,000",D,D
                         U.S. citizen,"12,000","3,000",D,D,"10,000","2,500","2,000","1,000",D,D
                              Native-born,"11,000","3,000",D,D,"10,000","2,500","2,000","1,000",D,D
                              Naturalized,*,*,D,D,*,*,D,D,D,D
                         Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
               Computer/ mathematical scientists,"1,785,000","58,000","1,480,000","49,000","84,000","8,500","54,000","7,500","168,000","14,000"
                    U.S. citizen,"1,620,000","54,000","1,327,000","45,000","73,000","8,000","53,000","7,500","168,000","14,000"
                         Native-born,"1,414,000","50,500","1,159,000","42,500","65,000","7,500","48,000","7,000","142,000","12,500"
                         Naturalized,"207,000","12,000","168,000","10,500","9,000","2,500","5,000","3,000","25,000","5,500"
                    Non-U.S. citizen,"165,000","12,000","153,000","11,500","10,000","2,500",D,D,D,D
                         Permanent resident,"83,000","9,000","79,000","9,000","3,000","1,500",D,D,D,D
                         Temporary resident,"82,000","8,000","75,000","8,000","7,000","2,000",D,D,D,D
                    Computer and information scientists,"1,701,000","56,000","1,444,000","48,500","68,000","8,000","35,000","5,000","154,000","13,000"
                         U.S. citizen,"1,541,000","52,500","1,292,000","44,500","61,000","7,500","34,000","5,000","154,000","13,000"
                              Native-born,"1,342,000","49,000","1,127,000","42,000","53,000","6,500","33,000","5,000","129,000","11,500"
                              Naturalized,"199,000","12,500","165,000","10,500","8,000","2,500","2,000","1,000","24,000","5,500"
                         Non-U.S. citizen,"159,000","12,000","152,000","11,500","7,000","2,000",D,D,D,D
                              Permanent resident,"81,000","9,000","78,000","9,000","3,000","1,500",D,D,D,D
                              Temporary resident,"78,000","8,000","73,000","8,000","4,000","1,500",D,D,D,D
                    Mathematical scientists,"60,000","11,500","36,000","7,000","4,000","1,500",D,D,"14,000","5,000"
                         U.S. citizen,"58,000","11,000","35,000","7,000","4,000","1,500",D,D,"14,000","5,000"
                              Native-born,"50,000","10,500","31,000","6,500","3,000","1,500",D,D,"13,000","5,000"
                              Naturalized,"8,000","3,500","3,000","1,500",D,D,D,D,S,S
                         Non-U.S. citizen,"2,000","1,000","2,000","1,000",S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,"2,000","1,000",D,D,S,S,D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"24,000","5,500",D,D,"12,000","3,000","13,000","4,500",D,D
                         U.S. citizen,"21,000","5,000",D,D,"8,000","3,000","13,000","4,500",D,D
                              Native-born,"21,000","5,000",D,D,"8,000","3,000","12,000","4,500",D,D
                              Naturalized,*,*,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,"3,000","1,500",D,D,"3,000","1,500",D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,"2,000","1,500",D,D,"2,000","1,500",D,D,D,D
               Physical/ related scientists,"128,000","9,500","75,000","6,500","23,000","3,500","3,000","1,500","26,000","3,000"
                    U.S. citizen,"118,000","9,000","73,000","6,500","15,000","2,500","3,000","1,500","26,000","3,000"
                         Native-born,"110,000","8,500","69,000","6,500","13,000","2,000","3,000","1,500","25,000","3,000"
                         Naturalized,"8,000","1,500","4,000","1,000","2,000","1,000",D,D,"1,000",500
                    Non-U.S. citizen,"10,000","2,500","2,000","1,000","8,000","2,500",D,D,D,D
                         Permanent resident,"2,000","1,000","1,000","1,000",*,*,D,D,D,D
                         Temporary resident,"8,000","2,500",*,*,"7,000","2,500",D,D,D,D
"                    Chemists, except biochemists","58,000","6,500","43,000","5,500","9,000","2,000",D,D,"6,000","1,000"
                         U.S. citizen,"54,000","6,000","42,000","5,500","7,000","1,500",D,D,"6,000","1,000"
                              Native-born,"50,000","6,000","39,000","5,500","6,000","1,500",D,D,"5,000","1,000"
                              Naturalized,"5,000","1,000","3,000","1,000",S,S,D,D,"1,000",500
