"Table 10-4. Employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, age, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
"Level of highest degree, occupation, and age (years)             ",,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Doctorate,"1,154,000","16,000","91,000","3,500","455,000","9,500","703,000","12,000","359,000","9,500","267,000","8,500"
     < 30,"31,000","2,500","4,000","1,000","7,000","1,500","22,000","2,000","5,000","1,000","8,000","1,500"
     30–39,"262,000","6,500","29,000","2,000","73,000","3,000","198,000","6,000","69,000","4,000","49,000","3,000"
     40–49,"303,000","8,000","27,000","2,000","129,000","5,500","193,000","6,500","89,000","4,000","65,000","5,500"
     50–59,"305,000","9,000","19,000","1,500","136,000","5,500","170,000","6,000","105,000","6,500","72,000","4,500"
     60–75,"253,000","7,000","13,000","1,500","109,000","5,500","120,000","4,500","92,000","4,500","73,000","4,000"
     S&E occupations,"708,000","8,500","77,000","3,000","206,000","4,000","517,000","7,500","219,000","4,500","123,000","3,000"
          < 30,"23,000","2,500","4,000","1,000","4,000","1,000","19,000","2,000","3,000","1,000","4,000","1,000"
          30–39,"200,000","5,000","26,000","2,000","45,000","2,000","165,000","4,500","47,000","2,500","28,000","2,000"
          40–49,"184,000","4,500","22,000","2,000","59,000","2,500","138,000","4,000","57,000","2,500","27,000","1,500"
          50–59,"168,000","4,000","15,000","1,500","61,000","3,000","116,000","3,500","58,000","2,500","32,000","1,500"
          60–75,"132,000","3,000","10,000","1,000","37,000","1,500","79,000","2,500","54,000","2,500","33,000","1,500"
          Science occupations,"590,000","8,000","65,000","3,000","174,000","4,000","417,000","7,000","198,000","4,500","110,000","3,000"
               < 30,"18,000","2,000","3,000","1,000","3,000","1,000","14,000","1,500","3,000","1,000","4,000","1,000"
               30–39,"164,000","4,500","21,000","1,500","37,000","2,000","132,000","4,000","42,000","2,000","25,000","2,000"
               40–49,"153,000","4,000","19,000","2,000","50,000","2,500","112,000","3,500","52,000","2,500","23,000","1,500"
               50–59,"141,000","4,000","13,000","1,500","52,000","3,000","93,000","3,000","52,000","2,500","29,000","1,500"
