"Table 11-4. Employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Level of highest degree, occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Doctorate,"1,154,000","16,000","217,000","7,500","186,000","5,000","170,000","6,500","167,000","6,000","129,000","4,500","100,000","5,500","84,000","3,500","102,000","4,000"
     Hispanic or Latinoa ,"51,000","4,000","13,000","2,500","10,000","1,500","8,000","1,000","5,000","1,000","5,000","1,000","3,000",500,"2,000","1,000","5,000","2,000"
     Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
          American Indian or Alaska Native,"4,000","1,000","2,000","1,000","1,000",500,*,*,*,*,*,*,*,*,D,D,D,D
          Asian,"239,000","6,000","58,000","4,500","50,000","2,000","39,000","2,000","39,000","2,500","24,000","1,500","13,000","1,500","7,000","1,000","8,000","1,000"
          Black or African American,"47,000","3,000","10,000","1,500","12,000","2,000","7,000","1,000","8,000","1,500","4,000","1,000","3,000","1,000","1,000",500,"1,000",500
          White,"795,000","12,500","129,000","5,000","109,000","3,500","116,000","6,000","113,000","5,500","94,000","4,000","76,000","3,500","72,000","3,500","86,000","3,000"
          Other racec,"18,000","4,000","5,000","1,000","3,000",500,"1,000",500,"2,000",500,"2,000",500,S,S,"1,000",500,"1,000",500
     S&E occupations,"708,000","8,500","145,000","5,000","126,000","3,500","103,000","3,000","96,000","3,500","73,000","2,500","57,000","2,000","49,000","2,000","60,000","2,000"
          Hispanic or Latinoa ,"28,000","1,500","8,000","1,000","6,000","1,000","5,000",500,"3,000",500,"2,000",500,"2,000",500,"1,000",500,"1,000","1,000"
          Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Native,"2,000",500,*,*,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D
               Asian,"174,000","4,500","46,000","3,000","40,000","2,000","29,000","2,000","24,000","2,000","16,000","1,000","9,000","1,000","4,000","1,000","5,000","1,000"
               Black or African American,"22,000","1,500","5,000","1,000","4,000",500,"4,000","1,000","4,000","1,000","2,000",500,"2,000",500,"1,000",500,"1,000",500
               White,"475,000","7,000","84,000","3,500","73,000","3,000","65,000","2,500","64,000","3,000","53,000","2,000","44,000","1,500","42,000","2,000","52,000","2,000"
               Other racec,"8,000","1,000","2,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,"1,000",500,*,*
          Science occupations,"590,000","8,000","120,000","4,500","104,000","3,500","85,000","3,000","81,000","3,500","60,000","2,500","48,000","2,000","42,000","2,000","50,000","2,000"
               Hispanic or Latinoa ,"23,000","1,500","7,000","1,000","5,000","1,000","4,000",500,"3,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000","1,000"
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,"1,000",500,*,*,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D
                    Asian,"126,000","4,000","34,000","3,000","29,000","2,000","21,000","1,500","18,000","2,000","11,000","1,000","7,000","1,000","3,000","1,000","3,000",500
                    Black or African American,"20,000","1,500","5,000","1,000","3,000",500,"3,000","1,000","3,000","1,000","2,000",500,"2,000",500,"1,000",500,"1,000",500
                    White,"413,000","6,500","73,000","3,500","64,000","2,500","56,000","2,500","55,000","3,000","45,000","2,000","38,000","1,500","37,000","2,000","44,000","2,000"
                    Other racec,"7,000","1,000","2,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,"1,000",500,*,*
               Biological/ agricultural/ other life scientists,"202,000","5,000","46,000","3,000","39,000","2,000","31,000","2,000","28,000","2,000","19,000","1,500","16,000","1,500","12,000","1,000","13,000","1,000"
                    Hispanic or Latinoa ,"9,000","1,000","3,000","1,000","2,000","1,000","1,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"55,000","3,500","16,000","2,500","11,000","1,000","11,000","1,500","8,000","1,500","4,000","1,000","2,000","1,000","2,000",500,"1,000",500
                         Black or African American,"4,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,S,S,*,*,*,*
                         White,"131,000","3,500","24,000","2,000","24,000","1,500","18,000","1,500","18,000","1,500","13,000","1,000","13,000","1,000","10,000","1,000","11,000","1,000"
                         Other racec,"3,000",500,"1,000",500,*,*,*,*,*,*,*,*,*,*,*,*,D,D
                    Agricultural/ food scientists,"10,000","1,000","1,000",500,"2,000",500,"1,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500
                         Hispanic or Latinoa ,"1,000",500,*,*,*,*,*,*,D,D,*,*,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"2,000",500,"1,000",500,*,*,*,*,S,S,D,D,D,D,D,D,D,D
                              Black or African American,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"7,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500
                              Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Biological and medical scientists,"138,000","4,500","40,000","3,000","29,000","2,000","20,000","1,500","17,000","2,000","11,000","1,000","9,000","1,000","6,000","1,000","7,000","1,000"
                         Hispanic or Latinoa ,"6,000","1,000","3,000","1,000","2,000","1,000","1,000",500,*,*,*,*,*,*,D,D,*,*
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"46,000","3,500","15,000","2,500","9,000","1,000","8,000","1,500","6,000","1,000","3,000","1,000","1,000",500,"1,000",500,"1,000",500
                              Black or African American,"3,000",500,"1,000",500,"1,000",500,*,*,*,*,D,D,*,*,D,D,*,*
                              White,"82,000","3,500","20,000","2,000","17,000","1,500","10,000","1,000","11,000","1,500","8,000","1,000","7,000","1,000","4,000",500,"5,000",500
                              Other racec,"1,000",500,*,*,*,*,*,*,*,*,*,*,D,D,D,D,D,D
                    Environmental life scientists,"2,000",500,*,*,*,*,*,*,*,*,D,D,*,*,D,D,D,D
                         Hispanic or Latinoa ,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"2,000",500,*,*,*,*,*,*,*,*,D,D,*,*,D,D,D,D
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"52,000","2,000","4,000","1,000","7,000",500,"10,000","1,500","8,000","1,000","6,000","1,000","6,000","1,000","5,000","1,000","5,000",500
                         Hispanic or Latinoa ,"2,000",500,*,*,*,*,"1,000",500,*,*,*,*,*,*,D,D,*,*
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"7,000","1,500",*,*,"1,000",500,"2,000",500,"2,000","1,000","1,000",500,S,S,*,*,*,*
                              Black or African American,"1,000",500,*,*,*,*,*,*,*,*,*,*,*,*,D,D,D,D
                              White,"40,000","2,000","3,000","1,000","6,000",500,"7,000","1,500","6,000","1,000","5,000",500,"5,000",500,"5,000","1,000","4,000",500
                              Other racec,"1,000",500,*,*,*,*,*,*,*,*,*,*,D,D,*,*,D,D
               Computer/ mathematical scientists,"107,000","4,000","21,000","2,000","20,000","2,000","15,000","1,500","17,000","2,000","12,000","1,500","7,000","1,000","7,000","1,000","8,000","1,000"
                    Hispanic or Latinoa ,"3,000","1,000","1,000",500,"1,000",500,*,*,*,*,*,*,*,*,*,*,S,S
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"36,000","2,500","9,000","1,500","10,000","1,500","5,000",500,"5,000",500,"4,000",500,"2,000",500,"1,000",500,"1,000",500
                         Black or African American,"4,000","1,000",S,S,*,*,S,S,S,S,*,*,*,*,*,*,*,*
                         White,"62,000","3,000","10,000","1,500","9,000","1,500","9,000","1,000","10,000","1,500","8,000","1,500","5,000",500,"6,000","1,000","6,000","1,000"
                         Other racec,"1,000",500,*,*,*,*,*,*,*,*,D,D,D,D,D,D,D,D
                    Computer and information scientists,"53,000","3,500","10,000","1,500","9,000","1,500","7,000","1,000","10,000","1,500","7,000","1,500","4,000",500,"3,000",500,"3,000","1,000"
                         Hispanic or Latinoa ,"2,000","1,000",*,*,*,*,*,*,*,*,*,*,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"21,000","2,000","6,000","1,500","6,000","1,500","2,000",500,"4,000",500,"2,000",500,"1,000",500,*,*,*,*
                              Black or African American,"2,000","1,000",*,*,*,*,S,S,S,S,D,D,D,D,D,D,D,D
                              White,"28,000","2,500","4,000","1,000","3,000",500,"4,000","1,000","6,000","1,500","5,000","1,500","2,000",500,"2,000",500,"2,000",500
                              Other racec,*,*,*,*,*,*,*,*,*,*,D,D,D,D,D,D,D,D
                    Mathematical scientists,"18,000","1,500","5,000","1,000","4,000",500,"3,000",500,"2,000",500,"2,000",500,"1,000",500,"1,000","1,000","1,000",500
                         Hispanic or Latinoa ,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"7,000","1,000","2,000","1,000","2,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,D,D,D,D
