"Table 12-1. Median annual salary of employed U.S. scientists and engineers at all degree levels, by broad field of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Field of highest degree and employment sector             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
All fields,"65,000",500,"85,000",500,"70,000",500,"71,000","2,000","50,000",500,"60,000",500
     Business/ industry,"71,000","2,000","90,000",500,"75,000",500,"80,000",500,"55,000","1,500","62,000","2,000"
     4-year college/ university,"51,000","1,500","52,000","3,500","56,000","3,500","49,000","2,000","60,000","2,500","54,000","1,500"
     Other educational institution,"48,000",500,"56,000","4,000","50,000",500,"47,000","2,500","47,000","1,500","50,000","1,500"
     Government,"70,000","1,500","72,000","2,500","73,000","2,000","72,000","2,000","63,000","5,000","64,000","1,500"
     S&E field,"65,000","1,000","88,000","1,500","68,000","1,000","75,000",500,"43,000","1,500","51,000","2,500"
          Business/ industry,"70,000",500,"91,000","2,000","70,000",500,"82,000","1,500","40,000","1,500","50,000","2,500"
          4-year college/ university,"45,000","1,000","50,000","4,500","53,000","3,500","43,000","2,000","53,000","2,000","45,000","2,000"
          Other educational institution,"40,000","1,500","56,000","2,500","44,000","2,000","43,000","3,500","39,000","2,000","48,000","3,500"
          Government,"69,000","2,000","75,000","2,000","73,000","2,500","75,000","1,000","53,000","5,000","59,000","2,500"
          Science,"56,000","1,500","85,000","1,500","60,000",500,"64,000","2,000","40,000","2,500","48,000","1,000"
               Business/ industry,"60,000",500,"90,000","1,000","60,000",500,"75,000","2,500","35,000","4,000","46,000","2,000"
               4-year college/ university,"45,000","1,000","50,000","4,000","51,000","3,500","44,000","3,000","53,000","1,500","43,000","3,500"
               Other educational institution,"40,000","1,500","51,000","8,500","44,000","2,000","43,000","4,000","39,000","2,000","48,000","3,000"
               Government,"62,000","2,000","74,000","3,500","65,000","1,500","65,000","1,500","50,000",500,"53,000","2,000"
               Biological/ agricultural/ environmental life sciences,"50,000",500,"62,000","9,500","58,000","3,500","53,000","2,500","45,000","2,000","46,000","1,500"
                    Business/ industry,"52,000","2,500","79,000","6,000","55,000","3,500","63,000","5,000","43,000","5,500","44,000","2,000"
                    4-year college/ university,"46,000","1,500","42,000","4,500","54,000","5,500","43,000","2,000","60,000","2,000","46,000","2,000"
                    Other educational institution,"39,000","4,000","45,000","5,500","40,000","1,000","37,000","10,000","39,000","4,000","29,000","4,000"
                    Government,"63,000","3,500","60,000","3,000","73,000","3,000","61,000","4,000","49,000","1,500","58,000","5,500"
                    Agricultural/ food sciences,"50,000","2,500","56,000","6,500","59,000","9,500","60,000","5,500","40,000","5,500","39,000","5,000"
                         Business/ industry,"49,000","1,500","83,000","9,000","50,000","6,500","65,000","4,000","29,000","11,000","37,000","5,000"
                         4-year college/ university,"49,000","1,000",S,S,"49,000","6,500","49,000","2,500","69,000","3,000","34,000","2,500"
                         Other educational institution,"40,000","14,000",D,D,S,S,S,S,"39,000","18,000",S,S
                         Government,"79,000","9,500",S,S,"82,000","4,000","70,000","13,000",D,D,"50,000","4,500"
                    Biological sciences,"50,000",500,"69,000","5,500","57,000","4,000","50,000","3,000","45,000","1,500","46,000","1,500"
                         Business/ industry,"52,000","1,500","79,000","8,000","58,000","4,000","60,000","4,500","49,000","8,000","45,000","2,000"
                         4-year college/ university,"46,000","1,000","39,000","6,500","58,000","6,500","42,000","2,000","60,000","2,500","46,000","3,000"
                         Other educational institution,"36,000","6,000",D,D,"39,000","1,500","35,000","9,000","39,000","5,500","28,000","4,000"
