"Table 12-2. Median annual salary of employed U.S. scientists and engineers with a bachelor's as the highest degree, by broad field of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and employment sector             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Bachelor's,"58,000","1,500","80,000",500,"61,000","2,000","65,000","1,000","43,000","2,000","52,000","1,500"
     Business/ industry,"61,000","2,000","85,000","1,500","65,000",500,"72,000","1,500","50,000","1,000","53,000","2,000"
     4-year college/ university,"40,000","2,500","51,000","4,000","44,000","2,000","29,000","1,500","28,000","4,500","46,000","1,500"
     Other educational institution,"40,000","1,500","56,000","4,000","40,000",500,"42,000","2,500","40,000","2,000","38,000","4,000"
     Government,"61,000","2,000","72,000","4,000","65,000","1,500","62,000","3,500","58,000","4,000","55,000","1,000"
     S&E field,"60,000",500,"82,000","2,500","62,000","1,500","69,000","1,500","36,000","1,500","49,000","2,500"
          Business/ industry,"64,000","2,500","86,000","2,000","65,000",500,"75,000","1,000","38,000","3,500","50,000",500
          4-year college/ university,"31,000","2,000","50,000","5,000","40,000","2,000","28,000","1,500","21,000","2,000","39,000","2,000"
          Other educational institution,"35,000","1,500","53,000","4,500","37,000","2,500","39,000","4,500","35,000","1,500","35,000","4,500"
          Government,"63,000","2,000","75,000","4,500","68,000","4,500","65,000","1,500","50,000","3,000","53,000","1,500"
          Science,"50,000",500,"80,000",500,"54,000","2,000","55,000","1,000","35,000","2,000","44,000","2,000"
               Business/ industry,"55,000",500,"85,000","2,000","56,000","2,000","65,000","1,500","33,000","3,000","44,000","2,000"
               4-year college/ university,"32,000","1,500","50,000","9,000","40,000","2,000","28,000","2,000","20,000","2,000","39,000","3,000"
               Other educational institution,"35,000","1,000","50,000","4,000","36,000","2,500","39,000","5,000","35,000","1,000","35,000","5,500"
               Government,"56,000","1,500","74,000","6,000","59,000","2,500","56,000","2,000","49,000","1,000","50,000",500
               Biological/ agricultural/ environmental life sciences,"46,000","1,500","59,000","4,000","52,000","3,000","45,000","1,500","35,000","6,000","43,000","2,000"
                    Business/ industry,"49,000","2,000","73,000","4,000","52,000","3,500","52,000","3,000","40,000","8,000","42,000","2,000"
                    4-year college/ university,"32,000","2,500","36,000","12,000","39,000","4,500","30,000",500,"27,000","3,500","45,000","8,000"
                    Other educational institution,"32,000","5,500",D,D,"35,000","10,500","35,000","10,000","32,000","6,000","28,000","11,000"
                    Government,"57,000","4,500","57,000","16,000","63,000","5,500","50,000","5,500","49,000","2,500","50,000","2,000"
                    Agricultural/ food sciences,"49,000","2,000","56,000","8,000","51,000","8,000","52,000","7,000","29,000","10,000","36,000","5,000"
                         Business/ industry,"48,000","3,000",S,S,"49,000","4,000","64,000","8,000",S,S,"35,000","3,000"
                         4-year college/ university,"34,000","4,000",D,D,"29,000","4,000","36,000","8,000",*,*,"33,000","1,000"
                         Other educational institution,"39,000","19,000",D,D,S,S,S,S,"38,000","16,500",D,D
                         Government,"69,000","16,500",S,S,"82,000","14,500","50,000","2,500",S,S,"47,000","7,000"
                    Biological sciences,"45,000","1,500","68,000","6,500","52,000","4,000","43,000","1,500","36,000","6,500","43,000","2,000"
                         Business/ industry,"49,000","2,000","73,000","6,000","55,000","3,500","50,000","3,000","49,000","11,000","42,000","2,500"
                         4-year college/ university,"33,000","2,500","31,000","2,000","39,000","1,500","30,000",500,"25,000","3,000","45,000","6,500"
                         Other educational institution,"30,000","3,000",D,D,"32,000","10,000","30,000","11,500","30,000","6,000","19,000","7,500"
                         Government,"52,000","4,000","67,000","11,000","57,000","5,500","46,000","6,500","48,000","4,000","47,000","4,500"
                    Environmental life sciences,"52,000","4,500","56,000","18,000","53,000","5,000","62,000","11,000","44,000","11,000","50,000","8,000"
                         Business/ industry,"46,000","4,000","74,000","34,500","45,000","3,500","74,000","16,500",S,S,"42,000","6,000"
                         4-year college/ university,"25,000","12,500",D,D,S,S,"17,000","3,500",S,S,S,S
                         Other educational institution,"43,000","5,500",D,D,S,S,D,D,"40,000","17,500",D,D
                         Government,"60,000","4,500",S,S,"65,000","13,000","63,000","13,000","49,000","4,000","60,000","14,000"
