"Table 14-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Master's,"70,000","1,500","80,000",500,"40,000","1,500","54,000","1,500","75,000","1,500"
     U.S. citizen,"68,000","1,500","80,000",500,"45,000","1,500","54,000","1,000","76,000","2,000"
          Native-born,"65,000",500,"78,000","1,500","45,000","2,000","53,000","1,500","75,000","1,000"
          Naturalized,"84,000","2,000","95,000","3,000","54,000","4,000","60,000","2,500","80,000","2,500"
     Non-U.S. citizen,"74,000","2,500","84,000","2,500","22,000","1,500","39,000","10,000","43,000","14,000"
          Permanent resident,"75,000","5,500","85,000","2,000","40,000","6,500","40,000","15,500","46,000","19,500"
          Temporary resident,"72,000","2,500","82,000","3,000","21,000","1,500","34,000","4,000","30,000","12,000"
     S&E occupations,"83,000","2,000","96,000","1,000","25,000","1,000","54,000","2,500","83,000","2,000"
          U.S. citizen,"85,000","1,500","99,000","2,500","30,000","1,500","54,000","2,500","83,000","2,000"
               Native-born,"80,000",500,"95,000","1,000","28,000","2,500","52,000","2,500","81,000","3,500"
               Naturalized,"98,000","3,500","102,000","2,000","47,000","12,000","59,000",500,"86,000","4,500"
          Non-U.S. citizen,"80,000","1,000","90,000","1,000","22,000",500,S,S,"72,000","11,000"
               Permanent resident,"96,000","2,000","100,000","1,000","30,000","7,500","40,000","7,500","89,000","20,500"
               Temporary resident,"70,000","1,000","84,000","1,500","21,000","1,500",*,*,"38,000","11,500"
          Science occupations,"78,000","2,000","95,000","1,500","26,000","2,000","54,000","2,500","77,000","3,000"
               U.S. citizen,"78,000","1,500","95,000","1,000","30,000","2,000","54,000","2,500","77,000","2,500"
                    Native-born,"70,000","2,500","90,000","1,500","28,000","2,000","52,000","2,500","75,000","3,000"
                    Naturalized,"97,000","4,000","102,000","2,000","48,000","8,000","59,000",500,"87,000","5,500"
               Non-U.S. citizen,"80,000","2,500","90,000","2,500","22,000","1,500",S,S,"61,000","13,000"
                    Permanent resident,"95,000","2,000","100,000","1,500","29,000","8,000","40,000","7,500",D,D
                    Temporary resident,"74,000","4,000","85,000","4,000","22,000",500,*,*,"40,000","13,500"
               Biological/ agricultural/ other life scientists,"54,000","4,000","68,000","5,500","30,000","1,000","36,000","12,000","71,000","7,500"
                    U.S. citizen,"60,000","1,500","70,000","3,500","38,000","5,000","36,000","12,000","71,000","8,000"
                         Native-born,"59,000","3,000","65,000","6,500","31,000","3,000","38,000","13,500","65,000","6,500"
                         Naturalized,"76,000","12,000","89,000","7,500","46,000","2,500","22,000","6,500","129,000","34,000"
                    Non-U.S. citizen,"30,000","1,500","54,000","13,500","25,000","1,000",D,D,D,D
                         Permanent resident,"53,000","14,000","59,000","17,000","33,000","12,000",D,D,D,D
                         Temporary resident,"25,000",500,"42,000","13,000","25,000","1,500",D,D,D,D
                    Agricultural/ food sciences,"46,000","17,000","65,000","11,500","33,000","4,500",D,D,S,S
                         U.S. citizen,"64,000","9,500","72,000","6,000","36,000","4,000",D,D,S,S
                              Native-born,"62,000","12,000","72,000","6,500","39,000","8,500",D,D,S,S
                              Naturalized,"66,000","16,000",D,D,D,D,D,D,S,S
                         Non-U.S. citizen,"36,000",500,S,S,"19,000","1,500",D,D,D,D
                              Permanent resident,S,S,S,S,D,D,D,D,D,D
                              Temporary resident,"20,000","5,500",D,D,"19,000","2,500",D,D,D,D
                    Biological and medical scientists,"59,000","2,500","71,000","6,000","30,000","2,500",S,S,"65,000","5,500"
                         U.S. citizen,"62,000","4,000","72,000","6,000","42,000","4,500",S,S,"66,000","6,500"
                              Native-born,"60,000","2,500","67,000","8,000","35,000","8,500",D,D,"64,000","1,000"
                              Naturalized,"81,000","9,000","89,000","7,000","47,000","3,500",D,D,S,S
                         Non-U.S. citizen,"30,000","3,000","69,000","9,000","25,000","1,000",D,D,D,D
                              Permanent resident,"69,000","9,500","79,000","9,500","37,000","8,500",D,D,D,D
                              Temporary resident,"25,000","1,500",S,S,"25,000","1,000",D,D,D,D
                    Environmental life scientists,"64,000","5,000","49,000","1,000",S,S,D,D,"82,000",500
                         U.S. citizen,"64,000","4,500","49,000","1,000",D,D,D,D,"82,000",500
                              Native-born,"64,000","4,500","49,000","1,000",D,D,D,D,"82,000",500
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"29,000","3,000",D,D,"27,000","5,000",S,S,D,D
                         U.S. citizen,"30,000","4,500",D,D,"29,000","3,500",S,S,D,D
                              Native-born,"31,000","5,000",D,D,"28,000","3,500","43,000","20,000",D,D
                              Naturalized,"25,000","11,500",D,D,D,D,S,S,D,D
                         Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
               Computer/ mathematical scientists,"91,000","2,500","100,000",500,"40,000","4,500","49,000","3,000","83,000","1,500"
                    U.S. citizen,"92,000","3,500","103,000","3,000","48,000","5,000","49,000","3,000","83,000","2,000"
                         Native-born,"88,000","2,000","101,000","2,500","44,000","6,000","49,000","4,000","83,000","3,500"
                         Naturalized,"100,000",500,"104,000","2,000","59,000","10,000",S,S,"84,000","5,500"
                    Non-U.S. citizen,"90,000",500,"92,000","2,500","21,000","2,000",S,S,S,S
                         Permanent resident,"100,000","2,500","102,000","4,500","39,000","11,000","39,000","4,000",D,D
                         Temporary resident,"83,000","3,000","86,000","5,500","20,000",500,D,D,D,D
                    Computer and information scientists,"96,000","2,000","100,000",500,"68,000","3,500","72,000","3,500","83,000","2,000"
                         U.S. citizen,"100,000","2,500","104,000","2,000","69,000","2,500","72,000","5,000","83,000","2,500"
                              Native-born,"96,000","2,000","103,000","3,000","69,000","4,000","69,000","6,500","83,000","4,000"
                              Naturalized,"100,000","2,500","105,000","2,500","80,000","6,000",D,D,"84,000","6,000"
                         Non-U.S. citizen,"92,000","3,500","92,000","3,000","22,000","2,500",D,D,S,S
                              Permanent resident,"101,000","4,500","103,000","4,000","57,000","7,500",D,D,D,D
                              Temporary resident,"85,000","3,000","87,000","4,500","21,000","2,500",D,D,D,D
                    Mathematical scientists,"77,000","1,500","90,000","6,500","29,000","8,000",S,S,"79,000","9,000"
                         U.S. citizen,"78,000","4,000","89,000","4,500",S,S,S,S,"79,000","9,000"
                              Native-born,"77,000","3,000","85,000","12,000",S,S,S,S,"80,000","10,500"
                              Naturalized,"89,000",500,"89,000","9,000",D,D,D,D,D,D
                         Non-U.S. citizen,"66,000","3,500","75,000","13,500","29,000","7,000",D,D,D,D
                              Permanent resident,"69,000","2,000","70,000","6,000",*,*,D,D,D,D
                              Temporary resident,"64,000","8,500","79,000","17,000","25,000","7,000",D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"36,000","3,000",D,D,"21,000","2,000","44,000","3,000",D,D
                         U.S. citizen,"37,000","3,000",D,D,"22,000","4,000","44,000","2,500",D,D
                              Native-born,"37,000","3,000",D,D,"22,000","6,000","43,000","5,500",D,D
                              Naturalized,"37,000","14,500",D,D,"20,000","3,000","38,000","9,500",D,D
                         Non-U.S. citizen,"20,000","2,500",D,D,"18,000","1,500","39,000","4,500",D,D
                              Permanent resident,"36,000","5,000",D,D,D,D,"39,000","5,000",D,D
                              Temporary resident,"16,000","3,500",D,D,"16,000","4,000",D,D,D,D
               Physical/ related scientists,"64,000","6,000","86,000","7,000","24,000","1,000","33,000","4,000","75,000","4,000"
                    U.S. citizen,"70,000","4,000","88,000","8,000","25,000","3,000","33,000","3,000","76,000","4,000"
                         Native-born,"70,000","3,500","88,000","8,000","26,000","3,000","33,000","3,500","75,000","4,000"
                         Naturalized,"75,000","16,000","85,000","14,000","22,000","2,000",D,D,"97,000","24,000"
                    Non-U.S. citizen,"26,000","4,000","80,000","12,500","22,000","1,500",D,D,D,D
                         Permanent resident,S,S,"68,000","29,500",S,S,D,D,D,D
                         Temporary resident,"22,000","1,500","81,000","3,000","22,000","1,500",D,D,D,D
"                    Chemists, except biochemists","68,000","4,000","72,000","2,500","25,000","2,000",D,D,"88,000","20,000"
                         U.S. citizen,"68,000","3,000","72,000","3,000","25,000","4,500",D,D,"88,000","19,500"
                              Native-born,"68,000","4,500","73,000","3,500","25,000","3,500",D,D,"89,000","18,000"
                              Naturalized,"61,000","9,500","62,000","11,500",D,D,D,D,*,*
                         Non-U.S. citizen,"43,000","17,500","70,000","15,000","22,000","1,500",D,D,D,D
