"Table 15-0. Median annual salaries of employed U.S. scientists and engineers, by all degree levels, level of highest degree, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level of highest degree             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
All degree levelsa,"65,000",500,"85,000",500,"70,000",500,"71,000","2,000","50,000",500,"60,000",500
     Bachelor's,"58,000","1,500","80,000",500,"61,000","2,000","65,000","1,000","43,000","2,000","52,000","1,500"
     Master's,"70,000","1,500","92,000","2,500","78,000","1,500","75,000","2,000","50,000",500,"61,000","1,500"
     Doctorate,"90,000",500,"101,000","4,500","103,000","2,500","93,000","2,000","74,000","2,000","82,000","4,500"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
a Total includes professional degrees not broken out separately.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
