"Table 15-1. Median annual salaries of employed U.S. scientists and engineers at all degree levels, by occupation, age, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Occupation and age (years)             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
All occupations,"65,000",500,"85,000",500,"70,000",500,"71,000","2,000","50,000",500,"60,000",500
     < 30,"42,000","1,500","61,000","2,000","42,000","1,500","48,000","1,000","35,000","1,000","45,000","2,000"
     30–39,"62,000","2,000","80,000","1,500","65,000","1,500","67,000","1,500","50,000",500,"60,000",500
     40–49,"75,000","1,500","97,000","2,500","81,000","3,000","85,000","1,000","57,000","2,000","70,000","1,000"
     50–59,"75,000","2,500","93,000","2,500","82,000","3,000","89,000","3,000","59,000","2,500","70,000",500
     60–75,"63,000","2,500","85,000","3,500","70,000","1,500","81,000","4,500","50,000",500,"60,000","1,500"
     S&E occupations,"80,000",500,"87,000","1,500","85,000",500,"80,000",500,"53,000","3,000","72,000","1,500"
          < 30,"55,000","1,500","65,000",500,"60,000",500,"54,000","2,500","20,000","1,000","55,000","1,500"
          30–39,"75,000","1,500","84,000","3,500","80,000",500,"75,000","1,000","45,000","3,500","72,000","3,000"
          40–49,"90,000",500,"97,000","2,000","93,000","2,500","93,000","2,000","64,000","2,000","82,000","3,000"
          50–59,"94,000","2,000","95,000","2,500","99,000","2,500","100,000","1,000","70,000","2,000","84,000","3,000"
          60–75,"85,000","1,500","89,000","3,500","92,000","4,500","93,000","3,000","65,000","4,000","74,000","4,500"
          Science occupations,"75,000",500,"86,000","1,500","80,000",500,"75,000","1,500","50,000","2,500","66,000","2,000"
               < 30,"45,000","2,000","65,000","1,000","50,000","3,000","42,000","2,500","20,000","1,000","45,000","2,000"
               30–39,"72,000","2,000","83,000","2,500","75,000","3,000","69,000","3,500","44,000","2,500","66,000","3,500"
               40–49,"87,000","2,000","96,000","2,000","88,000","4,000","90,000","1,000","60,000","2,000","75,000","3,000"
               50–59,"87,000","3,000","94,000","2,000","91,000","2,000","90,000",500,"66,000","3,500","75,000","2,000"
               60–75,"78,000","4,000","87,000","3,500","85,000","6,500","87,000","4,000","60,000","3,500","61,000","6,500"
               Biological/ agricultural/ other life scientists,"58,000","3,000","55,000","5,000","67,000","3,500","56,000","4,000","53,000","3,000","57,000","4,000"
                    < 30,"30,000","1,000","30,000","2,500","39,000","4,000","30,000",500,"21,000","1,500","31,000","3,000"
                    30–39,"50,000","1,000","55,000","7,000","58,000","4,500","50,000","1,000","42,000","4,500","58,000","5,000"
                    40–49,"72,000","2,000","84,000","22,500","72,000","3,500","74,000","4,000","60,000","3,500","64,000","6,000"
                    50–59,"84,000","1,500","69,000","14,000","84,000","2,000","88,000","6,000","72,000","2,500","69,000","7,000"
                    60–75,"72,000","7,500","67,000","26,000","72,000","12,500","81,000","2,500","86,000","3,500","58,000","3,500"
                    Agricultural/ food scientists,"52,000","3,000","60,000","17,500","59,000","3,500","51,000","4,000","70,000","15,500","41,000","9,500"
                         < 30,"31,000","1,500",D,D,"31,000","12,500","29,000","9,500",D,D,"30,000","1,000"
                         30–39,"50,000","5,500",*,*,"61,000","7,500","47,000","6,000",S,S,"46,000","2,000"
                         40–49,"59,000","3,500",*,*,"60,000","5,000","59,000","4,000",D,D,"41,000","1,000"
                         50–59,"78,000","11,500",*,*,"87,000","9,000","88,000","11,500",S,S,"70,000","17,500"
                         60–75,"82,000","33,000",D,D,S,S,S,S,D,D,"43,000","14,500"
                    Biological and medical scientists,"57,000","4,500","55,000","5,500","72,000","2,500","54,000","4,000",S,S,"60,000",500
                         < 30,"31,000","2,000","30,000","7,000","40,000","2,000","30,000","1,500","27,000","6,000","36,000","7,500"
                         30–39,"52,000","2,500","55,000","7,000","59,000","5,000","51,000","1,500","29,000","8,000","60,000","1,000"
                         40–49,"76,000","6,500","90,000","19,500","78,000","11,500","79,000","5,500",S,S,"63,000","5,000"
                         50–59,"85,000","6,000","56,000","20,000","84,000","7,000","95,000","6,000","81,000","21,500","70,000","11,000"
                         60–75,"72,000","7,500","53,000","25,000","88,000","7,000","77,000","10,000","96,000","9,500","60,000","8,500"
                    Environmental life scientists,"58,000","6,000",*,*,"61,000","3,000","60,000","4,500","45,000","9,000","50,000",500
                         < 30,"35,000","4,000",D,D,"40,000","10,000","31,000","5,000",D,D,D,D
                         30–39,"46,000","1,000",*,*,"50,000","6,000","30,000","15,500",D,D,"28,000","3,500"
                         40–49,"69,000","3,000",D,D,"69,000","5,000","73,000","11,500",D,D,"67,000","3,000"
                         50–59,"83,000","6,000",*,*,"82,000","5,000","83,000","3,500",*,*,"65,000","19,500"
                         60–75,"47,000",500,D,D,"47,000",500,"48,000","7,500",D,D,S,S
                    Postsecondary teachers - life/ related sciences,"62,000","3,500",D,D,"70,000","5,000","74,000","3,500","56,000","4,500","55,000","6,500"
                         < 30,"20,000","2,000",D,D,S,S,"20,000","3,000","20,000","2,000",S,S
                         30–39,"46,000","4,000",D,D,"61,000","6,500","46,000","10,000","44,000","5,500","50,000","12,500"
                         40–49,"68,000","7,000",D,D,"85,000","12,000","80,000","4,000","64,000","2,500","58,000","5,000"
                         50–59,"75,000","6,500",D,D,"69,000","11,500","89,000","6,000","70,000","4,500","58,000","14,000"
                         60–75,"85,000","5,000",D,D,"88,000","9,000","118,000","16,000","79,000","9,000","84,000","12,000"
               Computer/ mathematical scientists,"83,000","2,000","87,000","1,500","85,000",500,"83,000","2,500","49,000","2,500","77,000","4,000"
                    < 30,"61,000","2,000","65,000","1,000","60,000","3,000","64,000","2,500","24,000","10,000","58,000","5,500"
                    30–39,"80,000","1,000","85,000","2,000","81,000","3,500","80,000","1,000","44,000","5,500","76,000","4,500"
                    40–49,"94,000","3,000","97,000","2,500","94,000","4,000","99,000","2,500","61,000","6,500","87,000","4,500"
                    50–59,"91,000","3,500","94,000","2,000","100,000","3,500","90,000","4,000","62,000","5,500","84,000","6,500"
                    60–75,"83,000","4,000","87,000","3,500","94,000","10,500","89,000","4,000","47,000","10,000","64,000","8,500"
                    Computer and information scientists,"85,000",500,"88,000","1,000","86,000","2,500","85,000","2,500","65,000","5,000","78,000","5,000"
                         < 30,"64,000","2,500","65,000","2,000","61,000","1,500","66,000","2,000","35,000","2,500","61,000","4,500"
                         30–39,"82,000","2,000","85,000","1,000","82,000","4,000","81,000","2,500","64,000","14,500","78,000","4,000"
                         40–49,"95,000","1,500","97,000","3,000","95,000","3,000","99,000","1,500","68,000","6,000","87,000","4,500"
                         50–59,"93,000","1,500","93,000","2,000","100,000","2,000","93,000","4,500","85,000","21,500","80,000","8,000"
                         60–75,"88,000","3,500","88,000","4,000","96,000","7,000","89,000","4,500","75,000","1,500","65,000","9,000"
                    Mathematical scientists,"70,000","5,000","68,000","8,500","71,000","6,000","68,000","5,500","20,000","8,500","83,000","3,500"
                         < 30,"46,000","12,000","56,000","9,000","40,000","14,000","46,000","12,500",S,S,"54,000","4,500"
                         30–39,"69,000","6,500","58,000","12,000","80,000","15,000","69,000","8,000",*,*,"77,000","16,000"
                         40–49,"79,000","11,000","75,000","14,500","76,000","2,500","90,000","6,500",*,*,"98,000","3,000"
                         50–59,"95,000","11,000","112,000","6,000","98,000","20,000","90,000","3,000",D,D,"96,000","23,500"
                         60–75,"80,000","7,500","85,000","9,000","75,000","19,000","89,000","18,000",S,S,"71,000","14,500"
                    Postsecondary teachers - computer/ math sciences,"41,000","5,000","53,000","21,500","46,000","1,000","55,000","6,000","40,000","4,000","40,000","4,500"
                         < 30,"18,000","2,500","35,000","12,000",S,S,"19,000","1,000","18,000","2,500",S,S
                         30–39,"36,000","10,000","35,000","1,000","43,000","13,500","43,000","9,500","38,000","9,500","38,000","10,500"
                         40–49,"58,000","4,500",S,S,"60,000","7,500","69,000","8,000","57,000","4,500","54,000","5,500"
                         50–59,"59,000","6,500","78,000","22,000","46,000","19,500","68,000","10,500","56,000","5,500","48,000","19,000"
                         60–75,"45,000","6,000","79,000","30,000","45,000","1,500","72,000","11,500","43,000","7,000","40,000","6,500"
               Physical/ related scientists,"67,000","2,000","67,000","6,500","76,000","3,000","70,000",500,"52,000","5,000","60,000","2,000"
                    < 30,"31,000","1,500","33,000","2,500","42,000","2,500","30,000","1,500","20,000","1,000","42,000","3,000"
                    30–39,"60,000","1,000","62,000","5,500","63,000","1,500","60,000","2,500","45,000","5,500","55,000","4,500"
                    40–49,"79,000","2,000","73,000","7,000","89,000","3,500","82,000","4,000","64,000","3,000","66,000","5,000"
                    50–59,"91,000","4,000","115,000","14,000","95,000","9,500","100,000","2,000","76,000","5,000","75,000","4,000"
                    60–75,"90,000","6,500","101,000","17,000","98,000","8,500","100,000","12,000","65,000","15,500","72,000","11,000"
"                    Chemists, except biochemists","65,000","2,500","50,000","16,500","77,000","5,000","65,000","2,500",S,S,"54,000","2,000"
                         < 30,"31,000","3,500",D,D,"46,000","3,000","30,000","1,000",S,S,"40,000","3,500"
                         30–39,"59,000","2,500",*,*,"60,000","5,000","59,000","1,000",*,*,"51,000","2,500"
                         40–49,"89,000","5,000",*,*,"95,000","2,000","90,000","8,500",*,*,"65,000","1,500"
                         50–59,"84,000","6,500",*,*,"89,000","7,500","94,000","7,000",*,*,"74,000","2,500"
                         60–75,"83,000","7,500",D,D,"98,000","18,000","99,000","3,500",D,D,"60,000","7,500"
                    Earth/ atmospheric/ ocean scientists,"79,000","3,500","65,000","11,500","85,000","9,500","79,000","5,500","127,000","27,000","75,000","5,000"
