"Table 15-2. Median annual salaries of employed U.S. scientists and engineers with a bachelor's as the highest degree, by occupation, age, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
"Level of highest degree, occupation, and age (years)             ",,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Bachelor's,"58,000","1,500","80,000",500,"61,000","2,000","65,000","1,000","43,000","2,000","52,000","1,500"
     < 30,"40,000",500,"60,000","1,000","40,000",500,"45,000","2,000","34,000","2,000","39,000","2,500"
     30–39,"58,000","1,500","80,000","3,000","60,000",500,"65,000","1,000","44,000","1,500","50,000","1,000"
     40–49,"70,000",500,"91,000","2,500","75,000","1,000","80,000",500,"49,000","2,500","60,000",500
     50–59,"66,000","2,500","88,000","4,000","72,000","3,000","80,000","2,000","50,000","1,500","60,000",500
     60–75,"55,000","2,500","80,000","4,000","59,000",500,"66,000","6,500","42,000","5,500","50,000",500
     S&E occupations,"76,000","2,000","82,000","2,000","80,000","1,500","75,000","1,000","36,000","4,000","71,000","2,000"
          < 30,"54,000","1,500","64,000","2,500","60,000","2,500","54,000","2,000","20,000","2,000","52,000","3,500"
          30–39,"75,000","1,500","80,000","1,000","78,000","3,500","75,000","2,000","30,000","2,500","71,000","2,000"
          40–49,"88,000","2,000","90,000","2,500","88,000","3,500","90,000",500,"79,000","13,500","80,000","3,500"
          50–59,"90,000","1,500","90,000","2,500","95,000","1,500","92,000","3,500","68,000","13,000","80,000","4,500"
          60–75,"85,000","3,500","87,000","8,500","94,000","3,500","89,000","3,500","76,000","4,500","74,000","7,500"
          Science occupations,"72,000","1,000","82,000","1,500","75,000","1,500","70,000","1,500","31,000","4,000","64,000","3,000"
               < 30,"45,000",500,"62,000","3,000","47,000","4,500","42,000","3,000","20,000","1,500","45,000","3,000"
               30–39,"72,000","2,500","80,000",500,"74,000","4,000","70,000","2,000","29,000","2,000","65,000","4,500"
               40–49,"84,000","2,500","89,000","2,000","80,000","3,000","88,000","4,000","56,000","2,000","72,000","3,500"
               50–59,"84,000","1,500","89,000","2,000","90,000","2,500","81,000","6,000","54,000","7,000","70,000","4,500"
               60–75,"81,000","3,500","87,000","7,500","95,000","6,000","80,000","5,000","75,000","15,000","59,000","1,500"
               Biological/ agricultural/ other life scientists,"45,000","2,500","56,000","11,500","59,000","1,500","40,000","2,000","22,000","4,000","48,000","4,500"
                    < 30,"30,000","1,000","27,000","2,500","35,000","7,000","29,000","2,000","18,000","3,500","31,000","2,500"
                    30–39,"49,000","2,000",S,S,"54,000","5,000","48,000","4,500","19,000","8,000","49,000","3,500"
                    40–49,"60,000","5,000",D,D,"63,000","6,000","63,000","10,000","40,000","7,000","47,000","9,500"
                    50–59,"79,000","7,500",D,D,"80,000","7,500","78,000","7,500",S,S,"56,000","10,000"
                    60–75,"59,000","3,000",D,D,"89,000","2,000","57,000","2,000","72,000","7,500","58,000","2,000"
                    Agricultural/ food scientists,"49,000","2,000",D,D,"52,000","10,500","49,000","2,500",D,D,"41,000","8,000"
                         < 30,"31,000","3,000",D,D,"31,000","12,500",S,S,D,D,"30,000","1,000"
                         30–39,"49,000","1,000",D,D,"50,000","3,000","48,000","1,500",D,D,S,S
                         40–49,"58,000","1,500",D,D,"58,000","1,500","59,000","1,000",D,D,S,S
                         50–59,"74,000","10,500",D,D,"60,000","20,500","97,000","25,000",D,D,"48,000","23,500"
                         60–75,S,S,D,D,D,D,S,S,D,D,*,*
                    Biological and medical scientists,"44,000","2,500","58,000","25,000","60,000","2,500","40,000","1,000","29,000","1,000","50,000","5,000"
                         < 30,"30,000","1,000","28,000","2,000","39,000","6,500","30,000","1,500","23,000","8,000","33,000","6,000"
                         30–39,"51,000","4,500",S,S,"55,000","6,000","50,000","3,500","28,000","2,000","59,000","5,500"
                         40–49,"65,000","7,500",D,D,"65,000","6,500","72,000","3,000",S,S,"47,000","14,000"
                         50–59,"81,000","2,500",D,D,"81,000","2,500","80,000","10,000",D,D,"52,000","12,500"
                         60–75,"60,000","3,500",D,D,"77,000","5,000","58,000","4,500",D,D,"56,000","4,000"
