"Table 15-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by occupation, age, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
"Level of highest degree, occupation, and age (years)             ",,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Master's,"70,000","1,500","92,000","2,500","78,000","1,500","75,000","2,000","50,000",500,"61,000","1,500"
     < 30,"49,000","2,000","70,000","4,000","50,000","1,000","52,000","2,000","39,000","2,000","50,000",500
     30–39,"64,000","2,000","87,000","4,000","72,000","2,500","70,000",500,"49,000","2,000","61,000","1,500"
     40–49,"80,000","1,500","102,000","4,500","90,000","2,000","85,000","3,000","58,000","2,500","69,000","3,000"
     50–59,"80,000","1,000","104,000","2,500","90,000",500,"90,000","4,000","60,000","1,000","69,000","3,000"
     60–75,"60,000","2,000","89,000","5,500","70,000","1,000","78,000","5,500","43,000","2,000","53,000","2,500"
     S&E occupations,"83,000","2,000","95,000",500,"91,000","2,500","82,000","1,500","30,000","3,000","75,000","1,500"
          < 30,"55,000","2,500","75,000","2,000","60,000","3,500","50,000","5,000","20,000",500,"56,000","4,000"
          30–39,"78,000","2,500","90,000","1,000","86,000","4,000","77,000","2,000","25,000","2,000","75,000","4,000"
          40–49,"99,000","2,500","104,000","2,000","102,000","2,000","100,000","2,500","44,000","2,000","88,000","3,000"
          50–59,"100,000","1,500","106,000","3,000","102,000","2,500","102,000","4,000","50,000","6,500","90,000","3,500"
          60–75,"74,000","3,000","89,000","3,000","80,000","6,000","90,000","4,500","29,000","6,500","68,000","8,000"
          Science occupations,"78,000","2,000","95,000",500,"85,000",500,"76,000","3,500","29,000","1,500","70,000","2,500"
               < 30,"47,000","4,000","75,000","4,500","59,000","5,500","41,000","4,500","20,000",500,"52,000","6,500"
               30–39,"75,000","2,000","90,000","1,000","81,000","4,000","70,000","3,500","25,000","2,000","70,000","7,000"
               40–49,"95,000","2,000","105,000","2,500","101,000","2,500","96,000","4,500","44,000","2,000","82,000","4,500"
               50–59,"90,000","3,000","104,000","1,500","94,000","6,000","90,000","4,000","49,000","4,000","80,000","7,500"
               60–75,"60,000","4,000","86,000","2,500","59,000","9,000","70,000","7,000","27,000","3,000","55,000","10,500"
               Biological/ agricultural/ other life scientists,"54,000","4,000","47,000","13,000","65,000","4,500","52,000","3,000","32,000","13,500","60,000","3,000"
                    < 30,"31,000","2,000","29,000","7,000","48,000","9,000","30,000","2,000","25,000","1,000","31,000","8,500"
                    30–39,"50,000","7,000","54,000","20,000","54,000","12,000","48,000","5,000","41,000","14,500","59,000","3,500"
                    40–49,"71,000","7,500",S,S,"89,000","12,000","67,000","9,000",S,S,"69,000","6,500"
                    50–59,"75,000","8,500",S,S,"82,000","6,000","79,000","9,000","68,000","5,000","74,000","14,000"
                    60–75,"49,000","1,000",D,D,"48,000","1,500","44,000","12,000","30,000","10,500","45,000","1,500"
                    Agricultural/ food scientists,"46,000","17,000",*,*,"59,000","22,500","42,000","11,500",S,S,"39,000","7,000"
                         < 30,"26,000","5,500",D,D,*,*,"26,000","7,000",D,D,D,D
                         30–39,"42,000","4,000",D,D,"62,000","9,500","40,000","3,500",D,D,S,S
                         40–49,"77,000","13,500",D,D,D,D,"67,000","7,000",D,D,D,D
                         50–59,"72,000","5,000",D,D,"101,000","22,000","72,000","1,500",D,D,*,*
                         60–75,S,S,D,D,S,S,S,S,D,D,*,*
                    Biological and medical scientists,"59,000","2,500","50,000","12,000","68,000","6,000","53,000","4,000",S,S,"64,000","5,000"
