"Table 15-4. Median annual salaries of employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, age, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
"Level of highest degree, occupation, and age (years)             ",,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Doctorate,"90,000",500,"101,000","4,500","103,000","2,500","93,000","2,000","74,000","2,000","82,000","4,500"
     < 30,"62,000","4,000","89,000","1,500","55,000","5,500","60,000","2,000","55,000","3,500","63,000","1,000"
     30–39,"72,000","1,000","84,000","4,000","83,000","3,000","75,000","1,500","65,000","2,000","68,000","4,000"
     40–49,"95,000","2,000","113,000","6,500","112,000","4,000","96,000","3,000","70,000",500,"92,000","2,000"
     50–59,"100,000",500,"114,000","5,000","115,000","3,500","110,000","2,000","78,000","2,500","94,000","5,500"
     60–75,"97,000","4,500","105,000","1,000","107,000","3,500","110,000","2,000","80,000","2,000","80,000","2,000"
     S&E occupations,"88,000","1,500","101,000","4,000","100,000","3,000","90,000","1,000","74,000","1,500","82,000","2,500"
          < 30,"60,000","6,000","89,000","2,500","54,000","6,000","59,000","3,000","54,000","1,500","63,000","2,000"
          30–39,"70,000",500,"82,000","6,000","78,000","2,500","72,000","2,000","62,000","1,500","70,000","3,000"
          40–49,"90,000",500,"110,000","2,000","105,000","3,000","94,000","2,500","70,000","1,500","82,000","5,000"
          50–59,"101,000","2,500","112,000","3,500","112,000","5,000","110,000","2,500","80,000","2,500","91,000","3,000"
          60–75,"100,000","2,500","105,000","1,000","106,000","1,500","110,000","3,500","88,000","3,000","88,000","3,000"
          Science occupations,"82,000","1,000","100,000","2,500","95,000","2,500","85,000","2,000","72,000","1,500","80,000",500
               < 30,"57,000","5,500","88,000","2,500","53,000","2,500","53,000","3,500","54,000","1,000","63,000","2,500"
               30–39,"63,000","2,500","76,000","6,500","70,000","1,500","64,000","2,500","62,000","2,000","68,000","4,500"
               40–49,"85,000","2,000","110,000","2,500","100,000","2,500","89,000","1,500","68,000","2,000","79,000","2,000"
               50–59,"96,000","3,000","111,000","2,000","105,000","4,000","104,000","3,000","79,000","2,000","90,000","3,500"
               60–75,"94,000","3,500","105,000","1,000","104,000","4,000","108,000","3,500","86,000","3,500","86,000","4,000"
               Biological/ agricultural/ other life scientists,"76,000","2,500","55,000","5,500","93,000","3,000","79,000","3,000","73,000","2,500","79,000","5,500"
                    < 30,"45,000","3,500","65,000","11,000","63,000","29,500","44,000","2,000",*,*,S,S
                    30–39,"52,000","2,000","44,000","5,000","65,000","3,000","51,000","2,000","57,000","3,000","59,000","5,500"
                    40–49,"85,000","2,000","64,000","13,500","98,000","5,000","87,000","3,500","65,000","4,000","72,000","9,000"
                    50–59,"100,000","1,500","90,000","10,500","118,000","5,000","106,000","4,000","80,000","3,500","95,000","6,000"
                    60–75,"100,000","5,000","87,000","18,500","107,000","9,500","119,000","8,000","92,000","4,500","88,000","3,500"
                    Agricultural/ food scientists,"92,000","2,500",*,*,"102,000","3,500","92,000","2,500",*,*,"72,000","6,500"
                         < 30,D,D,D,D,D,D,D,D,D,D,D,D
                         30–39,"77,000","5,000",D,D,"89,000","7,000","76,000","6,500",D,D,*,*
                         40–49,"92,000","7,000",D,D,"102,000","8,500","92,000","8,000",D,D,*,*
                         50–59,"102,000","4,000",D,D,"105,000","4,000","102,000","4,000",*,*,"76,000","4,500"
                         60–75,"110,000","15,000",D,D,"119,000","32,000","112,000","8,000",D,D,*,*
                    Biological and medical scientists,"72,000","3,500","54,000","5,500","95,000","3,500","70,000","2,500","66,000","19,000","80,000","6,500"
                         < 30,"45,000","2,500","65,000","11,000",S,S,"44,000","2,000",D,D,S,S
                         30–39,"51,000","1,500","44,000","4,500","62,000","6,000","50,000",500,"46,000","11,000","65,000","8,000"
                         40–49,"90,000","2,000","64,000","15,000","103,000","5,000","89,000","3,500",*,*,"79,000","10,500"
                         50–59,"110,000","4,000","89,000","11,500","122,000","5,000","110,000","5,000","101,000","3,000","106,000","10,000"
                         60–75,"104,000","8,000","77,000","23,000","119,000","13,000","110,000","6,500","118,000","26,000","98,000","8,000"
                    Environmental life scientists,"78,000","7,000",*,*,"82,000","9,000","78,000","8,500",D,D,*,*
                         < 30,D,D,D,D,D,D,D,D,D,D,D,D
                         30–39,*,*,*,*,*,*,*,*,D,D,D,D
                         40–49,"74,000","5,000",D,D,*,*,*,*,D,D,*,*
                         50–59,*,*,D,D,*,*,*,*,D,D,D,D
                         60–75,*,*,D,D,D,D,*,*,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"80,000","1,000",*,*,"86,000","1,500","90,000","1,500","73,000","2,500","73,000","5,500"
