"Table 16-1. Median annual salaries of employed U.S. scientists and engineers at all degree levels, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
All occupations,"65,000",500,"47,000","1,000","60,000",500,"70,000",500,"76,000","1,500","80,000","2,500","80,000","1,500","75,000","1,000","65,000","2,500"
     Hispanic or Latinoa ,"55,000","2,000","45,000","2,000","52,000","3,000","62,000","3,500","71,000","2,500","69,000","5,500","63,000","6,000","64,000","10,500","50,000","4,500"
     Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
          American Indian or Alaska Nativeb,"48,000","5,000","29,000","11,000","70,000","7,000",S,S,"47,000","3,500","72,000","21,000",S,S,"65,000","30,000",S,S
          Asian,"76,000","2,500","55,000","1,500","73,000","3,500","85,000","3,000","93,000","5,500","94,000","7,500","81,000","5,500","65,000","9,000","69,000","6,500"
          Black or African American,"57,000","2,500","45,000","2,500","53,000","3,500","63,000","3,500","67,000","6,000","65,000","7,000","68,000","7,000","57,000","6,500","60,000","5,500"
          White,"65,000",500,"47,000","1,500","60,000",500,"70,000","1,000","75,000","1,000","80,000","1,000","83,000","3,000","75,000","4,000","65,000","3,500"
          Other racec,"62,000","3,000","50,000","3,000","55,000","4,000","75,000","7,000","73,000","11,000","89,000","12,500","75,000","14,500",S,S,"79,000",500
     S&E occupations,"80,000",500,"55,000","1,000","72,000","2,500","84,000","2,000","90,000",500,"95,000","1,500","98,000","2,000","95,000","2,000","90,000",500
          Hispanic or Latinoa ,"66,000","2,500","50,000","2,500","64,000","3,000","79,000","6,500","85,000","6,500","93,000","5,000","98,000","8,000","74,000","14,000","85,000","18,500"
          Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Nativeb,"70,000","8,500","10,000","3,500","85,000","23,000","77,000","16,500","68,000","13,500","77,000","12,000","84,000","3,000",*,*,D,D
               Asian,"86,000","1,500","59,000","2,500","80,000",500,"90,000","2,500","100,000","1,500","104,000","6,000","109,000","3,000","95,000","5,500","97,000","7,000"
               Black or African American,"75,000","3,000","54,000","5,000","70,000","5,000","86,000","5,000","84,000","4,000","73,000","4,000","91,000","10,000","89,000","1,500","87,000","7,500"
               White,"80,000",500,"54,000","2,500","70,000",500,"81,000","2,000","88,000","2,500","93,000","3,500","97,000","2,000","96,000","2,500","90,000",500
               Other racec,"75,000","3,000","64,000","10,500","64,000","11,000","90,000","3,000","92,000","7,000","76,000","20,500","78,000","1,000","94,000","11,000","53,000","22,500"
          Science occupations,"75,000",500,"50,000","3,000","67,000","1,500","80,000",500,"88,000","3,000","90,000","1,500","90,000","5,000","88,000","2,500","84,000","3,500"
               Hispanic or Latinoa ,"60,000","1,500","45,000","4,500","58,000","5,500","73,000","4,500","84,000","10,000","90,000","11,000","89,000","8,000","60,000","11,000",S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,"59,000","17,000","9,000","4,000","87,000","32,000",S,S,"57,000","27,000",*,*,*,*,*,*,*,*
                    Asian,"85,000",500,"56,000","4,000","80,000","2,500","89,000","2,500","100,000","1,000","100,000","7,000","109,000","4,000","85,000","9,500","93,000","14,000"
                    Black or African American,"72,000","3,000","51,000","4,000","69,000","10,500","81,000","5,500","79,000","5,000","73,000","5,500","90,000","8,000","87,000","2,500","80,000","13,000"
                    White,"74,000","1,500","48,000","2,500","65,000","2,000","75,000","1,500","85,000","2,500","90,000","4,500","90,000","1,500","89,000","3,000","85,000","3,500"
                    Other racec,"71,000","5,500","61,000","15,500","57,000","6,000","86,000","10,000","78,000","18,000","59,000","17,500","78,000","1,000","77,000","20,000",S,S
               Biological/ agricultural/ other life scientists,"58,000","3,000","36,000","2,000","50,000","1,000","65,000","2,000","81,000","2,000","85,000","6,000","85,000","2,500","84,000","4,000","69,000","8,000"
                    Hispanic or Latinoa ,"50,000","4,500","39,000","3,000","45,000","8,500","42,000","17,000","74,000","15,500","109,000","35,500","58,000","7,500","134,000","51,500","114,000","1,000"
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,"56,000","12,500",*,*,*,*,D,D,*,*,D,D,D,D,D,D,D,D
                         Asian,"54,000","5,500","38,000","6,000","45,000","3,500","69,000","4,500","84,000","6,500","109,000","20,500","82,000","8,500","92,000","30,500","90,000","15,000"
                         Black or African American,"49,000","3,500","30,000","5,000","42,000","6,500","62,000","12,500","64,000","18,000","87,000","6,500","101,000","5,500",*,*,"88,000",500
                         White,"60,000",500,"36,000","2,000","51,000","2,000","65,000","4,500","81,000","2,500","72,000","4,500","85,000","3,000","81,000","4,500","64,000","6,500"
                         Other racec,"47,000","9,500","34,000","7,500","49,000","18,000","56,000","20,000","74,000","7,500",*,*,*,*,S,S,S,S
                    Agricultural/ food sciences,"52,000","3,000","31,000","2,000","49,000","3,500","59,000","1,000","71,000","21,500","67,000","17,000","66,000","30,500","110,000","44,500","93,000","3,000"
                         Hispanic or Latinoa ,"44,000","14,000",*,*,"35,000","12,500",*,*,S,S,*,*,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"43,000","11,000","26,000","10,000","65,000","12,500",S,S,"99,000","20,000",S,S,S,S,D,D,*,*
                              Black or African American,"50,000","13,000","44,000","5,500",S,S,*,*,*,*,D,D,*,*,D,D,D,D
                              White,"52,000","6,000","30,000","1,500","49,000","4,500","59,000","1,000",S,S,"67,000","16,500","76,000","25,500","124,000","41,000","93,000","1,000"
                              Other racec,"60,000","6,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Biological and medical scientists,"57,000","4,500","39,000","2,000","51,000","2,000","70,000","3,500","84,000","4,000","89,000","4,000","92,000","13,000","83,000","4,000","72,000","12,500"
                         Hispanic or Latinoa ,"48,000","6,000","39,000","2,500","51,000","10,000",S,S,"93,000","6,500","151,000","56,000",S,S,S,S,"115,000",500
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,"55,000","9,500",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
