"Table 16-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Level of highest degree, occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Master's,"70,000","1,500","55,000",500,"65,000","1,000","75,000","1,000","80,000",500,"81,000","3,500","80,000","4,000","76,000","4,500","59,000","1,500"
     Hispanic or Latinoa ,"62,000","4,000","55,000","3,000","60,000","2,000","83,000","8,000","76,000","8,500","75,000","1,000","64,000","4,500","75,000","14,000","49,000","2,000"
     Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
          American Indian or Alaska Nativeb,"62,000","13,000","55,000","22,500","59,000","19,500",S,S,"69,000","20,000",S,S,S,S,S,S,S,S
          Asian,"85,000","1,500","66,000","3,500","82,000","3,000","97,000","4,000","100,000","1,500","100,000",500,"96,000","12,500","100,000","5,000","66,000","7,000"
          Black or African American,"60,000","2,000","57,000","4,000","65,000","3,500","70,000","3,500","68,000","11,500","50,000","8,500","60,000","8,500","55,000","10,500","62,000","13,500"
          White,"68,000","2,000","53,000","2,000","63,000","1,500","71,000","2,000","78,000","3,500","80,000","2,500","82,000","5,000","75,000","4,000","59,000","1,500"
          Other racec,"70,000","6,000","59,000","6,500","70,000","14,000","84,000","9,000","61,000","5,500","130,000","41,000","85,000","13,000","98,000","8,000",S,S
     S&E occupations,"83,000","2,000","60,000","1,000","80,000","1,000","92,000","3,500","99,000",500,"100,000","1,000","100,000","4,500","100,000","2,500","74,000","6,000"
          Hispanic or Latinoa ,"67,000","4,500","59,000","1,000","74,000","5,500","95,000","7,500","94,000","5,000","87,000","22,000","86,000","23,000","59,000","18,500","45,000","21,000"
          Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Nativeb,"75,000","11,000",*,*,"60,000","12,000",D,D,D,D,D,D,D,D,D,D,D,D
               Asian,"90,000",500,"69,000","3,000","85,000","2,000","100,000","7,000","100,000","3,000","103,000","5,500","109,000","10,500","116,000","14,500","95,000","5,000"
               Black or African American,"76,000","5,500","51,000","7,000","82,000","8,000","89,000","6,000","75,000","22,500","72,000","23,000","105,000","11,500","87,000","2,500","61,000","18,500"
               White,"81,000","2,500","60,000","2,000","77,000","2,500","87,000","6,500","99,000","1,000","99,000","3,000","99,000","5,000","102,000","2,500","70,000","6,500"
               Other racec,"78,000","6,500","71,000","12,500","82,000","20,500","90,000","3,000","84,000","22,500",S,S,D,D,D,D,D,D
          Science occupations,"78,000","2,000","57,000","3,500","75,000","2,500","87,000","5,500","96,000","4,000","96,000","3,000","90,000","8,000","88,000","2,000","52,000","8,500"
               Hispanic or Latinoa ,"59,000","1,000","55,000","6,000","65,000","8,500","95,000","22,500","93,000","3,500","90,000","21,000",S,S,S,S,S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,S,S,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"90,000",500,"70,000","4,500","84,000","3,000","100,000","6,000","99,000","1,500","104,000","5,500","108,000","7,500","104,000","23,500","86,000","31,000"
                    Black or African American,"70,000","10,500","50,000","7,000","75,000","8,500","83,000","8,500","56,000","19,500","49,000","16,000",D,D,"82,000","6,500",S,S
