"Table 16-4. Median annual salaries of employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Level of highest degree, occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Doctorate,"90,000",500,"62,000","2,000","80,000","1,000","90,000","3,000","100,000","3,000","110,000","2,500","110,000","3,000","116,000","6,500","105,000","3,500"
     Hispanic or Latinoa ,"72,000","5,000","62,000","8,000","68,000","6,000","86,000","7,500","80,000","8,500","110,000","15,500","90,000","10,500",S,S,"30,000","11,000"
     Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
          American Indian or Alaska Nativeb,"106,000","17,500","111,000","3,500","75,000","16,000",*,*,*,*,*,*,*,*,D,D,D,D
          Asian,"93,000","2,500","65,000","7,500","87,000","4,500","93,000","5,000","110,000","8,000","127,000","6,000","108,000","7,000","129,000","5,500","118,000","15,000"
          Black or African American,"80,000","1,500","65,000","6,000","83,000","7,500","85,000","8,500","84,000","2,500","72,000","7,000","107,000","18,500","118,000","27,000","81,000","10,000"
          White,"90,000",500,"60,000","1,500","79,000","2,000","88,000","4,500","96,000","4,000","110,000","2,500","114,000","5,500","114,000","7,500","109,000","4,000"
          Other racec,"63,000","11,000","62,000",500,"85,000","10,500","99,000","5,000","85,000","10,500","82,000","5,000",S,S,"150,000","6,000","101,000","9,000"
     S&E occupations,"88,000","1,500","57,000","2,000","80,000","1,000","90,000","1,500","96,000","3,000","108,000","2,500","110,000","2,500","110,000","4,000","102,000","6,000"
          Hispanic or Latinoa ,"72,000","4,000","50,000","4,000","69,000","4,000","85,000","8,000","84,000","6,500","99,000","2,000","90,000","5,500","82,000","14,000",S,S
          Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Nativeb,"75,000","4,000",*,*,"75,000","20,500",*,*,*,*,*,*,D,D,D,D,D,D
               Asian,"90,000","1,000","58,000","4,000","86,000","4,500","93,000","4,500","107,000","5,500","120,000","5,500","114,000","7,500","139,000","13,000","125,000","9,500"
               Black or African American,"79,000","4,000","54,000","6,500","68,000","3,000","86,000","8,500","91,000","9,000","78,000","10,000","95,000","15,000","99,000","5,500","80,000","16,000"
               White,"88,000","2,000","58,000","2,500","78,000","2,000","89,000","2,500","93,000","4,500","105,000","3,000","110,000","2,500","106,000","2,500","101,000","6,000"
               Other racec,"80,000","4,000","56,000","6,500","75,000","6,500","98,000","7,500","71,000","12,000","81,000","10,000",*,*,"150,000","27,500",*,*
