"Table 3-2. Broad occupation category of employed U.S. scientists and engineers with a bachelor's as the highest degree, by field of highest degree: 2013",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,,,,S&E occupations,,,,,,,,,,S&E-related occupations,,,,,,,,,,,
,All occupations,,,Biological/ agricultural/,,Computer/ mathematical,,Physical/ related scientists,,Social/ related scientists,,Engineering,,Health occupations,,"S&E managers, including health",,S&E pre-college teachers,,S&E technicians and technologists,,Other S&E-related occupations,,Non-S&E occupations,
,,,,other life scientists,,scientists,,,,,,,,,,,,,,,,,,,
,Number,SE,Percent,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE
Bachelor's,"13,432,000","237,000",100,2,0.15,13.3,0.4,1,0.1,0.9,0.15,7.4,0.2,18.2,0.45,3.7,0.2,3.1,0.3,4.3,0.2,0.9,0.1,45.3,0.6
     S&E field,"8,932,000","155,500",100,2.5,0.2,13.4,0.4,1.3,0.1,1,0.1,9.7,0.3,4.9,0.3,3.4,0.2,1.6,0.15,4.2,0.2,0.2,0.1,57.9,0.6
          Science,"6,933,000","134,000",100,3.1,0.25,13.2,0.45,1.6,0.15,1.2,0.15,1.4,0.15,6.1,0.35,2,0.2,1.9,0.2,3.3,0.25,0.3,0.1,65.8,0.65
               Biological/ agricultural/ environmental life sciences,"1,369,000","39,000",100,13.3,1.05,3.4,0.45,2.4,0.25,0.5,0.2,1.6,0.25,15,1.1,1.8,0.4,2.9,0.45,5.2,0.55,S,S,53.6,1.6
                    Agricultural/ food sciences,"241,000","19,000",100,7.5,1.55,2.1,0.95,1.2,0.4,D,D,0.8,0.35,3.7,1.2,S,S,2.1,0.7,3.3,1,D,D,78,2.5
                    Biological sciences,"1,008,000","32,000",100,14.9,1.25,3.3,0.5,2.2,0.25,0.3,0.1,1.5,0.25,19.2,1.45,2.1,0.5,3.5,0.6,5.8,0.7,D,D,47.3,1.85
                    Environmental life sciences,"120,000","9,500",100,11.7,2.65,7.5,2.3,6.7,1.25,S,S,3.3,1.3,S,S,2.5,0.95,S,S,4.2,1.65,D,D,57.5,4.2
               Computer/ mathematical sciences,"1,501,000","37,500",100,0.1,0.05,47.8,1.3,0.1,0.1,0.3,0.1,2.1,0.3,1,0.3,4,0.55,3.3,0.45,6.2,0.65,0.7,0.3,34.4,1.3
