"Table 4-0. Employed U.S. scientists and engineers who reported one or more disabilities, by all degree levels and field of highest degree: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level of highest degree             ,,,Type of disability,,,,,,,,,
,Total with disability,,Hearing,,Seeing,,Walking,,Lifting,,Cognitive,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
All degree levelsa,"1,989,000","58,500","680,000","28,500","921,000","33,500","231,000","14,000","316,000","19,000","358,000","19,000"
     Bachelor's,"1,250,000","44,500","418,000","23,500","580,000","27,500","139,000","12,500","196,000","15,500","230,000","15,500"
     Master's,"520,000","24,500","176,000","13,000","236,000","13,500","69,000","6,500","94,000","10,000","95,000","10,000"
     Doctorate,"88,000","5,500","35,000","5,000","42,000","5,000","12,000","1,500","13,000","1,500","12,000","1,500"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
a Total includes professional degrees not broken out separately.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding and because person may report more than one disability. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Scientists and Engineers Statistical Data System surveys ask degree of difficulty—none, slight, moderate, severe, unable to do—individual has in seeing (with glasses/contact lenses), hearing (with hearing aid), walking without assistance, lifting 10 pounds, or concentrating, remembering, or making decisions. Respondents who answered ""moderate,"" ""severe,"" or ""unable to do"" for any activity were classified as having a disability.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
