"Table 8-0. Employed U.S. scientists and engineers, by all degree levels and level of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level of highest degree             ,  ,,Sex,,,,,,Not Hispanic or Latinob,,,,,,,,,
,Employed scientists and engineers,,Male,,Female,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
All degree levelsd,"23,557,000","336,000","12,693,000","150,000","10,865,000","205,000","1,779,000","50,000","69,000","9,000","2,712,000","42,000","1,478,000","41,000","17,082,000","267,500","437,000","21,000"
     Bachelor's,"13,432,000","237,000","7,275,000","117,000","6,156,000","142,500","1,123,000","41,000","46,000","8,000","1,355,000","35,500","857,000","31,500","9,784,000","187,500","267,000","16,000"
     Master's,"6,882,000","109,500","3,381,000","54,000","3,501,000","73,500","445,000","19,000","16,000","3,500","845,000","18,500","488,000","22,000","4,977,000","91,000","111,000","7,000"
     Doctorate,"1,154,000","16,000","741,000","11,500","413,000","10,000","51,000","4,000","4,000","1,000","239,000","6,000","47,000","3,000","795,000","12,500","18,000","4,000"
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,,,,,
d Total includes professional degrees not broken out separately.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
