"Table 8-4. Employed U.S. scientists and engineers with a doctorate as the highest degree, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,  ,,Sex,,,,,,Not Hispanic or Latinob,,,,,,,,,
,Employed scientists and engineers,,Male,,Female,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Doctorate,"1,154,000","16,000","741,000","11,500","413,000","10,000","51,000","4,000","4,000","1,000","239,000","6,000","47,000","3,000","795,000","12,500","18,000","4,000"
     S&E field,"873,000","8,000","597,000","6,000","276,000","4,500","33,000","1,500","2,000",500,"207,000","4,500","26,000","1,000","596,000","6,500","10,000","1,000"
          Science,"706,000","7,000","453,000","5,500","253,000","4,500","28,000","1,500","1,000",500,"137,000","4,000","21,000","1,000","510,000","6,000","9,000","1,000"
               Biological/ agricultural/ environmental life sciences,"254,000","5,000","153,000","3,500","101,000","3,500","10,000","1,000",*,*,"61,000","3,000","6,000",500,"173,000","4,000","3,000",500
                    Agricultural/ food sciences,"20,000","1,000","14,000","1,000","6,000",500,"1,000",500,D,D,"5,000","1,000","1,000",500,"13,000","1,000",*,*
                    Biological sciences,"226,000","5,000","133,000","3,500","93,000","3,500","9,000","1,000",*,*,"55,000","3,000","5,000",500,"154,000","4,000","3,000",500
                    Environmental life sciences,"8,000",500,"6,000",500,"2,000",500,*,*,D,D,"1,000",500,*,*,"6,000",500,D,D
               Computer/ mathematical sciences,"70,000","2,500","55,000","2,000","15,000","1,500","2,000",500,D,D,"22,000","1,500","2,000",500,"43,000","2,000","1,000",500
                    Computer/ information sciences,"30,000","2,000","25,000","1,500","6,000","1,000","1,000",500,D,D,"12,000","1,500","1,000",500,"17,000","1,500",*,*
                    Mathematics/ statistics,"39,000","1,500","30,000","1,500","9,000","1,000","1,000",500,D,D,"10,000","1,000","1,000",500,"26,000","1,500",*,*
               Physical/ related sciences,"167,000","4,000","135,000","4,000","32,000","1,500","5,000","1,000",*,*,"38,000","2,500","3,000",500,"119,000","3,500","2,000",500
"                    Chemistry, except biochemistry","80,000","2,500","61,000","2,500","19,000","1,500","2,000",500,*,*,"22,000","2,000","2,000",500,"53,000","2,000","1,000",500
                    Earth/ atmospheric/ ocean sciences,"20,000","1,000","16,000","1,000","5,000",500,"1,000",500,D,D,"3,000",500,*,*,"16,000","1,000",*,*
                    Physics/ astronomy,"64,000","3,000","57,000","3,000","7,000","1,000","2,000",500,D,D,"13,000","1,000","1,000",500,"48,000","3,000","1,000",500
                    Other physical sciences,"2,000",500,"1,000",500,"1,000",500,*,*,D,D,*,*,D,D,"2,000",500,D,D
               Social/ related sciences,"216,000","3,000","111,000","2,000","106,000","2,500","10,000",500,"1,000",500,"16,000","1,000","11,000",500,"174,000","2,500","4,000",500
                    Economics,"28,000","1,000","21,000","1,000","7,000",500,"1,000",500,D,D,"5,000",500,"1,000",500,"21,000","1,000",*,*
                    Political/ related sciences,"22,000","1,000","15,000","1,000","7,000",500,"1,000",500,*,*,"2,000",500,"2,000",500,"17,000","1,000","1,000",500
                    Psychology,"115,000","2,000","50,000","1,500","65,000","1,500","6,000",500,*,*,"5,000",500,"6,000",500,"96,000","2,000","2,000",500
                    Sociology/ anthropology,"30,000","1,500","13,000",500,"17,000","1,500","1,000",500,*,*,"2,000",500,"2,000",500,"25,000","1,500","1,000",500
                    Other social sciences,"21,000","1,500","12,000","1,500","9,000","1,000","1,000",500,*,*,"3,000","1,000","1,000",500,"16,000","1,000",*,*
          Engineering,"166,000","3,000","143,000","3,000","23,000","1,500","5,000","1,000",*,*,"69,000","2,500","4,000","1,000","86,000","2,500","1,000",500
               Aerospace/ related engineering,"6,000","1,000","6,000","1,000",*,*,*,*,D,D,"2,000",500,*,*,"4,000",500,D,D
               Chemical engineering,"20,000","1,500","16,000","1,500","4,000","1,000","1,000",500,D,D,"8,000","1,000",*,*,"11,000","1,500",*,*
               Civil/ architectural engineering,"13,000","1,000","11,000","1,000","1,000",500,"1,000",500,D,D,"5,000",500,*,*,"7,000","1,000",D,D
               Electrical/ computer engineering,"53,000","2,500","47,000","2,000","6,000","1,000","1,000",500,D,D,"26,000","1,500","1,000",500,"23,000","1,500",*,*
               Industrial engineering,"5,000","1,000","4,000","1,000","1,000",500,S,S,D,D,"2,000",500,*,*,"2,000",500,D,D
               Mechanical engineering,"24,000","1,500","22,000","1,500","2,000",500,"1,000",500,D,D,"10,000","1,500","1,000","1,000","12,000","1,000",*,*
               Other engineering,"46,000","1,500","37,000","1,500","9,000","1,000","1,000",500,D,D,"17,000","1,000","1,000",500,"27,000","1,500",*,*
     S&E-related field,"89,000","7,000","38,000","5,000","51,000","5,000","5,000","2,000",S,S,"17,000","3,500","4,000","1,000","61,000","5,500","1,000",500
          Health,"70,000","6,000","29,000","4,500","41,000","4,500","5,000","2,000",S,S,"14,000","3,500","3,000",500,"46,000","4,500","1,000",500
          Science/ mathematics teacher education,"12,000","2,500","3,000","1,500","9,000","2,000",D,D,D,D,S,S,S,S,"10,000","2,500",D,D
          Technology/ technical fields,"4,000","1,500","4,000","1,500",D,D,D,D,D,D,"1,000",500,D,D,"3,000","1,000",D,D
          Other S&E-related fields,"2,000","1,000","2,000","1,000",D,D,D,D,D,D,D,D,D,D,"1,000","1,000",D,D
     Non-S&E field,"192,000","11,000","106,000","8,500","86,000","7,500","13,000","3,500","1,000",500,"15,000","2,500","17,000","3,000","139,000","9,000",S,S
          Art/ humanities fields,"27,000","4,500","17,000","4,000","10,000","3,000","3,000","2,000",D,D,D,D,D,D,"23,000","4,000",D,D
"          Education, except science/ math teacher education","73,000","7,500","31,000","4,500","42,000","6,000","3,000","1,000",D,D,"3,000","1,000","11,000","2,500","49,000","5,500",S,S
          Management/ administration,"21,000","4,000","16,000","3,500","6,000","2,000",S,S,D,D,"5,000","1,000",*,*,"13,000","3,000",D,D
          Sales/ marketing,"7,000","2,500","6,000","2,500",S,S,D,D,D,D,"3,000","1,000",D,D,S,S,D,D
          Social service/ related,"37,000","4,500","22,000","3,500","15,000","3,000","2,000","1,500",D,D,"3,000","1,000","2,000","1,000","29,000","4,000",D,D
          Other non-S&E field,"28,000","3,500","15,000","3,000","13,000","2,000","1,000","1,000",D,D,"1,000","1,000","3,000","1,500","22,000","3,000",D,D
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. The doctorate estimates are from the Scientists and Engineers Statistical Data System (SESTAT), which represents the total U.S. college educated population. This is in contrast to the doctorate estimates from the Survey of Doctorate Recipients, which represent the population of U.S. doctorate degree recipients.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
