"Table 9-3. Employed U.S. scientists and engineers with a master's as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Master's,"6,882,000","109,500","4,171,000","68,500","537,000","21,000","1,448,000","55,000","726,000","22,500"
     U.S. citizen,"6,336,000","103,000","3,737,000","63,500","459,000","19,000","1,427,000","54,500","714,000","23,000"
          Native-born,"5,481,000","96,000","3,122,000","59,000","416,000","18,000","1,330,000","52,000","613,000","20,500"
          Naturalized,"855,000","21,500","616,000","16,000","42,000","3,500","96,000","11,500","101,000","9,000"
     Non-U.S. citizen,"546,000","17,000","434,000","15,000","79,000","5,500","21,000","4,500","12,000","3,000"
          Permanent resident,"285,000","13,500","244,000","12,000","15,000","2,500","17,000","4,500","10,000","3,000"
          Temporary resident,"261,000","10,500","190,000","9,500","64,000","5,000","4,000","1,500","3,000","1,000"
     S&E occupations,"1,689,000","43,500","1,129,000","31,500","233,000","11,500","113,000","10,000","215,000","11,500"
          U.S. citizen,"1,408,000","40,000","915,000","28,500","172,000","10,500","111,000","10,000","210,000","11,000"
               Native-born,"1,125,000","34,000","698,000","25,000","153,000","10,000","97,000","8,000","177,000","9,500"
               Naturalized,"283,000","12,000","217,000","9,000","19,000","2,500","14,000","5,000","33,000","3,500"
          Non-U.S. citizen,"281,000","10,500","214,000","9,000","60,000","4,500","2,000","1,000","5,000","1,500"
               Permanent resident,"107,000","6,500","96,000","6,000","7,000","1,500","1,000",500,"3,000","1,500"
               Temporary resident,"174,000","8,000","118,000","6,500","53,000","4,500",*,*,"2,000","1,000"
          Science occupations,"1,233,000","36,500","776,000","26,000","202,000","11,500","111,000","10,000","145,000","9,500"
               U.S. citizen,"1,017,000","33,000","607,000","23,000","159,000","10,000","109,000","10,000","142,000","9,500"
                    Native-born,"805,000","27,500","448,000","20,000","141,000","10,000","95,000","8,000","120,000","8,500"
                    Naturalized,"212,000","11,000","159,000","8,500","17,000","2,500","14,000","5,000","21,000","3,000"
               Non-U.S. citizen,"216,000","9,500","168,000","8,000","43,000","4,500","2,000","1,000","3,000","1,500"
                    Permanent resident,"81,000","5,500","72,000","5,500","6,000","1,500","1,000",500,"2,000","1,000"
                    Temporary resident,"135,000","7,500","97,000","6,500","37,000","4,500",*,*,"1,000","1,000"
               Biological/ agricultural/ other life scientists,"158,000","15,500","65,000","8,500","43,000","4,000","12,000","2,500","38,000","6,500"
                    U.S. citizen,"135,000","14,000","56,000","7,500","29,000","3,000","12,000","2,500","37,000","6,500"
                         Native-born,"117,000","13,000","48,000","7,500","25,000","2,500","11,000","2,500","33,000","6,000"
                         Naturalized,"18,000","3,000","8,000","2,000","4,000","2,000","2,000","1,000","4,000","1,500"
                    Non-U.S. citizen,"23,000","4,000","9,000","2,500","13,000","3,000",D,D,"1,000",500
                         Permanent resident,"8,000","2,500","7,000","2,500","1,000",500,D,D,D,D
                         Temporary resident,"15,000","3,000","2,000","1,000","12,000","3,000",D,D,"1,000",500
                    Agricultural/ food scientists,"19,000","5,500","12,000","4,000","5,000","1,500",D,D,S,S
                         U.S. citizen,"15,000","4,500","8,000","3,000","4,000","1,500",D,D,S,S
                              Native-born,"13,000","4,000","8,000","3,000","3,000","1,000",D,D,S,S
                              Naturalized,"2,000","1,000","1,000",500,D,D,D,D,S,S
                         Non-U.S. citizen,"4,000","2,000",S,S,"1,000",500,D,D,D,D
                              Permanent resident,S,S,S,S,D,D,D,D,D,D
                              Temporary resident,"1,000",500,D,D,"1,000",500,D,D,D,D
                    Biological and medical scientists,"103,000","8,500","47,000","5,000","28,000","3,500",S,S,"27,000","4,000"
                         U.S. citizen,"85,000","8,000","42,000","5,000","17,000","2,500",S,S,"26,000","4,000"
                              Native-born,"71,000","7,000","35,000","4,500","13,000","2,000",D,D,"23,000","3,500"
                              Naturalized,"14,000","3,000","7,000","1,500","4,000","2,000",D,D,"3,000","1,500"
                         Non-U.S. citizen,"18,000","3,500","5,000","1,500","11,000","3,000",D,D,"1,000",500
                              Permanent resident,"5,000","1,500","4,000","1,000","1,000",500,D,D,D,D
                              Temporary resident,"13,000","3,000","1,000","1,000","11,000","3,000",D,D,"1,000",500
                    Environmental life scientists,"15,000","6,000","6,000","3,000",S,S,D,D,"8,000","3,500"
                         U.S. citizen,"14,000","6,000","6,000","3,000",D,D,D,D,"8,000","3,500"
                              Native-born,"14,000","6,000","6,000","3,000",D,D,D,D,"8,000","3,500"
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"20,000","3,000",D,D,"9,000","2,000","11,000","2,500",D,D
                         U.S. citizen,"20,000","3,000",D,D,"8,000","2,000","11,000","2,500",D,D
                              Native-born,"18,000","3,000",D,D,"8,000","2,000","10,000","2,500",D,D
                              Naturalized,"1,000","1,000",D,D,D,D,"1,000",500,D,D
                         Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
               Computer/ mathematical scientists,"744,000","24,500","589,000","21,000","64,000","5,500","37,000","4,500","53,000","5,500"
                    U.S. citizen,"578,000","22,000","435,000","18,000","54,000","5,000","36,000","4,500","52,000","5,500"
                         Native-born,"406,000","17,000","292,000","14,500","46,000","4,500","31,000","4,500","38,000","4,500"
                         Naturalized,"171,000","9,000","143,000","8,000","9,000","2,000","5,000","1,500","14,000","2,500"
                    Non-U.S. citizen,"167,000","8,000","154,000","8,000","10,000","2,000","1,000","1,000",S,S
                         Permanent resident,"66,000","5,000","62,000","5,000","2,000","1,000","1,000",500,D,D
                         Temporary resident,"101,000","6,500","92,000","6,500","8,000","1,500",D,D,D,D
                    Computer and information scientists,"647,000","23,000","560,000","20,500","31,000","3,500","12,000","2,500","44,000","5,000"
                         U.S. citizen,"492,000","20,500","411,000","17,500","27,000","3,500","11,000","2,500","43,000","5,000"
                              Native-born,"334,000","16,000","273,000","14,000","22,000","3,500","9,000","2,500","29,000","4,000"
                              Naturalized,"158,000","9,000","138,000","8,000","5,000","1,500","2,000","1,000","14,000","3,000"
                         Non-U.S. citizen,"155,000","8,000","150,000","8,000","4,000","1,000",D,D,S,S
                              Permanent resident,"62,000","5,000","61,000","5,000","1,000",500,D,D,D,D
                              Temporary resident,"93,000","6,500","89,000","6,500","3,000","1,000",D,D,D,D
                    Mathematical scientists,"48,000","6,500","29,000","4,500","9,000","2,000",S,S,"9,000","2,500"
                         U.S. citizen,"41,000","6,500","24,000","4,500","6,000","2,000",S,S,"9,000","2,500"
                              Native-born,"33,000","5,000","19,000","3,000","5,000","1,500",S,S,"9,000","2,000"
                              Naturalized,"8,000","2,500","6,000","2,000","1,000","1,000",D,D,"1,000",500
                         Non-U.S. citizen,"7,000","1,500","5,000","1,500","2,000","1,000",D,D,D,D
                              Permanent resident,"2,000",500,"1,000",500,*,*,D,D,D,D
                              Temporary resident,"5,000","1,500","4,000","1,000","2,000","1,000",D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"49,000","5,500",D,D,"24,000","3,500","25,000","3,500",D,D
                         U.S. citizen,"45,000","5,000",D,D,"21,000","3,000","24,000","3,500",D,D
                              Native-born,"39,000","5,000",D,D,"18,000","3,000","21,000","3,500",D,D
                              Naturalized,"5,000","1,500",D,D,"2,000","1,000","3,000","1,500",D,D
