"Table 9-4. Employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
Doctorate,"1,154,000","16,000","501,000","10,500","493,000","9,500","68,000","7,000","93,000","3,500"
     U.S. citizen,"933,000","13,500","398,000","9,000","389,000","8,000","65,000","7,000","81,000","3,000"
          Native-born,"739,000","12,000","291,000","7,000","325,000","7,000","60,000","7,000","63,000","2,500"
          Naturalized,"194,000","6,000","106,000","5,500","65,000","3,000","6,000","1,000","18,000","2,000"
     Non-U.S. citizen,"221,000","8,000","103,000","5,500","103,000","4,500","3,000",500,"12,000","2,000"
          Permanent resident,"146,000","6,500","74,000","5,000","63,000","3,500","2,000",500,"7,000","1,500"
          Temporary resident,"75,000","4,000","29,000","2,000","40,000","3,000",*,*,"5,000","1,500"
     S&E occupations,"708,000","8,500","282,000","5,000","340,000","6,000","20,000","1,500","66,000","2,500"
          U.S. citizen,"542,000","6,500","211,000","4,000","257,000","5,000","18,000","1,500","56,000","2,000"
               Native-born,"419,000","5,500","151,000","3,000","209,000","4,500","15,000","1,500","44,000","2,000"
               Naturalized,"122,000","3,500","60,000","2,500","47,000","2,000","3,000",500,"12,000","1,500"
          Non-U.S. citizen,"167,000","5,500","71,000","3,500","83,000","4,000","2,000",500,"10,000","1,500"
               Permanent resident,"103,000","4,000","47,000","2,500","49,000","2,500","2,000",500,"5,000","1,000"
               Temporary resident,"64,000","4,000","25,000","2,000","34,000","3,000",*,*,"5,000","1,500"
          Science occupations,"590,000","8,000","209,000","4,500","304,000","6,000","20,000","1,500","57,000","2,500"
               U.S. citizen,"461,000","6,500","162,000","3,500","233,000","5,000","18,000","1,500","48,000","2,000"
                    Native-born,"368,000","5,500","121,000","3,000","194,000","4,500","15,000","1,500","38,000","2,000"
                    Naturalized,"93,000","3,500","41,000","2,500","39,000","2,000","3,000",500,"10,000","1,000"
               Non-U.S. citizen,"130,000","5,000","47,000","3,000","71,000","4,000","2,000",500,"9,000","1,500"
                    Permanent resident,"81,000","3,500","31,000","2,500","44,000","2,500","2,000",500,"5,000","1,000"
                    Temporary resident,"48,000","3,500","16,000","1,500","28,000","3,000",*,*,"4,000","1,500"
