"Table 11-0. Employed U.S. scientists and engineers, by all degree levels, level of highest degree, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level of highest degree             ,Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
All degree levelsa,"23,557,000","336,000","4,108,000","108,500","3,991,000","73,500","3,333,000","64,500","2,902,000","68,000","2,523,000","55,000","2,268,000","60,500","1,902,000","49,000","2,530,000","48,500"
     Bachelor's,"13,432,000","237,000","1,996,000","76,000","2,114,000","51,000","1,790,000","50,000","1,675,000","54,000","1,503,000","45,000","1,420,000","50,000","1,232,000","43,500","1,702,000","42,500"
     Master's,"6,882,000","109,500","1,578,000","45,000","1,386,000","37,500","1,044,000","30,000","840,000","25,500","666,000","20,000","526,000","19,500","399,000","18,000","443,000","18,500"
     Doctorate,"1,154,000","16,000","217,000","7,500","186,000","5,000","170,000","6,500","167,000","6,000","129,000","4,500","100,000","5,500","84,000","3,500","102,000","4,000"
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Total includes professional degrees not broken out separately.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
