"Table 12-4. Median annual salary of employed U.S. scientists and engineers with a doctorate as the highest degree, by broad field of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and employment sector             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Doctorate,"90,000",500,"101,000","4,500","103,000","2,500","93,000","2,000","74,000","2,000","82,000","4,500"
     Business/ industry,"108,000","2,500","114,000","4,500","118,000","3,500","112,000","2,500","65,000","6,000","90,000","2,000"
     4-year college/ university,"75,000","1,000","60,000","2,500","86,000","3,000","76,000","2,000","76,000","2,000","73,000","3,500"
     Other educational institution,"68,000","6,500","81,000","9,000","78,000","2,500","74,000","11,000","59,000","3,000","72,000","5,000"
     Government,"104,000","3,500","99,000","4,500","114,000","4,000","106,000","2,500","105,000","10,000","91,000","3,500"
     S&E field,"94,000","1,500","105,000","3,000","110,000",500,"98,000","1,500","75,000","1,500","88,000","2,500"
          Business/ industry,"112,000","2,500","115,000",500,"124,000","2,000","117,000","2,500","86,000","9,000","95,000","3,000"
          4-year college/ university,"77,000","2,000","60,000","4,000","90,000",500,"78,000","2,500","78,000","2,000","74,000","3,000"
          Other educational institution,"60,000","1,000","46,000","17,500","70,000","3,000","62,000","1,500","55,000","4,000","70,000","2,500"
          Government,"104,000","3,500","100,000","5,500","115,000","2,500","106,000","2,500","98,000","2,500","92,000","2,500"
          Science,"90,000","2,000","101,000","4,500","105,000","1,500","91,000","2,000","74,000","1,500","85,000","1,000"
               Business/ industry,"110,000","1,500","114,000","2,500","120,000",500,"112,000","3,000","80,000","7,000","90,000",500
               4-year college/ university,"75,000",500,"59,000","1,000","88,000","2,000","76,000","2,000","75,000","1,500","72,000","2,000"
               Other educational institution,"60,000","1,000","48,000","19,500","71,000","3,500","62,000","2,000","55,000","3,500","71,000","3,500"
               Government,"101,000","3,000","99,000","5,000","112,000","4,000","104,000","4,500","98,000","3,000","92,000","3,500"
               Biological/ agricultural/ environmental life sciences,"85,000","2,000","69,000","3,500","104,000","3,500","84,000","2,500","74,000","1,500","95,000","5,500"
                    Business/ industry,"104,000","4,000","92,000","9,500","120,000","1,500","101,000","4,000","98,000","12,500","102,000","6,000"
                    4-year college/ university,"70,000","1,000","50,000","5,500","86,000","2,000","70,000","1,500","76,000","4,000","82,000","7,000"
                    Other educational institution,"53,000","2,500",D,D,"59,000","3,000","60,000","10,500","52,000","2,500","58,000","4,000"
                    Government,"100,000","3,500","87,000","20,000","115,000","5,500","95,000","5,500","106,000","9,000","95,000","15,000"
                    Agricultural/ food sciences,"86,000","2,000",*,*,"94,000","4,000","87,000","3,500","74,000","1,500","75,000","2,500"
                         Business/ industry,"99,000","4,000",*,*,"103,000","6,500","104,000","9,000",*,*,"70,000","14,000"
                         4-year college/ university,"75,000","4,000",*,*,"86,000","3,500","75,000","4,500","75,000","2,500","73,000","11,500"
                         Other educational institution,"49,000","2,000",D,D,*,*,*,*,"49,000","1,500",D,D
                         Government,"100,000","8,000",D,D,"106,000","7,000","105,000","6,500",D,D,"79,000","1,000"
                    Biological sciences,"85,000","2,500","68,000","11,500","105,000","3,500","83,000","3,500","74,000","2,000","99,000","2,000"
                         Business/ industry,"106,000","5,000","92,000","13,500","120,000","4,000","101,000","4,500","99,000","13,500","109,000","7,000"
                         4-year college/ university,"70,000","3,000","49,000","5,000","86,000","3,000","69,000","4,000","77,000","4,000","85,000","8,000"
                         Other educational institution,"54,000","4,500",D,D,"59,000","3,000","62,000","9,000","53,000","3,000","59,000","6,500"
                         Government,"101,000","5,500","88,000","17,500","117,000","5,500","96,000","6,000","106,000","8,500","99,000","17,000"
                    Environmental life sciences,"81,000","3,000","70,000","1,000","90,000","7,000","81,000","3,000","72,000","5,500","84,000","6,000"
                         Business/ industry,"93,000","11,500",*,*,"119,000","13,000","84,000","12,000",*,*,"82,000","20,000"
                         4-year college/ university,"74,000","3,500",*,*,"73,000","6,000","75,000","3,500","74,000","6,000",*,*
                         Other educational institution,*,*,D,D,D,D,D,D,*,*,D,D
                         Government,"88,000","4,000",D,D,"90,000","7,000","87,000","4,000",D,D,*,*
               Computer/ mathematical sciences,"100,000",500,"115,000",500,"120,000","3,500","101,000","5,000","80,000","1,500","87,000","5,500"
                    Business/ industry,"125,000","3,000","120,000","3,000","138,000","15,500","129,000","1,500",*,*,"110,000","10,000"
                    4-year college/ university,"84,000","1,000","83,000","13,500","100,000","2,000","85,000","2,500","80,000","2,500","63,000","10,000"
                    Other educational institution,"69,000","2,500",D,D,*,*,*,*,"67,000","5,500",*,*
