"Table 13-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,  ,,Sex,,,,,,Not Hispanic or Latinob,,,,,,,,,
,Employed scientists and engineers,,Male,,Female,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Master's,"70,000","1,500","84,000","1,500","58,000","1,000","62,000","4,000","62,000","13,000","85,000","1,500","60,000","2,000","68,000","2,000","70,000","6,000"
     S&E field,"75,000","1,000","89,000","2,000","55,000","1,000","60,000","1,000",S,S,"90,000","2,000","55,000","3,000","73,000","2,000","69,000","12,000"
          Science,"65,000","1,000","80,000",500,"51,000","3,000","55,000","4,000",S,S,"84,000","2,500","51,000","2,500","63,000","1,500","51,000","5,500"
               Biological/ agricultural/ environmental life sciences,"52,000","3,500","65,000","1,500","50,000","3,000","43,000","9,500",*,*,"49,000","3,000","50,000","3,000","56,000","4,500","46,000","6,500"
                    Agricultural/ food sciences,"58,000","10,500","74,000","6,000","38,000","5,000",S,S,D,D,"37,000",500,S,S,"68,000","8,500",S,S
                    Biological sciences,"51,000","3,000","56,000","9,000","50,000","4,000","44,000","8,000",*,*,"50,000","4,500","48,000","6,000","52,000","2,000","45,000","6,000"
                    Environmental life sciences,"68,000","7,000","78,000","5,000","55,000","8,000","57,000","2,000",D,D,"44,000","10,500","39,000","10,500","75,000","10,000",D,D
               Computer/ mathematical sciences,"90,000","1,500","100,000","2,000","75,000","3,500","74,000","6,500",*,*,"98,000","4,500","78,000","6,000","90,000","3,500","85,000","24,000"
                    Computer/ information sciences,"96,000","2,000","100,000","4,000","82,000","3,000","74,000","4,000",D,D,"100,000","1,500","82,000","3,000","100,000","4,500",S,S
                    Mathematics/ statistics,"74,000","7,000","80,000","2,500","59,000","5,500","60,000","16,000",D,D,"75,000","10,000","39,000","14,500","78,000","8,500","101,000","19,000"
               Physical/ related sciences,"65,000","3,500","75,000","4,000","58,000","5,000","69,000","19,000",*,*,"63,000","10,000","43,000","15,000","66,000","5,000","33,000","8,000"
"                    Chemistry, except biochemistry","63,000","3,000","67,000","8,000","60,000","2,500","56,000","16,000",D,D,"67,000","12,000","40,000","17,500","64,000","3,000",D,D
                    Earth/ atmospheric/ ocean sciences,"68,000","6,000","73,000","10,000","60,000","7,500",S,S,D,D,"34,000","10,500","58,000","15,000","69,000","6,000",*,*
                    Physics/ astronomy,"73,000","13,500","94,000","12,000","26,000","9,000","97,000","14,500",D,D,S,S,*,*,"71,000","17,500",S,S
                    Other physical sciences,"71,000","18,000","88,000","21,000","51,000","5,000",D,D,D,D,D,D,D,D,"58,000","8,000",D,D
               Social/ related sciences,"53,000","2,000","65,000","3,000","45,000","2,000","53,000","4,500",S,S,"54,000","7,000","40,000","6,000","54,000","2,000","51,000","8,500"
                    Economics,"74,000","9,000","80,000","4,500","64,000","2,500","64,000",500,D,D,"53,000","14,500","28,000","13,500","82,000","4,000",S,S
                    Political/ related sciences,"65,000","5,500","69,000","2,000","57,000","5,000","68,000","21,500",D,D,"68,000","13,500","55,000","1,000","68,000","8,500","78,000","5,500"
                    Psychology,"48,000","3,000","55,000","2,500","44,000","2,500","52,000","4,000",*,*,"54,000","6,500","40,000","6,000","48,000","3,500","53,000","4,000"
                    Sociology/ anthropology,"54,000","7,000","64,000","6,000","43,000","5,000","57,000","17,500",D,D,S,S,"37,000","7,000","56,000","8,000",S,S
                    Other social sciences,"49,000","4,000","63,000","15,000","37,000","7,500","50,000","9,500",D,D,"40,000","6,000","50,000","21,000","50,000","5,500",S,S
          Engineering,"99,000","2,000","100,000",500,"87,000","3,000","78,000","7,000",*,*,"95,000","1,500","86,000","3,000","102,000","4,000","94,000","7,000"
               Aerospace/ related engineering,"107,000","13,500","112,000","14,000","90,000","7,000","90,000","1,000",D,D,"31,000","14,000","120,000","14,000","125,000","10,000",S,S
               Chemical engineering,"89,000","7,500","99,000","7,000",S,S,S,S,D,D,"85,000","8,000",S,S,"99,000","10,000",*,*
               Civil/ architectural engineering,"85,000","4,500","87,000","3,000","72,000","7,500","75,000","10,500",D,D,"79,000","10,000","79,000","15,000","87,000","2,500","77,000","6,000"
               Electrical/ computer engineering,"104,000","2,000","107,000","4,000","98,000","2,000","95,000","7,000",D,D,"102,000","4,500","88,000","6,000","108,000","5,000","94,000","9,500"
               Industrial engineering,"100,000","6,000","108,000","7,500","85,000","14,500","70,000","4,000",D,D,"96,000","4,500","85,000","36,000","109,000","8,000",S,S
               Mechanical engineering,"91,000","5,000","95,000","4,500","75,000","7,500","83,000","8,500",D,D,"83,000","5,500",S,S,"100,000","3,000","76,000","1,000"
               Other engineering,"96,000","3,000","100,000","3,000","85,000","6,500","76,000","16,500",D,D,"86,000","6,000","80,000","12,000","100,000","3,500","112,000","10,500"
     S&E-related field,"65,000",500,"75,000",500,"62,000","1,000","64,000","2,500",S,S,"68,000","3,000","69,000","2,000","65,000",500,"79,000","6,500"
          Health,"70,000",500,"83,000","5,000","65,000","2,000","65,000","4,500","75,000","8,000","67,000","4,500","69,000","2,000","70,000",500,"89,000","4,500"
          Science/ mathematics teacher education,"51,000","2,000","56,000","6,500","50,000","2,500","57,000","10,000",D,D,"63,000","10,000","64,000","10,000","51,000","2,000","62,000","3,500"
          Technology/ technical fields,"87,000","7,500","90,000","4,000","64,000","8,500","88,000","8,500",D,D,"72,000","10,000","81,000","3,000","99,000","4,500",D,D
          Other S&E-related fields,"64,000","4,500","68,000","5,500","53,000","5,500","60,000","9,500",D,D,"70,000","10,500","69,000","27,000","63,000","4,500",S,S
     Non-S&E field,"65,000",500,"80,000","1,500","55,000","1,500","64,000","6,000","83,000","11,000","84,000","2,000","60,000","2,500","65,000","1,500","64,000","10,000"
          Art/ humanities fields,"51,000","2,000","59,000","3,000","45,000","7,000","77,000","7,000",D,D,S,S,"55,000","3,000","50,000","3,500","58,000","14,000"
"          Education, except science/ math teacher education","51,000","2,000","54,000","3,500","50,000","1,000","58,000","1,500","38,000","18,000","46,000","5,000","51,000","1,500","50,000","1,500","58,000","6,000"
          Management/ administration,"100,000","2,000","103,000","3,000","84,000","7,000","75,000","15,500","94,000","28,000","100,000","2,500","72,000","5,500","101,000","2,500","103,000","8,500"
          Sales/ marketing,"90,000","4,000","109,000","9,500","79,000","20,000","98,000","17,500",D,D,"79,000","10,500",S,S,"96,000","12,000",D,D
          Social service/ related,"51,000","2,000","54,000","3,500","50,000",500,"52,000","8,500",D,D,"48,000","3,500","56,000","6,000","51,000","2,000","48,000","14,000"
          Other non-S&E field,"56,000","3,000","68,000","5,000","52,000","1,500","53,000","2,500",D,D,"60,000","11,000","56,000","6,000","56,000","4,000","39,000","11,000"
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
