"Table 13-4. Median annual salaries of employed U.S. scientists and engineers with a doctorate as the highest degree, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,  ,,Sex,,,,,,Not Hispanic or Latinob,,,,,,,,,
,Employed scientists and engineers,,Male,,Female,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Doctorate,"90,000",500,"100,000",500,"75,000","2,000","72,000","5,000","106,000","17,500","93,000","2,500","80,000","1,500","90,000",500,"63,000","11,000"
     S&E field,"94,000","1,500","102,000","1,500","75,000","2,500","80,000","2,000","77,000","7,000","97,000","3,000","79,000","1,500","95,000",500,"80,000","5,000"
          Science,"90,000","2,000","100,000","1,000","73,000","2,000","75,000","3,500","77,000","8,000","87,000","3,500","78,000","3,500","90,000",500,"76,000","5,500"
               Biological/ agricultural/ environmental life sciences,"85,000","2,000","94,000","2,500","70,000","1,500","66,000","7,500",*,*,"75,000","4,500","71,000","6,000","90,000","1,000","79,000","2,500"
                    Agricultural/ food sciences,"86,000","2,000","89,000","3,000","74,000","2,000","82,000","9,000",D,D,"75,000","8,500","70,000","6,000","93,000","2,500",*,*
                    Biological sciences,"85,000","2,500","95,000","2,500","70,000","3,000","62,000","7,500",*,*,"75,000","5,500","72,000","7,500","90,000","1,000","79,000","2,500"
                    Environmental life sciences,"81,000","3,000","85,000","2,500","70,000","2,000",*,*,D,D,"70,000","3,500",*,*,"85,000","3,000",D,D
               Computer/ mathematical sciences,"100,000",500,"105,000","3,000","90,000","3,500","89,000","6,500",D,D,"109,000","3,500","90,000","12,500","95,000","4,000","92,000","21,000"
                    Computer/ information sciences,"115,000","3,500","115,000","3,500","92,000","3,000","115,000","5,000",D,D,"115,000","4,500","99,000","6,000","104,000","5,000",*,*
                    Mathematics/ statistics,"90,000","2,500","95,000","3,000","84,000","1,000","87,000","1,000",D,D,"95,000","5,000","78,000","10,500","90,000","2,000",*,*
               Physical/ related sciences,"100,000",500,"104,000","2,500","80,000","5,000","90,000","9,500",*,*,"97,000","4,500","85,000","10,000","103,000","3,000","90,000","5,500"
"                    Chemistry, except biochemistry","100,000","2,000","103,000","4,000","82,000","4,000","87,000","8,000",*,*,"95,000","5,500","79,000","16,500","100,000","1,000","104,000","16,000"
                    Earth/ atmospheric/ ocean sciences,"92,000","4,000","98,000","4,500","80,000","4,000","81,000","5,500",D,D,"79,000","3,500",*,*,"97,000","5,000",*,*
                    Physics/ astronomy,"106,000","5,000","108,000","2,000","78,000","9,000","106,000","24,500",D,D,"101,000","6,000","95,000","11,500","108,000","3,500","78,000","15,000"
                    Other physical sciences,"81,000","8,000","91,000","5,500","75,000","5,000",*,*,D,D,*,*,D,D,"80,000","7,500",D,D
               Social/ related sciences,"80,000","2,000","91,000","2,000","72,000","1,000","72,000","3,000","68,000","9,500","84,000","3,000","78,000","3,000","82,000","1,500","71,000",500
                    Economics,"117,000","6,000","119,000","1,000","105,000","9,000","116,000","5,500",D,D,"104,000","4,500","90,000",500,"120,000","5,500",*,*
                    Political/ related sciences,"81,000","3,000","85,000","5,000","79,000","3,000","72,000","9,500",*,*,"79,000","8,000","73,000","5,500","85,000","3,000","70,000",500
                    Psychology,"78,000","3,000","90,000","1,000","70,000","1,000","69,000","3,000",*,*,"71,000","4,000","77,000","4,500","80,000",500,"70,000","5,000"
                    Sociology/ anthropology,"71,000","2,500","80,000","2,500","65,000","3,500","71,000","4,000",*,*,"71,000","5,000","72,000","2,500","71,000","2,500","78,000","11,500"
                    Other social sciences,"73,000","3,000","76,000","6,500","70,000","3,500","65,000","5,500",*,*,"61,000","14,500","74,000","5,500","75,000","5,000",*,*
          Engineering,"113,000","3,500","117,000","2,500","100,000","5,000","98,000","4,000",*,*,"109,000",500,"90,000","11,500","120,000",500,"116,000","5,500"
