"Table 14-1. Median annual salaries of employed U.S. scientists and engineers at all degree levels, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
Occupation and citizenship status             ,,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
All occupations,"65,000",500,"71,000","2,000","51,000","1,500","48,000",500,"70,000","1,500"
     U.S. citizen,"65,000",500,"70,000",500,"53,000","2,000","48,000",500,"70,000","1,000"
          Native-born,"64,000","1,000","70,000",500,"51,000","1,500","48,000","1,000","69,000","2,000"
          Naturalized,"74,000","2,500","80,000","1,000","69,000","5,500","45,000","7,500","72,000","3,000"
     Non-U.S. citizen,"70,000","1,000","78,000","3,000","39,000","2,000","35,000","7,500","52,000","9,500"
          Permanent resident,"69,000","3,500","70,000","3,000","64,000","2,500","35,000","10,500","52,000","13,500"
          Temporary resident,"71,000","2,500","83,000","3,500","25,000","1,000","35,000","4,500","52,000","7,000"
     S&E occupations,"80,000",500,"87,000","1,500","45,000","1,500","52,000","2,000","78,000","2,000"
          U.S. citizen,"80,000",500,"86,000","1,500","50,000","1,000","52,000","2,000","78,000","2,000"
               Native-born,"78,000","1,000","85,000",500,"46,000","2,500","51,000","2,500","76,000","2,500"
               Naturalized,"90,000","1,000","100,000","2,000","61,000","4,000","59,000",500,"82,000","5,000"
          Non-U.S. citizen,"80,000","2,500","90,000",500,"33,000","3,500","42,000","5,500","73,000","6,500"
               Permanent resident,"90,000",500,"98,000","4,000","60,000","3,500","42,000","6,500","90,000","3,000"
               Temporary resident,"70,000","1,500","85,000",500,"24,000","1,500","39,000","16,000","55,000","9,000"
          Science occupations,"75,000",500,"85,000",500,"46,000","2,500","51,000","2,000","73,000","2,000"
               U.S. citizen,"75,000",500,"85,000","1,500","50,000","1,500","52,000","3,000","73,000","2,000"
                    Native-born,"72,000","1,000","80,000",500,"46,000","2,500","50,000","2,000","72,000","2,000"
                    Naturalized,"90,000","1,000","100,000","1,000","60,000",500,"59,000",500,"79,000","3,000"
               Non-U.S. citizen,"78,000","3,000","90,000",500,"37,000","4,000","44,000","7,500","74,000","10,000"
                    Permanent resident,"86,000","3,000","95,000","1,500","60,000","1,500","42,000","6,500","90,000","1,000"
                    Temporary resident,"70,000","4,000","85,000","2,000","25,000","1,000","62,000","19,000","54,000","9,000"
               Biological/ agricultural/ other life scientists,"58,000","3,000","70,000","3,500","42,000","2,000","44,000","8,000","67,000","4,000"
                    U.S. citizen,"60,000",500,"69,000","4,000","43,000","2,000","44,000","8,500","68,000","4,500"
                         Native-born,"57,000","3,500","62,000","5,000","40,000","1,000","45,000","9,500","65,000","3,000"
                         Naturalized,"80,000","4,000","94,000","6,500","60,000",500,S,S,"95,000","8,000"
                    Non-U.S. citizen,"48,000","4,000","70,000","5,000","39,000","2,500",S,S,"56,000","15,000"
                         Permanent resident,"64,000","3,000","82,000","8,000","55,000","5,500",S,S,"79,000","12,000"
                         Temporary resident,"38,000","5,500","51,000","3,000","30,000","3,000",D,D,"45,000","2,000"
                    Agricultural/ food sciences,"52,000","3,000","58,000","2,000","34,000","6,000",D,D,"51,000","16,500"
                         U.S. citizen,"52,000","6,500","59,000","1,500","36,000","6,500",D,D,"51,000","14,500"
                              Native-born,"52,000","7,000","59,000","1,500","31,000","7,500",D,D,"49,000","13,500"
