"Table 14-2. Median annual salaries of employed U.S. scientists and engineers with a bachelor's as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Bachelor's,"58,000","1,500","61,000","2,000","40,000","2,500","40,000","1,500","61,000","2,000"
     U.S. citizen,"58,000","1,500","60,000","2,000","40,000","2,000","40,000","1,000","61,000","2,000"
          Native-born,"58,000","1,000","61,000","2,000","39,000","1,000","40,000",500,"61,000","2,000"
          Naturalized,"60,000","2,000","60,000",500,"54,000","6,000","25,000","9,000","65,000","2,000"
     Non-U.S. citizen,"60,000","3,500","65,000","3,500","21,000","1,000","30,000","8,000","41,000","6,000"
          Permanent resident,"50,000","3,500","55,000","4,500","30,000","13,000","30,000","8,000","41,000","5,000"
          Temporary resident,"75,000","3,500","81,000","4,000","20,000",500,S,S,S,S
     S&E occupations,"76,000","2,000","82,000","3,000","28,000","1,500","46,000","4,000","72,000","2,000"
          U.S. citizen,"76,000","1,500","81,000","1,500","30,000",500,"46,000","4,500","72,000","2,000"
               Native-born,"75,000","1,500","80,000",500,"30,000","3,000","45,000","3,500","72,000","2,000"
               Naturalized,"81,000","3,500","89,000","3,000","50,000","2,500","63,000","10,500","74,000","9,500"
          Non-U.S. citizen,"77,000","5,500","85,000","2,000","21,000","1,000",S,S,S,S
               Permanent resident,"80,000","9,000","86,000","7,000","26,000","2,500",D,D,D,D
               Temporary resident,"75,000","4,500","84,000","1,500","20,000","1,500",D,D,S,S
          Science occupations,"72,000","1,000","80,000",500,"29,000","2,000","46,000","4,000","69,000","4,000"
               U.S. citizen,"72,000","1,500","80,000",500,"30,000","2,000","46,000","4,000","69,000","4,000"
                    Native-born,"70,000","1,000","77,000","2,500","30,000","1,500","45,000","5,000","69,000","2,500"
                    Naturalized,"80,000","1,500","89,000","1,500","50,000","3,000","63,000","11,500","60,000","8,500"
               Non-U.S. citizen,"76,000","5,000","85,000","2,000","21,000","1,000",S,S,"53,000","16,500"
                    Permanent resident,"75,000","13,000","82,000","10,000","26,000","3,000",D,D,*,*
                    Temporary resident,"75,000","5,500","85,000","1,500","20,000","1,500",D,D,S,S
               Biological/ agricultural/ other life scientists,"45,000","2,500","55,000","6,000","27,000","1,000","32,000","10,000","60,000","3,000"
                    U.S. citizen,"46,000","3,000","55,000","5,500","28,000","1,500","32,000","10,000","60,000","3,000"
                         Native-born,"45,000","3,000","53,000","6,000","27,000","2,000","34,000","11,000","60,000","4,000"
                         Naturalized,"54,000","8,000","74,000","10,000","36,000","5,500",D,D,S,S
                    Non-U.S. citizen,"26,000","2,000","62,000","7,000","24,000","2,500",D,D,D,D
                         Permanent resident,"30,000","11,000","62,000","8,500","26,000",500,D,D,D,D
                         Temporary resident,"22,000","1,000",*,*,"22,000",500,D,D,D,D
                    Agricultural/ food sciences,"49,000","2,000","52,000","5,500","21,000","5,500",D,D,"48,000","5,500"
                         U.S. citizen,"50,000","2,000","52,000","5,000","23,000","5,000",D,D,"48,000","5,500"
                              Native-born,"49,000","3,000","52,000","8,000","20,000","5,500",D,D,"46,000","5,500"
                              Naturalized,"47,000","3,000","47,000","1,500",D,D,D,D,D,D
                         Non-U.S. citizen,S,S,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Biological and medical scientists,"44,000","2,500","60,000","4,500","28,000","1,500",D,D,"63,000","5,000"
                         U.S. citizen,"46,000","4,500","60,000","4,500","29,000","2,000",D,D,"63,000","5,000"
                              Native-born,"45,000","3,500","56,000","7,500","28,000","2,000",D,D,"64,000","4,500"
                              Naturalized,"59,000","1,500","82,000","7,500","35,000","10,000",D,D,D,D
                         Non-U.S. citizen,"26,000","1,500","64,000","12,000","25,000","2,000",D,D,D,D
                              Permanent resident,"27,000","3,000","65,000","21,500","26,000",500,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
                    Environmental life scientists,"50,000","4,500","45,000","3,000",S,S,D,D,"60,000","3,000"
                         U.S. citizen,"50,000","7,000","45,000","6,500",S,S,D,D,"60,000","3,000"
                              Native-born,"51,000","7,000","44,000","6,500",S,S,D,D,"60,000","3,000"
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"18,000","3,500",D,D,"18,000","3,000","35,000","11,500",D,D
                         U.S. citizen,"20,000","4,500",D,D,"18,000","4,000","35,000","11,500",D,D
                              Native-born,"19,000","4,500",D,D,"18,000","4,000","35,000","11,500",D,D
                              Naturalized,*,*,D,D,*,*,D,D,D,D
                         Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
               Computer/ mathematical scientists,"80,000",500,"83,000","2,000","50,000","1,500","49,000","5,000","73,000","3,000"
                    U.S. citizen,"79,000","2,500","82,000","2,000","51,000","1,000","49,000","5,000","73,000","3,000"
                         Native-born,"77,000","2,500","80,000","2,000","51,000","2,000","46,000","5,500","73,000","3,000"
                         Naturalized,"85,000","3,500","90,000","1,500","54,000","2,000","63,000","2,000","65,000","14,500"
                    Non-U.S. citizen,"85,000","4,000","85,000","3,500","25,000","9,000",D,D,D,D
                         Permanent resident,"86,000","8,500","86,000","7,500",S,S,D,D,D,D
                         Temporary resident,"84,000","4,500","85,000","1,500","20,000","2,500",D,D,D,D
                    Computer and information scientists,"80,000",500,"84,000","2,000","52,000","3,000","56,000","5,500","74,000","3,000"
                         U.S. citizen,"80,000",500,"83,000","2,500","54,000","3,000","55,000","5,500","74,000","3,000"
                              Native-born,"80,000","2,000","81,000","2,500","52,000","3,500","55,000","5,500","75,000","2,500"
                              Naturalized,"86,000","4,000","90,000","2,000","54,000","3,000",D,D,"65,000","15,000"
                         Non-U.S. citizen,"85,000","2,000","85,000","4,000","35,000","16,000",D,D,D,D
                              Permanent resident,"86,000","8,000","86,000","7,500",D,D,D,D,D,D
                              Temporary resident,"84,000","2,000","85,000","2,000","18,000","4,000",D,D,D,D
                    Mathematical scientists,"60,000","6,000","64,000","4,000","37,000","6,000",D,D,S,S
                         U.S. citizen,"61,000","6,000","64,000","3,500","40,000","5,500",D,D,S,S
                              Native-born,"57,000","8,000","64,000","3,000","40,000","5,500",D,D,S,S
                              Naturalized,"63,000","1,000","61,000","8,000",D,D,D,D,S,S
                         Non-U.S. citizen,"40,000","7,000",D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,S,S,D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"13,000","3,000",D,D,"15,000","4,000","12,000","2,000",D,D
                         U.S. citizen,"12,000","1,000",D,D,"13,000","1,500","12,000","2,000",D,D
                              Native-born,"12,000","1,000",D,D,"13,000","1,500","12,000","1,500",D,D
                              Naturalized,*,*,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,"21,000","5,500",D,D,"21,000","5,500",D,D,D,D
               Physical/ related scientists,"53,000","2,500","60,000","1,000","22,000","1,500",S,S,"66,000","2,500"
                    U.S. citizen,"56,000","2,500","60,000","2,000","23,000","1,500",S,S,"66,000","2,500"
                         Native-born,"55,000","2,500","59,000","3,500","22,000","1,000",S,S,"67,000","2,500"
                         Naturalized,"57,000","5,500","73,000","1,500","29,000","3,500",D,D,"57,000","3,000"
                    Non-U.S. citizen,"20,000","2,000","62,000","17,000","20,000","1,000",D,D,D,D
                         Permanent resident,"57,000","6,000","62,000","16,500",*,*,D,D,D,D
                         Temporary resident,"20,000","1,000",*,*,"20,000","1,000",D,D,D,D
"                    Chemists, except biochemists","54,000","3,500","60,000","1,000","23,000","1,000",D,D,"58,000","5,500"
                         U.S. citizen,"55,000","3,500","60,000","1,000","23,000","2,000",D,D,"59,000","5,000"
                              Native-born,"54,000","3,000","60,000","3,500","23,000","2,500",D,D,"60,000","7,500"
                              Naturalized,"68,000","10,500","74,000","1,500",S,S,D,D,"57,000","3,000"
                         Non-U.S. citizen,"23,000","1,500",D,D,"22,000",500,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,"22,000",500,D,D,"22,000",500,D,D,D,D
                    Earth/ atmospheric/ ocean scientists,"70,000","1,500","70,000","4,500","22,000","3,000",D,D,"81,000","10,000"
                         U.S. citizen,"70,000","1,500","70,000","5,500","26,000","4,500",D,D,"81,000","10,000"
                              Native-born,"70,000","1,500","70,000","7,000","26,000","4,000",D,D,"81,000","8,000"
                              Naturalized,*,*,*,*,D,D,D,D,D,D
                         Non-U.S. citizen,S,S,*,*,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,*,*,*,*,D,D,D,D,D,D
                    Physicists and astronomers,"30,000","3,000","95,000","35,500","25,000","3,000",D,D,"80,000","15,500"
                         U.S. citizen,"33,000","5,500","97,000","45,500","29,000","1,500",D,D,"84,000","15,000"
                              Native-born,"35,000","10,000","99,000","48,000","24,000","4,000",D,D,"89,000","14,000"
                              Naturalized,S,S,D,D,S,S,D,D,D,D
                         Non-U.S. citizen,"20,000","4,000",D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,"19,000","1,500",D,D,D,D,D,D,D,D
                    Postsecondary teachers - physical/ related sciences,"20,000","1,500",D,D,"20,000","1,000",S,S,D,D
                         U.S. citizen,"20,000","3,000",D,D,"21,000","2,000",S,S,D,D
                              Native-born,"20,000","3,000",D,D,"21,000","2,500",D,D,D,D
                              Naturalized,*,*,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
                    Other physical/ related scientists,"52,000","3,000","49,000","3,000",D,D,D,D,"60,000","7,000"
                         U.S. citizen,"53,000","3,000","48,000","3,000",D,D,D,D,"61,000","6,500"
                              Native-born,"52,000","3,500","47,000","3,000",D,D,D,D,"63,000","7,000"
                              Naturalized,"53,000","10,500",D,D,D,D,D,D,"51,000","6,000"
                         Non-U.S. citizen,S,S,D,D,D,D,D,D,D,D
                              Permanent resident,S,S,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
"               Social science, psychology","45,000","2,500","45,000","9,500","16,000","2,000","36,000","13,500","64,000","4,000"
                    U.S. citizen,"45,000","4,500","49,000","11,000","17,000","2,000","37,000","6,500","64,000","4,000"
                         Native-born,"46,000","4,500","48,000","11,000","16,000","2,000","37,000","8,000","64,000","3,000"
                         Naturalized,"34,000","13,000",D,D,S,S,D,D,"32,000","6,500"
                    Non-U.S. citizen,S,S,S,S,"16,000","2,000",D,D,D,D
                         Permanent resident,S,S,S,S,S,S,D,D,D,D
                         Temporary resident,"17,000","2,500",D,D,"17,000","3,000",D,D,D,D
                    Economists,S,S,"67,000","9,000","16,000",500,D,D,S,S
                         U.S. citizen,"82,000","34,500","66,000","8,500",S,S,D,D,S,S
                              Native-born,"82,000","35,500","60,000","6,000",S,S,D,D,S,S
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,"16,000",500,D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
                    Political scientists,"61,000","6,000","60,000","11,000",D,D,D,D,"72,000","22,500"
                         U.S. citizen,"61,000","7,500","60,000","11,000",S,S,D,D,"72,000","22,500"
                              Native-born,"61,000","7,000",S,S,S,S,D,D,"71,000","20,000"
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"16,000","6,000",D,D,"16,000","4,500","23,000","11,000",D,D
                         U.S. citizen,"20,000","7,000",D,D,"16,000","8,500",S,S,D,D
                              Native-born,"20,000","7,000",D,D,"16,000","7,500",S,S,D,D
                              Naturalized,S,S,D,D,S,S,D,D,D,D
                         Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                              Permanent resident,S,S,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Psychologists,"24,000","10,000","37,000","7,000","16,000","3,000",S,S,S,S
                         U.S. citizen,S,S,"38,000","7,000","16,000","3,000",S,S,S,S
                              Native-born,S,S,"38,000","7,000","16,000","3,000",S,S,S,S
                              Naturalized,S,S,D,D,*,*,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Sociologists and anthropologists,"39,000","4,000","40,000","4,000","12,000","5,500",D,D,S,S
                         U.S. citizen,"39,000","4,000","40,000","4,000","12,000","5,500",D,D,S,S
                              Native-born,"39,000","3,500","40,000","4,000","13,000","6,000",D,D,S,S
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Other social and related scientists,"55,000","4,000","56,000","11,000","22,000","3,500",D,D,"59,000","10,500"
                         U.S. citizen,"56,000","4,000","57,000","4,000","23,000","7,000",D,D,"59,000","10,500"
                              Native-born,"58,000","3,500","56,000","4,500","22,000","6,500",D,D,"63,000","6,000"
                              Naturalized,"32,000","12,000",D,D,D,D,D,D,"31,000","6,500"
                         Non-U.S. citizen,S,S,S,S,D,D,D,D,D,D
                              Permanent resident,S,S,S,S,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
          Engineering occupations,"85,000","1,000","85,000","1,500","25,000","1,000","55,000","16,500","85,000","2,000"
               U.S. citizen,"85,000",500,"85,000","1,500","25,000","1,500","57,000","21,500","85,000","2,000"
                    Native-born,"85,000","1,000","85,000","1,500","25,000","1,000","57,000","13,500","83,000","2,500"
                    Naturalized,"85,000","1,500","85,000","2,000",S,S,D,D,"90,000","1,500"
               Non-U.S. citizen,"80,000","4,500","89,000","6,500","22,000","3,500",D,D,D,D
                    Permanent resident,"97,000","9,500","98,000","7,500",*,*,D,D,D,D
                    Temporary resident,"69,000","13,500","80,000","3,000","21,000","4,000",D,D,D,D
               Aeronautical/ aerospace/ astronautical engineers,"95,000","6,000","95,000","6,000","37,000","14,000",D,D,"110,000","23,000"
                    U.S. citizen,"95,000","7,000","93,000","6,000",S,S,D,D,"110,000","23,000"
                         Native-born,"95,000","9,000","93,000","9,000",D,D,D,D,"109,000","18,500"
                         Naturalized,"94,000","6,000","93,000","2,500",D,D,D,D,S,S
                    Non-U.S. citizen,"96,000","22,000","100,000","6,500",D,D,D,D,D,D
                         Permanent resident,D,D,D,D,D,D,D,D,D,D
                         Temporary resident,D,D,D,D,D,D,D,D,D,D
               Chemical engineers,"95,000","2,000","95,000","4,000","26,000","2,500",D,D,*,*
                    U.S. citizen,"95,000","2,000","95,000","4,500","25,000","2,000",D,D,*,*
                         Native-born,"95,000","5,000","100,000","6,000","26,000","2,500",D,D,*,*
                         Naturalized,"76,000","3,000","76,000","3,500",D,D,D,D,D,D
                    Non-U.S. citizen,"69,000","17,000","75,000","24,500",D,D,D,D,D,D
                         Permanent resident,D,D,D,D,D,D,D,D,D,D
                         Temporary resident,S,S,D,D,D,D,D,D,D,D
"               Civil, including architectural/ sanitary engineers","75,000",500,"70,000","1,000",D,D,D,D,"83,000","4,000"
                    U.S. citizen,"75,000","2,000","70,000","1,500",D,D,D,D,"84,000","4,000"
                         Native-born,"75,000","2,500","70,000","1,000",S,S,D,D,"80,000","4,000"
