"Table 14-4. Median annual salaries of employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
Doctorate,"90,000",500,"108,000","2,500","75,000","1,000","68,000","6,500","104,000","3,500"
     U.S. citizen,"90,000","2,500","110,000","1,500","80,000",500,"69,000","5,500","106,000","2,000"
          Native-born,"85,000","2,500","102,000","3,000","78,000","1,000","70,000","6,000","104,000","2,500"
          Naturalized,"110,000","1,000","125,000","3,000","91,000","2,500","63,000","2,500","110,000","6,500"
     Non-U.S. citizen,"81,000","3,500","100,000","2,500","60,000",500,"48,000","4,000","85,000","8,000"
          Permanent resident,"92,000","3,000","109,000","4,500","74,000","3,500","47,000","7,000","105,000","11,500"
          Temporary resident,"60,000","4,000","93,000","5,000","46,000","2,500",*,*,"63,000","7,500"
     S&E occupations,"88,000","1,500","108,000","2,500","70,000","2,000","60,000","2,500","100,000","1,500"
          U.S. citizen,"90,000",500,"110,000",500,"75,000",500,"63,000","3,500","101,000","2,500"
               Native-born,"85,000",500,"106,000","2,000","72,000",500,"62,000","4,500","100,000","1,000"
               Naturalized,"108,000","2,000","119,000",500,"91,000","2,500","63,000","1,500","107,000","2,500"
          Non-U.S. citizen,"79,000","3,000","100,000",500,"57,000","2,000","45,000","5,500","81,000","6,000"
               Permanent resident,"90,000","1,000","110,000","1,000","70,000","2,000","45,000","9,500","96,000","16,000"
               Temporary resident,"55,000","3,500","90,000","2,000","45,000","1,000",*,*,"63,000","7,500"
          Science occupations,"82,000","1,000","104,000","1,500","69,000","2,000","60,000","2,500","98,000","2,500"
               U.S. citizen,"85,000",500,"105,000","1,000","72,000","1,000","63,000","3,000","100,000","1,500"
                    Native-born,"80,000",500,"100,000",500,"70,000",500,"62,000","5,000","98,000","2,000"
                    Naturalized,"100,000","1,500","112,000","3,500","88,000","4,500","63,000","1,500","107,000","2,500"
               Non-U.S. citizen,"71,000","2,000","100,000","1,500","57,000","2,000","45,000","5,500","82,000","7,500"
                    Permanent resident,"84,000","3,000","109,000","2,000","67,000","3,500","45,000","9,500","102,000","14,000"
                    Temporary resident,"52,000","3,000","88,000","8,500","45,000","1,500",*,*,"60,000","9,000"
               Biological/ agricultural/ other life scientists,"76,000","2,500","98,000","4,500","63,000","2,000","55,000","4,500","94,000","3,000"
                    U.S. citizen,"85,000","2,000","103,000","3,500","72,000","2,500","59,000","3,000","100,000","1,500"
                         Native-born,"80,000","3,000","103,000","3,500","70,000","2,000","60,000","4,000","99,000","3,500"
                         Naturalized,"97,000","6,000","106,000","8,500","86,000","4,500",*,*,"107,000","7,500"
                    Non-U.S. citizen,"56,000","5,000","83,000","9,000","50,000","1,000",S,S,"59,000","3,500"
                         Permanent resident,"71,000","3,000","95,000","6,500","60,000","1,000",S,S,"80,000","3,000"
                         Temporary resident,"46,000","2,500","51,000","3,500","43,000","2,000",D,D,"47,000","3,000"
                    Agricultural/ food sciences,"92,000","2,500","100,000","5,000","73,000","4,500",D,D,"99,000","5,000"
                         U.S. citizen,"99,000","3,000","109,000","7,000","84,000","4,500",D,D,"102,000","4,000"
                              Native-born,"102,000","4,000","108,000","8,000","86,000","4,500",D,D,"106,000","6,000"
                              Naturalized,"91,000","11,500","125,000","35,000",*,*,D,D,*,*
                         Non-U.S. citizen,"75,000","6,000","80,000","9,500","39,000","3,000",D,D,D,D
                              Permanent resident,"79,000",500,"85,000","8,000","70,000","5,000",D,D,D,D
                              Temporary resident,"36,000","1,500",*,*,"35,000","3,500",D,D,D,D
                    Biological and medical scientists,"72,000","3,500","97,000","5,000","50,000",500,*,*,"93,000","4,000"
                         U.S. citizen,"87,000","3,000","103,000","3,500","53,000","4,000",*,*,"100,000","1,500"
                              Native-born,"81,000","3,500","103,000","4,500","50,000","1,000",*,*,"98,000","4,500"
                              Naturalized,"97,000","6,500","106,000","8,000","68,000","5,000",D,D,"107,000","5,000"
                         Non-U.S. citizen,"55,000","2,500","84,000","12,500","48,000","1,500",D,D,"59,000","6,500"
                              Permanent resident,"70,000","8,000","96,000","7,500","52,000","4,000",D,D,"81,000","11,000"
                              Temporary resident,"46,000","2,500","51,000","2,500","43,000","2,000",D,D,"47,000","3,000"
                    Environmental life scientists,"78,000","7,000","92,000","29,000",*,*,D,D,"85,000","10,500"
                         U.S. citizen,"79,000","7,500","90,000","29,000",*,*,D,D,"88,000","11,500"
                              Native-born,"75,000","4,000",*,*,*,*,D,D,"85,000","10,500"
                              Naturalized,*,*,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,*,*,D,D,*,*,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"80,000","1,000",D,D,"82,000","2,000","55,000","4,500",D,D
                         U.S. citizen,"82,000","3,000",D,D,"84,000","2,500","59,000","4,000",D,D
                              Native-born,"78,000","1,500",D,D,"80,000",500,"60,000","5,500",D,D
                              Naturalized,"96,000","12,500",D,D,"99,000","15,000",*,*,D,D
                         Non-U.S. citizen,"71,000","5,500",D,D,"73,000","4,000",S,S,D,D
                              Permanent resident,"71,000","7,000",D,D,"73,000","7,000",S,S,D,D
                              Temporary resident,"73,000","5,500",D,D,"73,000","1,500",D,D,D,D
