"Table 16-0. Median annual salaries of employed U.S. scientists and engineers, by all degree levels, level of highest degree, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level of highest degree             ,Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
All degree levelsa,"65,000",500,"47,000","1,000","60,000",500,"70,000",500,"76,000","1,500","80,000","2,500","80,000","1,500","75,000","1,000","65,000","2,500"
     Bachelor's,"58,000","1,500","38,000","1,500","51,000","1,500","60,000",500,"70,000",500,"70,000","1,500","75,000","3,000","65,000","1,500","60,000","1,000"
     Master's,"70,000","1,500","55,000",500,"65,000","1,000","75,000","1,000","80,000",500,"81,000","3,500","80,000","4,000","76,000","4,500","59,000","1,500"
     Doctorate,"90,000",500,"62,000","2,000","80,000","1,000","90,000","3,000","100,000","3,000","110,000","2,500","110,000","3,000","116,000","6,500","105,000","3,500"
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Total includes professional degrees not broken out separately.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
