Technical Table 1. 2013 SESTAT Education Codes and Groups,,,
Fields,Major fields,Minor fields,Education Codes
S&E Fields,Computer and mathematical sciences (major code = 1),,
,,Computer and information sciences (minor code = 11),116710 Computer and information sciences
,,,11671D Computer/ information sciences (Survey of Doctorate Recipients only code)
,,,116730 Computer science
,,,116740 Computer systems analysis
,,,116760 Information services and systems
,,,116770 Other computer and information sciences
,,Mathematics and statistics (minor code = 12),128410 Applied mathematics
,,,"128420 Mathematics, general"
,,,128430 Operations research
,,,128440 Statistics
,,,128450 Other mathematics
,"Biological, agricultural and environmental life sciences (major code = 2)",,
,,Agricultural and food sciences (minor code = 21),216050 Animal sciences
,,,216060 Food sciences and technology
,,,216070 Plant sciences
,,,216080 Other agricultural sciences
,,Biological sciences (minor code = 22),226310 Biochemistry and biophysics
,,,"226320 Biology, general"
,,,226330 Botany
,,,226340 Cell and molecular biology
,,,226350 Ecology
,,,"226360 Genetics, animal and plant"
,,,226370 Microbiological sciences and immunology
,,,226380 Nutritional sciences
,,,"226390 Pharmacology, human and animal"
,,,22639S Suppressed-Biological sciences minor group (93 National Survey of College Graduates only code)
,,,"226400 Physiology and pathology, human and animal"
,,,"226410 Zoology, general"
,,,226420 Other biological sciences
,,Environmental life sciences (minor code = 23),236800 Environmental science or studies
,,,236810 Forestry sciences
,Physical and related sciences (major code = 3),,
,,"Chemistry, except biochemistry (minor code = 31)","318730 Chemistry, except biochemistry"
,,"Earth, atmospheric and ocean sciences (minor code = 32)",328720 Atmospheric sciences and meteorology
,,,328740 Earth sciences
,,,328750 Geology
,,,"328760 Geological sciences, other"
,,,328770 Oceanography
,,Physics and astronomy (minor code = 33),338710 Astronomy and astrophysics
,,,338780 Physics
,,Other physical sciences (minor code = 34),328720 348790 Other physical sciences
,,,4879D Other physical sciences (Survey of Doctorate Recipients only code)
,,,"349910 Science, unclassified"
,Social and related sciences (major code = 4),,
,,Economics (minor code = 41),416010 Agricultural economics
,,,419230 Economics
,,Political and related sciences (minor code = 42),429020 Public policy studies
,,,429270 International relations
,,,429280 Political science and government
,,Psychology (minor code = 43),437040 Educational psychology
,,,438910 Clinical psychology
,,,438920 Counseling psychology
,,,438930 Experimental psychology
,,,438940 General psychology
,,,438950 Industrial/organizational psychology
,,,438960 Social psychology
,,,438970 Other psychology
,,Sociology and anthropology (minor code = 44),449210 Anthropology and archaeology
,,,449220 Criminology
,,,449290 Sociology
,,Other social sciences (minor code = 45),456200 Area and ethnic studies
,,,457710 Linguistics
,,,458610 Philosophy of science
,,,459240 Geography
,,,459250 History of science
,,,459300 Other social sciences
,Engineering (major code = 5),,
,,"Aerospace, aeronautical and astronautical engineering (minor code = 51)","517210 Aerospace, aeronautical and astronautical/space engineering"
,,Chemical engineering (minor code = 52),527250 Chemical engineering
,,Civil and architectural engineering (minor code = 53),537230 Architectural engineering
,,,537260 Civil engineering
,,Electrical and computer engineering (minor code = 54),547270 Computer and systems engineering
,,,"547280 Electrical, electronics and communications engineering"
,,Industrial engineering (minor code = 55),557330 Industrial and manufacturing engineering
,,Mechanical engineering (minor code = 56),567350 Mechanical engineering
,,Other engineering (minor code = 57),577220 Agricultural engineering
,,,577240 Bioengineering and biomedical engineering
,,,"577290 Engineering sciences, mechanics and physics"
,,,577300 Environmental engineering
,,,"577310 Engineering, general"
,,,577320 Geophysical and geological engineering
,,,"577340 Materials engineering, including ceramics and textiles"
,,,577360 Metallurgical engineering
,,,577370 Mining and minerals engineering
,,,577380 Naval architecture and marine engineering
,,,577390 Nuclear engineering
,,,577400 Petroleum engineering
,,,577410 Other engineering
,,,57741D Other engineering (Survey of Doctorate Recipients only code)
S&E-Related Fields,Science and Engineering-Related Fields (major code = 6),,
,,Health (minor code = 61),617810 Audiology and speech pathology
,,,617820 Health services administration
,,,617830 Health/ medical assistants
,,,617840 Health/ medical technologies
,,,"617850 Medical preparatory programs (e.g. pre-dentistry,-medical,-veterinary)"
,,,"617860 Medicine (dentistry, optometry, osteopathic, podiatry, veterinary)"
,,,617870 Nursing (4 years or longer program)
,,,617880 Pharmacy
,,,617890 Physical therapy and other rehabilitation/therapeutic services
,,,617900 Public health (including environmental health and epidemiology)
,,,617910 Other health/ medical sciences
,,Science and mathematics teacher education (minor code = 62),627020 Computer teacher education
,,,627060 Mathematics teacher education
,,,627090 Science teacher education
,,,627120 Social science teacher education
,,Technology and technical fields (minor code = 63),636720 Computer programming
,,,636750 Data processing
,,,637510 Electrical and electronic technologies
,,,637520 Industrial production technologies
,,,637530 Mechanical engineering-related technologies
,,,637540 Other engineering-related technologies
,,Other science and engineering-related fields (minor code = 64),646100 Architecture/environmental Design
,,,646520 Actuarial science
,,,
Non-S&E Fields and Other,Non-science and engineering fields (major code = 7),,
,,Management and administration fields (minor code = 71),716020 Other agricultural business and production
,,,716510 Accounting
,,,716530 Business administration and management
,,,"716540 Business, general"
,,,716550 Business and managerial economics
,,,716570 Financial management
,,,716590 Other business management/ administrative services
,,"Education, except science and math teacher education (minor code = 72)",727010 Education administration
,,,727030 Counselor education and guidance services
,,,727050 Elementary teacher education
,,,727070 Physical education and coaching
,,,727080 Pre-school/ kindergarten/ early childhood teacher education
,,,727100 Secondary teacher education
,,,727110 Special education
,,,727130 Other education
,,Social service and related fields (minor code = 73),"738620 Other philosophy, religion, theology"
,,,739100 Social Work
,,Sales and marketing fields (minor code = 74),746560 Business marketing/ marketing management
,,,746580 Marketing research
,,Art and humanities fields (minor code = 75),"757600 English language, literature and letters"
,,,757720 Other foreign languages and literature
,,,758200 Liberal arts/ general Studies
,,,"759260 History, other"
,,,759410 Dramatic arts
,,,"759420 Fine arts, all fields"
,,,"759430 Music, all fields"
,,,759440 Other visual and performing arts
,,Other non-science and engineering fields (minor code = 76)),"766610 Communications, general"
,,,766620 Journalism
,,,766630 Other communications
,,,766820 Other natural resources and conservation
,,,766900 Criminal justice/ protective services
,,,768000 Home economics
,,,768100 Law/ prelaw/ legal studies
,,,768300 Library science
,,,"768500 Parks, recreation, leisure, and fitness studies"
,,,769010 Public administration
,,,769030 Other public affairs
,,,769950 Other fields (not listed)
,,,769990 Unknown Field
,Other categories (major code = 9),,
,,Other categories (minor code = 99),999979 Survey exclusion
,,,999989 Logical skip
,,,
