Occupation and age (years)             ,,,,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
All occupations,"23,557,000","336,000","2,533,000","63,000","13,588,000","208,500","6,312,000","107,500","4,212,000","81,500","9,991,000","149,000"
     < 30,"3,240,000","82,000","377,000","20,500","1,579,000","48,500","1,144,000","39,000","577,000","24,000","1,390,000","45,000"
     30–39,"5,930,000","107,000","759,000","28,500","3,394,000","73,000","1,753,000","42,000","1,045,000","34,000","2,445,000","54,500"
     40–49,"5,854,000","106,000","718,000","27,500","3,566,000","73,500","1,534,000","42,000","1,007,000","37,500","2,327,000","51,500"
     50–59,"5,375,000","91,500","482,000","19,500","3,229,000","66,500","1,277,000","28,500","946,000","37,000","2,373,000","57,000"
     60–75,"3,158,000","58,500","197,000","11,500","1,820,000","43,500","603,000","21,000","637,000","26,500","1,456,000","33,000"
     S&E occupations,"5,749,000","112,000","1,811,000","49,000","2,483,000","57,000","3,185,000","66,000","574,000","17,500","1,322,000","37,000"
          < 30,"944,000","36,500","286,000","17,000","326,000","17,000","627,000","26,000","86,000","9,000","184,000","10,500"
          30–39,"1,601,000","37,500","552,000","20,000","671,000","21,500","918,000","22,000","135,000","7,500","347,000","16,500"
          40–49,"1,453,000","38,500","509,000","22,000","690,000","22,000","754,000","23,500","116,000","6,000","339,000","15,000"
          50–59,"1,180,000","30,500","340,000","15,000","564,000","18,500","612,000","18,500","124,000","7,500","287,000","14,000"
          60–75,"572,000","17,500","124,000","8,500","232,000","11,000","275,000","10,000","114,000","6,000","165,000","8,000"
          Science occupations,"4,186,000","85,500","1,631,000","45,500","1,652,000","42,500","2,143,000","49,500","510,000","16,500","972,000","32,000"
               < 30,"680,000","30,500","247,000","16,000","221,000","14,500","423,000","20,500","77,000","8,000","129,000","9,500"
               30–39,"1,218,000","33,000","503,000","19,500","469,000","18,000","649,000","19,000","121,000","7,500","273,000","15,000"
               40–49,"1,082,000","30,500","469,000","21,500","479,000","17,000","515,000","19,000","100,000","5,000","255,000","13,000"
               50–59,"801,000","24,500","303,000","14,500","339,000","14,000","383,000","15,500","108,000","7,000","198,000","12,000"
               60–75,"405,000","15,000","109,000","8,500","144,000","9,500","174,000","8,000","104,000","6,000","117,000","7,500"
               Biological/ agricultural/ other life scientists,"638,000","27,500","22,000","3,000","244,000","15,500","471,000","20,500","94,000","5,000","147,000","10,500"
                    < 30,"131,000","11,500","6,000","1,500","32,000","4,500","108,000","10,500","14,000","2,500","25,000","4,000"
                    30–39,"177,000","9,000","10,000","2,500","58,000","4,500","137,000","7,500","21,000","3,000","38,000","4,500"
                    40–49,"147,000","9,500","3,000","1,500","72,000","7,000","101,000","7,000","18,000","2,000","38,000","5,000"
                    50–59,"119,000","7,500","2,000","1,000","58,000","5,500","86,000","6,000","21,000","2,500","25,000","3,500"
                    60–75,"65,000","5,000","1,000",500,"24,000","3,500","40,000","3,500","19,000","2,000","21,000","3,500"
                    Agricultural/ food scientists,"69,000","10,000","1,000",500,"36,000","6,500","52,000","8,500","5,000","2,000","17,000","4,000"
                         < 30,"15,000","4,000",D,D,"9,000","3,500","10,000","3,000",D,D,"6,000","2,500"
                         30–39,"19,000","4,500",*,*,"7,000","1,500","16,000","4,000",S,S,"5,000","2,500"
                         40–49,"15,000","4,500",*,*,"9,000","3,000","12,000","4,000",D,D,"3,000","1,500"
                         50–59,"13,000","3,000",*,*,"6,000","1,500","10,000","2,000",S,S,"3,000","1,000"
                         60–75,"8,000","2,000",D,D,"6,000","2,000","5,000","2,000",D,D,"1,000",500
                    Biological and medical scientists,"448,000","22,000","20,000","3,000","158,000","10,500","352,000","17,500","15,000","2,500","108,000","8,500"
                         < 30,"103,000","11,000","6,000","1,500","20,000","3,500","90,000","10,000","3,000","1,000","18,000","3,000"
                         30–39,"134,000","7,000","10,000","2,500","42,000","4,000","107,000","6,000","6,000","1,500","28,000","3,500"
                         40–49,"106,000","8,500","3,000","1,000","52,000","6,500","75,000","6,000","3,000","1,000","30,000","4,500"
                         50–59,"72,000","5,500","2,000",500,"34,000","4,000","55,000","4,000","1,000",500,"18,000","3,000"
                         60–75,"34,000","3,500","1,000",500,"9,000","1,500","25,000","2,500","2,000","1,000","13,000","3,000"
                    Environmental life scientists,"33,000","7,000",*,*,"25,000","6,500","17,000","3,500","1,000",500,"13,000","4,000"
                         < 30,"3,000","1,000",D,D,"2,000","1,000","2,000","1,000",D,D,D,D
                         30–39,"9,000","2,000",*,*,"5,000","1,500","4,000","1,500",D,D,"3,000","1,000"
                         40–49,"6,000","2,000",D,D,"5,000","2,000","2,000","1,000",D,D,"3,000","1,500"
                         50–59,"10,000","3,000",*,*,"9,000","3,000","7,000","2,500",*,*,"3,000","1,000"
                         60–75,"6,000","2,500",D,D,"5,000","2,500","1,000",500,D,D,S,S
                    Postsecondary teachers - life/ related sciences,"88,000","5,000","1,000",500,"24,000","2,500","51,000","4,000","73,000","4,500","9,000","1,500"
                         < 30,"11,000","2,500",D,D,S,S,"7,000","2,000","10,000","2,500",S,S
                         30–39,"16,000","2,000",D,D,"4,000",500,"10,000","2,000","14,000","2,000","2,000","1,000"
                         40–49,"20,000","2,000",D,D,"6,000","1,000","11,000","1,000","16,000","1,500","2,000","1,000"
                         50–59,"24,000","2,500",D,D,"10,000","2,000","14,000","2,000","18,000","2,000","2,000",500
                         60–75,"18,000","2,000",D,D,"4,000","1,000","9,000","1,500","16,000","2,000","2,000",500
               Computer/ mathematical scientists,"2,647,000","67,000","1,574,000","45,500","1,104,000","35,500","1,175,000","35,500","166,000","10,000","480,000","23,000"
                    < 30,"394,000","25,000","233,000","16,000","145,000","13,000","207,000","15,000","29,000","5,000","51,000","6,000"
                    30–39,"803,000","27,500","481,000","19,500","334,000","16,000","368,000","16,000","42,000","5,000","145,000","11,000"
                    40–49,"754,000","27,500","458,000","21,000","339,000","15,500","314,000","15,500","32,000","3,500","152,000","11,000"
                    50–59,"503,000","20,000","297,000","14,500","211,000","12,000","214,000","13,000","32,000","3,500","98,000","9,500"
                    60–75,"193,000","11,500","105,000","8,500","75,000","7,500","72,000","6,500","31,000","3,500","34,000","4,000"
                    Computer and information scientists,"2,412,000","64,500","1,527,000","45,500","1,030,000","33,000","1,042,000","34,500","61,000","6,000","444,000","22,000"
                         < 30,"343,000","23,000","224,000","15,500","126,000","11,500","175,000","12,500","11,000","3,000","43,000","5,500"
                         30–39,"736,000","27,500","466,000","19,500","319,000","16,500","325,000","16,000","15,000","3,500","134,000","10,500"
